2012 rank,City,State,2012 estimate,2010 Census,Change,2010 land area,2010 population density,Location
1,New York,New York,"83,36,697","81,75,133",1.98%,302.643 sq mi,"27,012 per sq mi",40.6643°N 73.9385°W
,,,,,,783.842 km2,"10,430 km-2",
2,Los Angeles,California,"38,57,799","37,92,621",1.72%,468.670 sq mi,"8,092 per sq mi",34.0194°N 118.4108°W
,,,,,,"1,213.850 km2","3,124 km-2",
3,Chicago,Illinois,"27,14,856","26,95,598",0.71%,227.635 sq mi,"11,842 per sq mi",41.8376°N 87.6818°W
,,,,,,589.571 km2,"4,572 km-2",
4,Houston,Texas,"21,60,821","21,00,263",2.88%,599.589 sq mi,"3,501 per sq mi",29.7805°N 95.3863°W
,,,,,,"1,552.929 km2","1,352 km-2",
5,Philadelphia,Pennsylvania,"15,47,607","15,26,006",1.42%,134.101 sq mi,"11,379 per sq mi",40.0094°N 75.1333°W
,,,,,,347.321 km2,"4,394 km-2",
6,Phoenix,Arizona,"14,88,750","14,45,632",2.98%,516.704 sq mi,"2,798 per sq mi",33.5722°N 112.0880°W
,,,,,,"1,338.256 km2","1,080 km-2",
7,San Antonio,Texas,"13,82,951","13,27,407",4.18%,460.933 sq mi,"2,880 per sq mi",29.4724°N 98.5251°W
,,,,,,"1,193.812 km2","1,112 km-2",
8,San Diego,California,"13,38,348","13,07,402",2.37%,325.188 sq mi,"4,020 per sq mi",32.8153°N 117.1350°W
,,,,,,842.233 km2,"1,552 km-2",
9,Dallas,Texas,"12,41,162","11,97,816",3.62%,340.519 sq mi,"3,518 per sq mi",32.7757°N 96.7967°W
,,,,,,881.939 km2,"1,358 km-2",
10,San Jose,California,"9,82,765","9,45,942",3.89%,176.526 sq mi,"5,359 per sq mi",37.2969°N 121.8193°W
,,,,,,457.201 km2,"2,069 km-2",
11,Austin,Texas,"8,42,592","7,90,390",6.60%,297.896 sq mi,"2,653 per sq mi",30.3072°N 97.7560°W
,,,,,,771.547 km2,"1,024 km-2",
12,Jacksonville,Florida,"8,36,507","8,21,784",1.79%,747.003 sq mi,"1,100 per sq mi",30.3370°N 81.6613°W
,,,,,,"1,934.729 km2",425 km-2,
13,Indianapolis,Indiana,"8,34,852","8,20,445",1.76%,361.433 sq mi,"2,270 per sq mi",39.7767°N 86.1459°W
,,,,,,936.108 km2,876 km-2,
14,San Francisco,California,"8,25,863","8,05,235",2.56%,46.873 sq mi,"17,179 per sq mi",37.7751°N 122.4193°W
,,,,,,121.400 km2,"6,633 km-2",
15,Columbus,Ohio,"8,09,798","7,87,033",2.89%,217.169 sq mi,"3,624 per sq mi",39.9848°N 82.9850°W
,,,,,,562.466 km2,"1,399 km-2",
16,Fort Worth,Texas,"7,77,992","7,41,206",4.96%,339.819 sq mi,"2,181 per sq mi",32.7795°N 97.3463°W
,,,,,,880.128 km2,842 km-2,
17,Charlotte,North Carolina,"7,75,202","7,31,424",5.99%,297.678 sq mi,"2,457 per sq mi",35.2087°N 80.8307°W
,,,,,,770.984 km2,949 km-2,
18,Detroit,Michigan,"7,01,475","7,13,777",?1.72%,138.750 sq mi,"5,144 per sq mi",42.3830°N 83.1022°W
,,,,,,359.362 km2,"1,986 km-2",
19,El Paso,Texas,"6,72,538","6,49,121",3.61%,255.235 sq mi,"2,543 per sq mi",31.8484°N 106.4270°W
,,,,,,661.057 km2,982 km-2,
20,Memphis,Tennessee,"6,55,155","6,46,889",1.28%,315.055 sq mi,"2,053 per sq mi",35.1035°N 89.9785°W
,,,,,,815.988 km2,793 km-2,
21,Boston,Massachusetts,"6,36,479","6,17,594",3.06%,48.277 sq mi,"12,793 per sq mi",42.3320°N 71.0202°W
,,,,,,125.037 km2,"4,939 km-2",
22,Boston,Washington,"6,34,535","6,08,660",4.25%,83.943 sq mi,"7,251 per sq mi",47.6205°N 122.3509°W
,,,,,,217.410 km2,"2,800 km-2",
23,Denver,Colorado,"6,34,265","6,00,158",5.68%,153.000 sq mi,"3,923 per sq mi",39.7618°N 104.8806°W
,,,,,,396.269 km2,"1,515 km-2",
24,Washington,District of Columbia,"6,32,323","6,01,723",5.09%,61.048 sq mi,"9,856 per sq mi",38.9041°N 77.0171°W
,,,,,,158.115 km2,"3,806 km-2",
25,Nashville,Tennessee,"6,24,496","6,01,222",3.87%,475.126 sq mi,"1,265 per sq mi",36.1718°N 86.7850°W
,,,,,,"1,230.570 km2",489 km-2,
26,Baltimore,Maryland,"6,21,342","6,20,961",0.06%,80.944 sq mi,"7,672 per sq mi",39.3002°N 76.6105°W
,,,,,,209.643 km2,"2,962 km-2",
27,Louisville,Kentucky,"6,05,110","5,97,337",1.30%,325.248 sq mi,"1,837 per sq mi",38.1781°N 85.6667°W
,,,,,,842.389 km2,709 km-2,
28,Portland,Oregon,"6,03,106","5,83,776",3.31%,133.427 sq mi,"4,375 per sq mi",45.5370°N 122.6500°W
,,,,,,345.573 km2,"1,689 km-2",
29,Oklahoma,Oklahoma,"5,99,199","5,79,999",3.31%,606.410 sq mi,956 per sq mi,35.4671°N 97.5137°W
,,,,,,"1,570.596 km2",369 km-2,
