index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
Horror_0.jpg1,Horror_0,1,#a38d78,163,141,120,61.92687869,16.41700446,23.21290045,42.69245868,60.15796823,92.2036152,46.74026942,92.25173464,68.30968887,117.5332175,42.37808123,67.6679195,101.325237,145.6107814,69.04882924,80.06458914,119.7848934,41.08715644
Horror_0.jpg2,Horror_0,2,#260a06,38,10,6,15.95461113,50.04100118,73.42230331,95.36318321,50.87684359,101.9241099,73.03534412,131.5563307,88.05940538,150.0287347,61.71272657,107.146297,79.26409053,134.5638748,100.7121906,67.05479903,121.2605853,48.62217435
Horror_0.jpg3,Horror_0,3,#010101,1,1,1,0.274173393,53.31082685,77.43022692,99.72582698,66.29141599,117.1998204,77.72516296,137.0162989,85.28879757,148.3095654,56.62158334,103.748572,81.26946339,137.5930466,111.2640644,75.33369289,130.2190396,61.3358524
Horror_0.jpg4,Horror_0,4,#0b0302,11,3,2,2.589063877,52.36308102,76.46713997,98.75522273,63.85088846,114.7703107,76.60571159,135.8667377,85.32132265,148.2541303,56.99524633,103.9656078,80.89492329,137.1309799,109.3924423,73.98030414,128.8193892,59.15069925
Horror_0.jpg5,Horror_0,5,#644631,100,70,49,38.36541116,29.32110169,49.58166986,70.5048129,43.65465935,88.22554099,49.18804181,105.196017,70.95898787,128.8158296,49.4702458,88.48302554,92.63028826,143.3721029,75.76729003,73.05625768,121.3420211,28.88119043
Horror_0.jpg6,Horror_0,6,#dddddd,221,221,221,88.11542344,34.5304232,10.41102313,11.88457693,87.59838383,110.2178758,68.51192829,97.33218663,83.17313178,119.7817746,49.92626856,50.20586333,109.9492215,144.9830334,83.54910316,90.58879338,118.8385583,70.31586464
Horror_0.jpg7,Horror_0,7,#301a12,48,26,18,18.46807438,43.85469602,67.15327979,89.07960641,49.29155287,99.53442015,65.50813024,124.0079745,80.97749171,142.5565768,56.1314089,100.9615845,83.59918232,138.1801823,94.42765022,69.83893389,123.0806374,43.41772646
Horror_0.jpg8,Horror_0,8,#170805,23,8,5,6.611272362,50.596386,74.61093542,96.8559716,59.88804189,110.7806255,74.53624793,133.6789713,85.09594429,147.8072167,57.34326864,103.956218,80.58957787,136.5811879,106.1186077,71.98896969,126.6553903,55.44842524
Horror_0.jpg9,Horror_0,9,#826750,130,103,80,49.31670993,20.22935676,37.05200148,57.43223391,49.98945075,88.63413732,44.92164045,97.34169464,67.57686822,122.0285641,44.41122412,78.2049926,96.7956937,144.7391858,70.40740747,76.0320016,120.5901669,31.64849609
Horror_0.jpg10,Horror_0,10,#4a2c1e,74,44,30,28.71539237,37.45355021,59.47428314,80.90159753,42.9799598,91.52620126,57.51141931,114.9589561,76.93900302,136.882302,54.24462189,96.55874961,87.45159997,140.2490183,84.36554816,69.9615633,121.0576023,33.87560681
Horror_1.jpg1,Horror_1,1,#2e312e,46,49,46,20.09762728,33.73516914,57.81603812,80.0966472,62.26796375,110.3329734,64.70763692,122.4475984,74.19504153,135.4884375,40.24611929,86.19890974,82.94071887,136.7485146,98.50063085,72.47232747,124.7508852,51.76330064
Horror_1.jpg2,Horror_1,2,#454744,69,71,68,29.95957388,23.7955358,47.86715756,70.14779305,61.70860651,107.3120329,60.47574765,116.4851532,71.62006989,131.1095023,34.43262454,78.51765761,84.08807736,135.9342883,93.12501992,71.37562009,121.4837332,48.94445291
Horror_1.jpg3,Horror_1,3,#656664,101,102,100,43.06623748,10.61451831,34.68048287,56.96690371,63.77144783,105.0329474,57.67150444,109.9867967,70.65907182,126.6585193,30.05102881,69.09868085,86.91093304,135.5117131,87.78655087,71.75292486,118.0209024,48.71246737
Horror_1.jpg4,Horror_1,4,#1d211f,29,33,31,12.51766365,41.38602801,65.47835527,87.76215872,64.10805008,113.5568932,69.35576556,127.909439,77.4960942,139.7157041,45.61780328,92.34585392,82.26489088,137.268518,103.6182142,73.80779473,127.3462017,55.54209898
Horror_1.jpg5,Horror_1,5,#090a09,9,10,9,2.708708696,50.92376616,75.04239996,97.33762953,65.54786738,116.2513831,75.8803457,135.0748979,83.60968145,146.5165927,54.44630908,101.5143362,81.39433379,137.5131282,109.5576823,74.88767436,129.5741425,59.90026671
Horror_1.jpg6,Horror_1,6,#121513,18,21,19,6.698837904,47.19147368,71.29825265,93.58797093,65.0259676,115.2889675,72.89624568,131.9078434,80.59197935,143.3025877,50.71340204,97.70013596,82.18008622,137.9082014,107.0449594,74.90900114,129.1872059,58.05872096
Horror_1.jpg7,Horror_1,7,#010101,1,1,1,0.274173393,53.31082685,77.43022692,99.72582698,66.29141599,117.1998204,77.72516296,137.0162989,85.28879757,148.3095654,56.62158334,103.748572,81.26946339,137.5930466,111.2640644,75.33369289,130.2190396,61.3358524
