index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
action_0.jpg1,action_0,1,#30334f,48,51,79,29.05544264,36.61061002,58.63315843,80.07248353,69.39087743,116.3559151,82.32984694,137.7382337,92.40380444,151.8982227,45.00685183,88.12367327,63.03334693,116.2530767,111.3391538,56.08783781,108.2141979,63.65398039
action_0.jpg2,action_0,2,#e45b2c,228,91,44,92.17941629,73.08010827,76.11907735,85.13574768,33.97758459,32.84377289,64.21794251,93.35352626,103.199854,144.0874281,100.6426891,124.2658244,124.7844246,164.3673933,42.335092,92.97671901,122.6570472,32.90723798
action_0.jpg3,action_0,3,#1f1714,31,23,20,9.895106318,45.24177603,69.26925089,91.52290027,58.93521141,109.2279428,70.47713963,129.3818176,81.27599549,143.6605878,52.49340101,98.84189554,81.32710136,136.7637836,102.5383073,71.62005447,125.7143952,52.6204449
action_0.jpg4,action_0,4,#c39f6f,195,159,111,74.3719869,33.89652904,32.41337685,44.660592,59.45067579,83.3523311,36.77873351,76.34985178,65.4814682,109.03722,56.02227782,74.31637491,116.7009668,159.6769736,52.29684528,92.57782843,129.0564315,37.61505222
action_0.jpg5,action_0,5,#723124,114,49,36,45.83964525,42.98048749,60.05976225,79.17580413,26.17788173,73.26880291,57.98475552,110.8573517,85.81483334,141.8716534,66.99506246,104.3227312,90.45029515,139.7918381,73.12416666,66.36834404,113.2297812,20.71617388
action_0.jpg6,action_0,6,#9f5b34,159,91,52,62.01141065,42.5617545,52.63228233,68.49215538,31.43669944,65.30905498,44.02345115,91.63683328,77.66553375,128.0185526,68.12423057,98.07979278,106.5944167,152.7312554,53.55247229,80.16769019,121.1360945,11.03267918
action_0.jpg7,action_0,7,#431f1c,67,31,28,25.84855857,41.72418972,64.0151983,85.50792913,42.81580052,92.69911153,65.63622035,122.8265198,84.71694686,145.0367227,58.54665179,101.6628662,80.74701515,134.136978,90.50862962,63.92898021,116.2382414,38.48603461
action_0.jpg8,action_0,8,#f4e18f,244,225,143,99.08267132,55.72690511,44.25505521,43.96719729,82.91938289,95.40137252,41.02045466,55.28483628,64.32233065,91.18817082,69.79838983,71.33996791,141.5552601,181.3118575,48.58259413,117.573098,148.6239001,60.55475353
action_0.jpg9,action_0,9,#f4d82f,244,216,47,117.0198546,85.55100994,79.52199412,80.24107611,91.15709318,93.27261123,41.43422326,24.38867182,67.04553012,79.95729182,97.82027204,101.9848228,169.9051729,212.3090777,32.34446197,144.0340878,176.3813109,69.91649232
action_0.jpg10,action_0,10,#dedddc,222,221,220,88.16767423,34.58616095,10.47994456,11.85128308,87.28385823,109.7474109,68.06640489,96.77244236,82.93435353,119.4752787,50.16514122,50.52992407,110.2739972,145.3688364,82.9362136,90.76441763,119.0314463,69.93892156
action_1.jpg1,action_1,1,#e99b48,233,155,72,91.28605113,60.55180895,58.6526623,65.31248633,54.29925375,62.17155862,39.44018371,65.12906859,77.46573848,113.2221865,83.36602606,99.75444874,134.269916,175.8450467,25.51440476,105.8358664,138.2574739,35.6373049
action_1.jpg2,action_1,2,#47271e,71,39,30,27.02238433,38.77838257,61.04196241,82.55474606,43.11874017,92.28890913,61.04504866,118.3883161,80.15307709,140.2865365,55.55617,98.31336308,84.33623779,137.4026313,87.15968494,67.21404528,118.8634165,35.98917343
action_1.jpg3,action_1,3,#954927,149,73,39,60.36606084,47.11509762,58.761496,75.01738194,24.0101223,61.90638473,49.22661826,97.27218687,82.72496073,134.1538324,72.67106867,104.6067337,104.269275,150.8815759,56.87821433,77.44492626,119.2237356,7.712164826
action_1.jpg4,action_1,4,#e2bc97,226,188,151,82.63364123,35.60938015,25.28672155,33.06347485,67.81503933,87.573088,47.46015488,78.92678351,73.1006652,112.0243851,57.93045686,69.17778722,116.9812131,156.5441388,57.39208753,92.64356307,124.8039357,48.14741842
action_1.jpg5,action_1,5,#281513,40,21,19,14.22858689,45.60440147,69.27440695,91.3639099,53.21052032,103.7453631,70.39379354,128.9809585,84.20846774,146.1620406,56.32104321,101.8825113,79.76176089,134.9073116,99.74790222,67.94885408,121.9260217,48.57799699
action_1.jpg6,action_1,6,#9b7f71,155,127,113,57.27733149,14.58384812,26.56889225,46.86875106,56.11514948,90.58822268,50.01233225,97.50333238,71.96028993,123.0303231,43.08286558,71.75044706,95.65249448,140.742773,71.72962949,74.24520466,115.4132682,38.75400889
action_1.jpg7,action_1,7,#ece5dd,236,229,221,91.40373681,37.99987589,14.4077252,9.975808014,87.44473268,107.732595,66.67382899,92.7259751,82.74144647,117.3331106,53.99574823,52.57763904,114.5225213,149.2320078,79.38519668,94.00432088,121.2947437,69.69365344
action_1.jpg8,action_1,8,#0c0708,12,7,8,2.681673386,51.36921276,75.48180882,97.77410488,64.44061238,115.2610373,76.63168375,135.8140307,85.10711187,147.9779502,55.77082581,102.7507768,80.20356752,136.3755259,109.5784631,73.47199086,128.2518392,59.46851239
action_1.jpg9,action_1,9,#5d4136,93,65,54,34.12808884,28.01546391,49.88042564,71.39545645,46.17690022,91.97415679,55.25067034,111.233518,74.82717542,133.3595828,47.68075956,88.26444992,86.48439151,137.7375816,81.93071898,68.17158867,117.5800413,34.21354211
action_1.jpg10,action_1,10,#c86a34,200,106,52,78.81824395,56.56839576,60.97724205,72.33347613,33.76255522,51.5403235,47.57333519,84.65033912,85.50779729,129.4151472,82.7077821,107.2980142,118.9822515,161.8996848,39.89848032,89.72262191,124.9253379,19.31657164
action_10.jpg1,action_10,1,#7a3a40,122,58,64,44.58081236,36.37174854,53.83265617,73.4081659,35.48233157,80.08629707,65.59197576,117.6888002,90.76806605,146.9006824,61.94562634,98.95475262,79.11051447,127.7912355,81.3225874,55.19829149,102.7204673,31.93883422
action_10.jpg2,action_10,2,#7e634e,126,99,78,47.57762775,20.21353583,38.04959295,58.67903494,49.52061993,89.05969837,46.20752991,99.07868138,68.41381391,123.3958681,44.25791208,78.98857013,95.27494013,143.5560555,71.86690299,74.76561308,119.8727401,31.84031187
action_10.jpg3,action_10,3,#574843,87,72,67,32.85852914,22.93902779,46.38152126,68.47089974,54.08240082,99.24257463,58.02241724,113.6593196,73.83522389,132.5183268,40.40769794,82.12645837,83.90263905,135.1313416,87.19692503,67.95417028,117.4644138,41.71180374
action_10.jpg4,action_10,4,#5b2b2a,91,43,42,34.24503043,38.2805291,58.91780988,79.75206157,37.82956193,86.16421552,63.91042047,119.2548597,86.1703057,144.7678859,59.37875016,100.0348982,80.53447856,132.0744203,85.05357793,60.39192763,110.8438296,33.32892719
action_10.jpg5,action_10,5,#261e1e,38,30,30,12.86717725,41.60646917,65.65021001,87.91274765,58.90129436,108.7104576,70.04989854,128.5227311,81.20492252,143.1699592,49.6991058,95.77167993,79.25163908,134.2656983,101.7150964,69.14149325,122.8862537,52.07146727
action_10.jpg6,action_10,6,#dddcdc,221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
