index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
animation_17.jpg3,animation_17,3,#2e251e,46,37,30,16.93619822,38.7264516,62.60879204,84.80469125,56.14505674,105.3667052,64.16918603,122.6832124,76.35842538,138.1068925,47.93896069,93.45902684,83.85187517,138.3001796,96.24901525,71.91737444,124.9105377,47.38257132
animation_17.jpg4,animation_17,4,#0b0b0a,11,11,10,3.030860936,50.58412205,74.70297477,96.99831111,65.18078877,115.8669651,75.62839324,134.8077307,83.53207272,146.4138635,54.31520406,101.3554216,81.28191314,137.3714131,109.2040698,74.61130174,129.2753368,59.51901004
animation_17.jpg5,animation_17,5,#dddddd,221,221,221,88.11542344,34.5304232,10.41102313,11.88457693,87.59838383,110.2178758,68.51192829,97.33218663,83.17313178,119.7817746,49.92626856,50.20586333,109.9492215,144.9830334,83.54910316,90.58879338,118.8385583,70.31586464
animation_17.jpg6,animation_17,6,#ab5b2a,171,91,42,69.29123381,50.94734691,58.96592275,72.98313577,29.26691167,57.59917039,44.69711152,88.45983191,81.01550413,128.8530211,76.36132671,104.5554303,113.191079,158.3413212,46.75017476,85.42343156,124.3099723,10.21621281
animation_17.jpg7,animation_17,7,#d0ab56,208,171,86,86.40972492,51.52417398,48.61037753,55.92953932,64.85823625,80.96761232,27.20674301,58.58065238,60.91307697,97.72377363,69.30688624,83.19749033,134.5352319,177.7341492,37.08705555,109.4197001,144.7418346,41.7564545
animation_17.jpg8,animation_17,8,#54352a,84,53,42,31.11725538,33.17574723,55.08512941,76.52936278,43.72968871,91.19838116,57.22910352,113.9162389,77.00944242,136.2724816,51.64285517,93.16481634,85.84932339,137.9211415,83.46079441,67.76680787,118.1794505,33.76983069
animation_17.jpg9,animation_17,9,#968775,150,135,117,58.42127542,12.5560736,23.80183519,44.48970465,61.29448307,95.36096848,47.84185471,95.01177084,67.27299084,117.995378,38.44598009,66.2745836,99.0571527,144.1805437,72.71022983,79.0418402,120.0846348,42.55336661
animation_17.jpg10,animation_17,10,#151413,21,20,19,6.432020891,47.20746371,71.32465625,93.61922768,63.60825634,113.9786566,73.27117689,132.2662915,81.83680795,144.4854069,51.79456882,98.65802208,81.02420723,136.7754806,106.6585111,73.36569476,127.7153026,57.20545933
animation_18.jpg1,animation_18,1,#dccaaa,220,202,170,84.05326396,33.83736072,18.82710716,25.66279668,75.96751525,97.13611992,50.8573463,80.97383643,71.33195851,109.0602498,52.57146785,59.74045954,117.4383543,156.3817202,65.15677075,95.14866557,127.0070451,55.9922975
animation_18.jpg2,animation_18,2,#a35426,163,84,38,66.79907694,50.5213542,59.72403495,74.42883299,26.95030101,58.26659745,45.73485145,90.92168853,81.4269647,130.3828703,75.84864548,105.2944559,111.1746846,156.8533236,49.41517123,83.67162527,123.4679327,7.672861884
