word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike,ncontain,idf,tfidfgrltrain,tfidforwell,tfidfcrime,tfidflolita,tfidfcatcher,tfidfgatsby,tfidffeynman,tfidfgiver,tfidfartwar,tfidfvegas,tfidffriends,tfidfhitchhike
0,12.0,5.2822481248e-05,0.0,0.0,7.0,7.55621282613e-05,0.0,0.0,12.0,7.58269880888e-05,0.0,0.0,0.0,0.0,12.0,7.68964589181e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.08724987291e-05,5,0.414151108298,2.18764891519e-05,0.0,3.12941391648e-05,0.0,3.14038311559e-05,0.0,0.0,3.18467536851e-05,0.0,0.0,0.0,3.34934349795e-05
convolute,9.0,3.9616860936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,4.92221005918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foul,10.0,4.40187343733e-05,0.0,0.0,0.0,0.0,7.0,5.94096379407e-05,16.0,0.000101102650785,22.0,0.000120153578119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.496981329958,2.18764891519e-05,0.0,0.0,2.95254808761e-05,5.02461298494e-05,5.97140850527e-05,0.0,0.0,0.0,0.0,0.0,0.0
narcotic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.000772797527048,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000960164856951,0.0,0.0
four,105.0,0.00046219671092,127.0,0.000849168884312,19.0,0.000205097205281,64.0,0.000543173832601,43.0,0.000271713373985,59.0,0.00032223005041,0.0,0.0,45.0,0.000288361720943,0.0,0.0,0.0,0.0,16.0,0.000261681631585,62.0,0.000716299274458,9,0.248490664979,0.000114851568048,0.000211010540742,5.09647409255e-05,0.000134973626862,6.75182369852e-05,8.00711595025e-05,0.0,7.16551957915e-05,0.0,0.0,6.50254426453e-05,0.000177993683034
shamble,12.0,5.2822481248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,6.56294674558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surpasse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.91537365032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,6.10712233494e-05,0.0,0.0,0.0,0.0,0.0,0.0
conjure,7.0,3.08131140613e-05,0.0,0.0,0.0,0.0,14.0,0.000118819275881,0.0,0.0,8.0,4.36922102251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.621226662447,1.91419280079e-05,0.0,0.0,7.38137021902e-05,0.0,2.71427659331e-05,0.0,0.0,0.0,0.0,0.0,0.0
otro,17.0,7.48318484347e-05,25.0,0.000167159229195,19.0,0.000205097205281,8.0,6.78967290751e-05,9.0,5.68702410666e-05,12.0,6.55383153376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.08724987291e-05,7,0.310613331224,2.32437697239e-05,5.19218850251e-05,6.37059261569e-05,2.10896291972e-05,1.76646550252e-05,2.03570744498e-05,0.0,0.0,0.0,0.0,0.0,2.51200762346e-05
authorit,0.0,0.0,12.0,8.02364300138e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,9.96900192482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otra,13.0,5.72243546854e-05,13.0,8.69227991816e-05,15.0,0.000161918846274,12.0,0.000101845093613,13.0,8.21459037629e-05,13.0,7.09998416157e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.354986664255,2.03138827839e-05,3.08564345292e-05,5.7479031119e-05,3.61536500523e-05,2.9160700359e-05,2.52039969378e-05,0.0,0.0,0.0,0.0,0.0,0.0
igual,10.0,4.40187343733e-05,11.0,7.3550060846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.828302216596,3.64608152532e-05,6.09216784295e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loro,12.0,5.2822481248e-05,10.0,6.68636916781e-05,13.0,0.000140329666771,0.0,0.0,0.0,0.0,14.0,7.64613678939e-05,0.0,0.0,7.0,4.48562677022e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.414151108298,2.18764891519e-05,2.76916720134e-05,5.81176870203e-05,0.0,0.0,3.16665602552e-05,0.0,1.8577272983e-05,0.0,0.0,0.0,0.0
starsi,7.0,3.08131140613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,3.82838560159e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hermana,0.0,0.0,0.0,0.0,9.0,9.71513077645e-05,0.0,0.0,8.0,5.05513253926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.828302216596,0.0,0.0,8.04706435666e-05,0.0,4.18717748745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hermano,0.0,0.0,20.0,0.000133727383356,0.0,0.0,0.0,0.0,10.0,6.31891567407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.828302216596,0.0,0.000110766688054,0.0,0.0,5.23397185932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immature,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.78967290751e-05,72.0,0.000454961928533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.828302216596,0.0,0.0,0.0,5.62390111925e-05,0.000376845973871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonuvabitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.42324097185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,5.49567045228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hormone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.58269880888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,9.42114934677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dell,7.0,3.08131140613e-05,19.0,0.000127041014188,22.0,0.000237480974536,10.0,8.48709113438e-05,0.0,0.0,18.0,9.83074730064e-05,0.0,0.0,11.0,7.04884206749e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.354986664255,1.0938244576e-05,4.50978658504e-05,8.43025789745e-05,3.01280417103e-05,0.0,3.48978419139e-05,0.0,2.5022449324e-05,0.0,0.0,0.0,0.0
pigment,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.48709113438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.000105448145986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hitchcock,100.0,0.000440187343733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.000546912228798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonja,0.0,0.0,0.0,0.0,12.0,0.000129535077019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.000160941287133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delv,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.94096379407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,7.38137021902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oceana,0.0,0.0,17.0,0.000113668275853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.000141227527268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disturb,56.0,0.000246504912491,95.0,0.000635205070942,32.0,0.000345426872052,232.0,0.00196900514318,0.0,0.0,12.0,6.55383153376e-05,0.0,0.0,56.0,0.000358850141618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.354986664255,8.75059566077e-05,0.000225489329252,0.000122621933054,0.000698970567678,0.0,2.32652279426e-05,0.0,0.00012738701474,0.0,0.0,0.0,0.0
scholar,0.0,0.0,0.0,0.0,7.0,7.55621282613e-05,13.0,0.000110332184747,8.0,5.05513253926e-05,11.0,6.00767890595e-05,0.0,0.0,0.0,0.0,8.0,0.000478755236385,0.0,0.0,0.0,0.0,0.0,0.0,5,0.414151108298,0.0,0.0,3.12941391648e-05,4.56941965939e-05,2.09358874373e-05,2.4880868772e-05,0.0,0.0,0.000198277011752,0.0,0.0,0.0
voyeur,28.0,0.000123252456245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.000153135424063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber,0.0,0.0,10.0,6.68636916781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,8.30750160402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.36922102251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,5.42855318661e-05,0.0,0.0,0.0,0.0,0.0,0.0
haben,11.0,4.84206078107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,6.01603451678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reliable,46.0,0.000202486178117,0.0,0.0,0.0,0.0,11.0,9.33580024782e-05,0.0,0.0,12.0,6.55383153376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.621226662447,0.000125789812624,0.0,0.0,5.79964802923e-05,0.0,4.07141488996e-05,0.0,0.0,0.0,0.0,0.0,0.0
fuera,8.0,3.52149874987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,4.37529783038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gatz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.000316768524132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,0.000393570106029,0.0,0.0,0.0,0.0,0.0,0.0
elegant,0.0,0.0,0.0,0.0,7.0,7.55621282613e-05,30.0,0.000254612734032,0.0,0.0,53.0,0.000289460892741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.621226662447,0.0,0.0,4.69412087472e-05,0.000158172218979,0.0,0.000179820824306,0.0,0.0,0.0,0.0,0.0,0.0
second,142.0,0.000625066028102,102.0,0.000682009655117,93.0,0.0010038968469,164.0,0.00139188294604,121.0,0.000764588796563,184.0,0.00100492083518,9.0,0.000508330979949,113.0,0.000724108321478,12.0,0.000718132854578,15.0,0.000772797527048,44.0,0.000719624486859,122.0,0.00140949212071,12,0.191146665368,0.000119479286907,0.000130363871325,0.000191891534659,0.000266053783718,0.000146148598841,0.000192087266603,9.71657717207e-05,0.000138410891016,0.000137268700444,0.0001477176703,0.00013755382098,0.000269419718736
sterile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.12643059454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36935073702e-05,0.0,0.0,0.0,0.0
glasse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.00767890595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,0.0,0.0,0.0,0.0,0.0,7.46426063159e-05,0.0,0.0,0.0,0.0,0.0,0.0
shocke,42.0,0.000184878684368,27.0,0.000180531967531,9.0,9.71513077645e-05,18.0,0.000152767640419,12.0,7.58269880888e-05,24.0,0.000131076630675,0.0,0.0,50.0,0.000320401912159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.310613331224,5.74257840238e-05,5.60756358271e-05,3.01764913375e-05,4.74516656937e-05,2.35528733669e-05,4.07141488996e-05,0.0,9.9521105266e-05,0.0,0.0,0.0,0.0
netgalley,10.0,4.40187343733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.24245332489,5.46912228798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
