word,freq
job,60
antolini,60
share,60
por,60
terrific,60
continue,60
innocent,60
typical,60
hero,60
answer,60
sensit,59
watch,59
fun,59
recent,59
together,59
moment,59
aren,59
date,58
modern,58
masterpiece,58
1951,57
todo,57
walk,57
thousand,57
crap,57
complain,57
return,57
tak,57
rebellion,57
somebody,57
aspect,56
negat,56
original,56
publishe,56
narration,56
sentence,56
most,56
dream,55
given,55
bastard,55
met,55
desperate,55
car,55
park,55
entertain,55
reflect,54
lesson,54
normal,54
thank,54
moral,54
attention,54
eventual,54
forever,54
purpose,54
term,54
david,53
cover,53
del,53
angry,53
ser,53
ya,53
small,53
c,53
sorry,53
struggl,52
desire,52
touch,52
develop,52
obvious,52
4,52
museum,52
phone,52
stream,52
symbolism,52
men,52
fantastic,52
form,52
fake,52
roommate,51
generation,51
street,51
geniu,51
genuine,51
chance,51
study,51
hit,51
accept,50
allow,50
giv,50
adolescente,50
visit,50
christma,50
narrate,50
fiction,50
trie,50
room,50
lousy,50
base,50
wait,50
intelligent,50
jd,50
bore,50
grown,50
value,50
search,49
hotel,49
deeper,49
money,49
order,49
learne,49
whatever,49
controversial,49
stick,49
rebelliou,49
unlike,49
era,49
reminde,49
confusion,49
decision,49
2,49
depth,48
etc,48
attempt,48
doubt,48
symbol,48
na,48
escape,48
mention,48
note,48
soon,48
ende,48
v,47
lennon,47
neede,47
description,47
loud,47
goddamn,47
meant,47
50,47
tone,47
education,47
15,47
individual,47
tend,47
effect,47
offer,47
ful,47
mine,47
stradlater,47
acros,47
okay,47
ability,47
longer,46
dark,46
sarcastic,46
judge,46
central,46
como,46
incredib,46
awesome,46
manage,46
hunt,46
misse,46
soul,46
week,46
smart,46
war,46
represent,45
persona,45
inner,45
intereste,45
timeles,45
cynicism,45
beyond,45
natural,45
alienate,45
son,45
lov,44
text,44
hasn,44
aske,44
add,44
somewhat,44
picke,44
huge,44
challenge,44
obviou,44
becom,44
rebel,44
10,44
outside,44
caught,43
wishe,43
fille,43
fell,43
breakdown,43
chang,43
este,43
four,43
top,43
non,43
para,43
gone,43
reaction,43
hurt,42
frustration,42
discover,42
stuck,42
mis,42
1,42
weird,42
known,42
movie,42
choice,42
insight,42
greatest,42
rich,42
suffer,42
resonate,42
ok,42
leav,42
amount,42
yeah,41
powerful,41
influence,41
carousel,41
k,41
reach,41
helpe,41
sexual,41
common,41
consciousnes,41
forget,41
born,41
cosa,41
reference,41
observation,41
knock,41
pero,41
excite,40
includ,40
impact,40
content,40
expectation,40
poor,40
possible,40
role,40
slow,40
ultimate,40
phrase,40
recognize,40
connecte,40
angsty,39
posit,39
inspire,39
respect,39
light,39
avoid,39
century,39
mother,39
apart,39
vida,39
serious,39
seriou,39
20,39
considere,39
beauty,39
fan,39
ma,39
teach,39
relevant,39
expecte,39
putt,38
sin,38
phoney,38
ha,38
taken,38
conflict,38
single,38
topic,38
horrible,38
brought,38
enjoyable,38
impossible,38
white,38
taught,38
pure,38
possib,37
pimp,37
hang,37
belong,37
tale,37
immediate,37
di,37
sit,37
excellent,37
seventeen,37
rare,37
suggest,37
trust,37
phase,36
pretend,36
talke,36
scare,36
br,36
bring,36
sudden,36
lose,36
anti,36
number,36
nun,36
private,36
fault,36
memor,36
proces,36
joy,35
body,35
unfortunate,35
portray,35
hide,35
apparent,35
disappointe,35
sal,35
version,35
annoye,35
worry,35
transition,35
current,35
shot,35
summer,35
