word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
way,973.0,0.00428302285453,553.0,0.0036975621498,368.0,0.00397240902859,515.0,0.00437085193421,802.0,0.0050677703706,689.0,0.00376299160563,123.0,0.00694719005931,627.0,0.00401783997847,87.0,0.00520646319569,120.0,0.00618238021638,418.0,0.00683643262516,438.0,0.00506030777762
get,935.0,0.00411575166391,325.0,0.00217306997954,278.0,0.00300089595095,341.0,0.00289409807683,639.0,0.00403778711573,563.0,0.00307483929459,68.0,0.00384072295962,642.0,0.00411396055212,45.0,0.00269299820467,84.0,0.00432766615147,296.0,0.00484111018432,326.0,0.00376634779796
well,924.0,0.0040673310561,330.0,0.00220650182538,252.0,0.00272023661741,394.0,0.00334391390695,381.0,0.00240750687182,474.0,0.00258876345584,69.0,0.00389720417961,468.0,0.0029989618978,87.0,0.00520646319569,73.0,0.00376094796497,250.0,0.00408877549352,324.0,0.00374324136975
day,892.0,0.0039264711061,274.0,0.00183206515198,130.0,0.00140329666771,117.0,0.000992989662723,456.0,0.00288142554738,277.0,0.00151284277904,26.0,0.00146851171985,339.0,0.00217232496444,64.0,0.00383004189108,42.0,0.00216383307573,107.0,0.00174999591122,166.0,0.00191783354129
put,888.0,0.00390886361235,161.0,0.00107650543602,162.0,0.00174872353976,204.0,0.00173136659141,198.0,0.00125114530347,208.0,0.00113599746585,26.0,0.00146851171985,240.0,0.00153792917836,36.0,0.00215439856373,41.0,0.0021123132406,131.0,0.0021425183586,124.0,0.00143259854892
page,876.0,0.00385604113111,169.0,0.00112999638936,237.0,0.00255831777113,217.0,0.00184169877616,226.0,0.00142807494234,319.0,0.00174222688272,18.0,0.0010166619599,211.0,0.00135209606931,29.0,0.0017354877319,44.0,0.00226687274601,52.0,0.000850465302651,176.0,0.00203336568233
would,833.0,0.0036667605733,549.0,0.00367081667313,328.0,0.00354062543853,451.0,0.00382767810161,613.0,0.00387349530821,641.0,0.00350083834428,91.0,0.00513979101949,870.0,0.00557499327156,91.0,0.00544584081388,91.0,0.00468830499742,324.0,0.0052990530396,355.0,0.00410139100698
great,831.0,0.00365795682643,276.0,0.00184543789032,320.0,0.00345426872052,246.0,0.00208782441906,367.0,0.00231904205238,1205.0,0.00658113916515,145.0,0.00818977689918,487.0,0.00312071462442,144.0,0.00861759425494,118.0,0.00607934054611,530.0,0.00866820404625,319.0,0.00368547529923
make,804.0,0.00353910624362,578.0,0.003864721379,333.0,0.00359459838729,555.0,0.00471033557958,619.0,0.00391140880225,680.0,0.00371383786913,93.0,0.00525275345947,820.0,0.0052545913594,73.0,0.00436864153202,93.0,0.0047913446677,427.0,0.00698362854292,503.0,0.00581126669439
even,803.0,0.00353470437018,626.0,0.00418566709905,305.0,0.00329234987424,462.0,0.00392103610409,588.0,0.00371552241635,631.0,0.0034462230815,88.0,0.0049703473595,573.0,0.00367180591334,88.0,0.00526630760024,75.0,0.00386398763524,198.0,0.00323831019086,322.0,0.00372013494154
