"","State","Population","State1"
"1","AR","2,966,369","Arkansas"
"2","AK","736,732","Alaska"
"3","AL","4,849,377","Alabama"
"4","AZ","6,731,484","Arizona"
"5","CO","5,355,866","Colorado"
"6","CT","3,596,677","Connecticut"
"7","DC","658,893","District of Columbia"
"8","DL","935,614","Delaware"
"9","FL","19,893,297","Florida"
"10","GA","10,097,343","Georgia"
"11","HI","1,419,561","Hawaii"
"12","IA","3,107,126","Iowa"
"13","ID","1,634,464","Idaho"
"14","IL","12,880,580","Illinois"
"15","IN","6,596,855","Indiana"
"16","KS","2,904,021","Kansas"
"17","KY","4,413,457","Kentucky"
"18","LA","4,649,676","Louisiana"
"19","MA","6,745,408","Massachusetts"
"20","MD","5,976,407","Maryland"
"21","MI","9,909,877","Michigan"
"22","MN","5,457,173","Minnesota"
"23","MO","6,063,589","Missouri"
"24","MS","2,994,179","Mississippi"
"25","MT","1,023,579","Montana"
"26","NC","9,943,964","North Carolina"
"27","ND","739,482","North Dakota"
"28","NE","1,881,503","Nebraska"
"29","NH","1,326,813","New Hampshire"
"30","NJ","8,938,175","New Jersey"
"31","NM","2,085,572","New Mexico"
"32","NV","2,839,099","Nevada"
"33","NY","19,746,227","New York"
"34","OH","11,594,163","Ohio"
"35","OK","3,878,051","Oklahoma"
"36","OR","3,970,239","Oregon"
"37","PA","12,787,209","Pennsylvania"
"38","RI","1,055,173","Rhode Island"
"39","SC","4,832,482","South Carolina"
"40","SD","853,175","South Dakota"
"41","TN","6,549,352","Tennessee"
"42","TX","26,956,958","Texas"
"43","UT","2,942,902","Utah"
"44","VA","8,326,289","Virginia"
"45","VT","626,630","Vermont"
"46","WA","7,061,530","Washington"
"47","WI","5,757,564","Wisconsin"
"48","WV","1,850,326","West Virginia"
"49","WY","584,153","Wyoming"
"50","AS","55165","American Samoa"
"51","CA","38,800,000","California"
"52","GU","165,124","Guam"
"53","PR","3,474,182","Puerto Rico"
"54","DE","935,614","Delaware"
"55","ME","1,330,089","Maine"
