"","State","Population","State1","Number.of.state.doctors","density"
"1","AR",2966369,"Arkansas",14046,47.3508184585262
"2","AK",736732,"Alaska",4130,56.0583767231503
"3","AL",4849377,"Alabama",22010,45.3872734580133
"4","AZ",6731484,"Arizona",39813,59.1444620532412
"5","CO",5355866,"Colorado",31172,58.201605491997
"6","CT",3596677,"Connecticut",23718,65.9442034967277
"7","DC",658893,"District of Columbia",4985,75.6572007898096
"8","FL",19893297,"Florida",102230,51.389168924588
"9","GA",10097343,"Georgia",44948,44.5146807432411
"10","HI",1419561,"Hawaii",7053,49.6843742537306
"11","IA",3107126,"Iowa",17866,57.5000820694108
"12","ID",1634464,"Idaho",8339,51.0197838557472
"13","IL",12880580,"Illinois",76106,59.0858486186181
"14","IN",6596855,"Indiana",42789,64.8627262536466
"15","KS",2904021,"Kansas",16210,55.8191555777317
"16","KY",4413457,"Kentucky",25542,57.8730006885759
"17","LA",4649676,"Louisiana",25317,54.4489551530042
"18","MA",6745408,"Massachusetts",60816,90.1591126882169
"19","MD",5976407,"Maryland",40167,67.2092780829686
"20","MI",9909877,"Michigan",79536,80.2593210793636
"21","MN",5457173,"Minnesota",42499,77.8773185310416
"22","MO",6063589,"Missouri",38202,63.0022912172972
"23","MS",2994179,"Mississippi",13285,44.3694248072677
"24","MT",1023579,"Montana",6108,59.6729710164042
"25","NC",9943964,"North Carolina",46979,47.2437349934091
"26","ND",739482,"North Dakota",10916,147.616845305227
"27","NE",1881503,"Nebraska",10832,57.5709951033828
"28","NH",1326813,"New Hampshire",13034,98.2353956435459
"29","NJ",8938175,"New Jersey",50591,56.6010399214605
"30","NM",2085572,"New Mexico",10332,49.5403659044138
"31","NV",2839099,"Nevada",10436,36.7581405227504
"32","NY",19746227,"New York",117682,59.5972081147452
"33","OH",11594163,"Ohio",69758,60.1664820479063
"34","OK",3878051,"Oklahoma",16548,42.6709189745055
"35","OR",3970239,"Oregon",28799,72.5371948640875
"36","PA",12787209,"Pennsylvania",164880,128.941350688802
"37","RI",1055173,"Rhode Island",6951,65.8754535986042
"38","SC",4832482,"South Carolina",21616,44.7306373826121
"39","SD",853175,"South Dakota",7337,85.9964251179418
"40","TN",6549352,"Tennessee",35930,54.8603892415616
"41","TX",26956958,"Texas",123806,45.9272889767458
"42","UT",2942902,"Utah",12166,41.3401465628145
"43","VA",8326289,"Virginia",57111,68.5911814975435
"44","VT",626630,"Vermont",5414,86.3986722627388
"45","WA",7061530,"Washington",48881,69.2215426401927
"46","WI",5757564,"Wisconsin",39078,67.87245439217
"47","WV",1850326,"West Virginia",14829,80.1426343249784
"48","WY",584153,"Wyoming",3259,55.7901782580933
"49","AS",55165,"American Samoa",2,0.362548717483912
"50","CA",38800000,"California",157822,40.6757731958763
"51","GU",165124,"Guam",167,10.1136115888665
"52","PR",3474182,"Puerto Rico",9971,28.7002811021414
"53","DE",935614,"Delaware",8214,87.7926153306812
"54","ME",1330089,"Maine",16147,121.397891419296
