,Apartment,Rent,Url
0,71-53 70th Street #2,"$2,650",http://streeteasy.com/building/71_53-70-street-queens/2?featured=1
1,181 East 119th Street #7I,"$2,333",http://streeteasy.com/building/119th-third/7i?featured=1
2,1615 Putnam Avenue #5C,"$2,150",http://streeteasy.com/building/1615-putnam-avenue-ridgewood/5c
3,256 Malcolm X Boulevard #2R,"$2,550",http://streeteasy.com/building/256-malcolm-x-boulevard-brooklyn/2r
4,32-68 46th Street #GROUND,"$1,800",http://streeteasy.com/building/32_68-46-street-queens/ground
5,57 Reade Street #8A,"$8,500",http://streeteasy.com/building/reade57-condominium/8a
6,800 Bergen Street #7A,"$1,750",http://streeteasy.com/building/802-bergen-street-brooklyn/7a
7,235 E 2nd Street #B1,"$2,000",http://streeteasy.com/building/235-east-2-street-brooklyn/b1
8,10 Waterside Plaza #23G,"$3,200",http://streeteasy.com/building/10-waterside-plaza-new_york/23g
9,210 W.251 #6C,"$1,550",http://streeteasy.com/building/210-west-251-street-bronx/6c
10,270 West 11th Street #2C,"$3,200",http://streeteasy.com/building/270-west-11-street-new_york/2c
11,33-17 Broadway #2,"$3,000",http://streeteasy.com/building/33_17-broadway-queens/2
12,62 Reeve Place #2,"$3,200",http://streeteasy.com/building/62-reeve-place-brooklyn/2
13,529 East 81st Street #5B,"$2,320",http://streeteasy.com/building/529-east-81-street-new_york/5b
14,200 E 39th Street #19F,"$3,300",http://streeteasy.com/building/the-frontier/19f?featured=1
15,167 North 6th Street #B16,"$5,500",http://streeteasy.com/building/the-spire-lofts/b16?featured=1
16,529 East 81st Street #5D,"$2,030",http://streeteasy.com/building/529-east-81-street-new_york/5d
17,87-19 58th Avenue #4,"$2,100",http://streeteasy.com/building/87_19-58-avenue-queens/4
18,2230 University Avenue #3I,"$1,100",http://streeteasy.com/building/2230-dr-m-l-king-jr-blvd-bronx/3i
19,338 8th Street #4R,"$2,300",http://streeteasy.com/building/338-8-street-brooklyn/4r
20,535 East 81st Street #5B,"$2,000",http://streeteasy.com/building/535-east-81-street-new_york/5b
21,111 Lawrence Street #12C,"$2,335",http://streeteasy.com/building/the-brooklyner/12c
22,436 15th Street #2,"$2,300",http://streeteasy.com/building/436-15-street-brooklyn/2
23,226 West 78th Street #6,"$2,400",http://streeteasy.com/building/226-west-78-street-new_york/6
24,455 Eastern Parkway ,"$1,500",http://streeteasy.com/rental/1734526
25,41-04 30th Avenue #2,"$2,100",http://streeteasy.com/rental/1734525
26,42-16 Corp Kennedy Street #2,"$2,500",http://streeteasy.com/building/42_16-corporal-kennedy-street-bayside/2
27,411 East 53rd Street #4M,"$3,200",http://streeteasy.com/building/411-east-53-street-new_york/4m
28,3041 Brighton 2nd Street #4D,"$2,300",http://streeteasy.com/building/3041-brighton-2-street-brooklyn/4d?featured=1
29,55 Thompson Street #608,"$12,500",http://streeteasy.com/building/soho-55-thompson/608?featured=1
30,75 Poplar Street #5F,"$4,900",http://streeteasy.com/building/75-poplar-street-brooklyn/5f
31,65 West 70th Street #5N,"$5,995",http://streeteasy.com/rental/1734521
32,101-01 67th Drive #1D,"$2,395",http://streeteasy.com/building/ardsley-manor/1d
33,34-30 42nd #1,"$2,500",http://streeteasy.com/rental/1734519
34,469 W. 57th Street #4B,"$2,675",http://streeteasy.com/building/469-west-57-street-manhattan/4b
35,248 Melrose Street #GRDN,"$2,700",http://streeteasy.com/building/248-melrose-street-brooklyn/grdn
36,34-30 42nd #1,"$3,600",http://streeteasy.com/rental/1734516
37,361 Nostrand Avenue #3,"$2,475",http://streeteasy.com/building/361-nostrand-avenue-brooklyn/3
38,15 Westminster Rd #5K,"$2,600",http://streeteasy.com/building/15-westminster-road-brooklyn/5k
39,1290 Ocean Avenue #5K,"$1,895",http://streeteasy.com/rental/1734510
40,15 Jackson Street #4A,"$3,529",http://streeteasy.com/building/11-jackson-street-brooklyn/4a
41,605 E 11th Street #1,"$2,600",http://streeteasy.com/building/605-east-11-street-manhattan/1
42,211 East 51st Street #11C,"$4,850",http://streeteasy.com/building/211-east-51-street-new_york/11c?featured=1
43,137 East 30th Street #5A,"$2,450",http://streeteasy.com/building/137-east-30-street-manhattan/5a?featured=1
44,125 Court Street #5SH,"$4,095",http://streeteasy.com/building/court-house-apartments/5sh
45,2728 Henry Hudson Parkway #A81,"$2,750",http://streeteasy.com/building/2728-henry-hudson-pkwy-e-bronx/a81
46,2728 Henry Hudson Parkway #B33,"$1,726",http://streeteasy.com/building/2728-henry-hudson-pkwy-e-bronx/b33
47,3300 Netherland Avenue #1C,"$2,150",http://streeteasy.com/building/3300-netherland-avenue-bronx/1c
48,15 Jackson Street #3B,"$2,625",http://streeteasy.com/building/11-jackson-street-brooklyn/3b
49,1609 Ocean Avenue #9B,"$2,000",http://streeteasy.com/building/1609-ocean-avenue-brooklyn/9b
50,1767 Bedford Avenue #21,"$2,095",http://streeteasy.com/building/1767-bedford-avenue-brooklyn/21
51,2530 Foster Avenue #4B,"$1,700",http://streeteasy.com/building/2530-foster-avenue-brooklyn/4b
52,2112 Dorchester Rd #4H,"$1,650",http://streeteasy.com/rental/1734499
53,25 Parade Place #3D,"$2,095",http://streeteasy.com/rental/1734498
54,416 E 13th Street #2E,"$2,795",http://streeteasy.com/building/416-east-13-street-new_york/2e
