"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"AAUSat-3","NR","Civil","Technology Development","LEO","100.42","1",2013-02-25,"Satish Dhawan Space Centre",778.5
"ABS-1A (Koreasat 2, Mugunghwa 2)","South Korea","Commercial","Communications","GEO","1436.13","1,459",1996-01-14,"Cape Canaveral",35787
"ABS-2 (Koreasat-8, ST-3)","NR","Commercial","Communications","GEO","1436.03","6,330",2014-02-06,"Guiana Space Center",35785.5
"ABS-3 (Agila 2, Mabuhay 1)","Philippines","Commercial","Communications","GEO","1436.07","3,775",1997-08-19,"Xichang Satellite Launch Center",35785.5
"ABS-3A ","NR","Commercial","Communications","GEO","1436","2,000",2015-03-02,"Cape Canaveral",35795.5
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","NR","Commercial","Communications","GEO","1436.1","4,143",2004-03-13,"Cape Canaveral",35786.5
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","NR","Commercial","Communications","GEO","1436.08","2,894",1999-09-26,"Baikonur Cosmodrome",35785.5
"ABS-7 (Koreasat 3, Mugungwha 3)","South Korea","Commercial","Communications","GEO","1436.06","3,500",1999-09-04,"Guiana Space Center",35785.5
"Advanced Orion 2 (NROL 6, USA 139)","USA","Military","Earth Observation","GEO","1436.14","4,500",1998-05-09,"Cape Canaveral",35786.5
"Advanced Orion 3 (NROL 19, USA 171)","USA","Military","Earth Observation","GEO","1436.1","4,500",2003-09-09,"Cape Canaveral",35786.5
"Advanced Orion 4 (NRO L-26, USA 202)","USA","Military","Earth Observation","GEO","1438.8","5,000",2009-01-18,"Cape Canaveral",35825.5
"Advanced Orion 5 (NRO L-32, USA 223)","USA","Military","Earth Observation","GEO","","5,000",2010-11-21,"Cape Canaveral",35500
"Advanced Orion 6 (NRO L-15, USA 237)","USA","Military","Earth Observation","GEO","23.94","5,000",2012-06-29,"Cape Canaveral",35788
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)","USA","Military","Communications","GEO","1306.29","6,169",2012-05-03,"Cape Canaveral",35700
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)","NR","Military","Communications","GEO","1306.29","6,169",2013-09-18,"Cape Canaveral",35700
"Aeneas","USA","Government","Technology Development","LEO","97.4","3",2012-09-13,"Vandenberg AFB",635
"Aerocube 4.5A","USA","Commercial","Technology Development","LEO","97.5","5",2012-09-13,"Vandenberg AFB",643
"Aerocube 4.5B","USA","Commercial","Technology Development","LEO","97.6","5",2012-09-13,"Vandenberg AFB",645.5
"Aerocube 5A","NR","Commercial","Technology Development","LEO","98","5",2013-12-06,"Vandenberg AFB",664.5
"Aerocube 5B","NR","Commercial","Technology Development","LEO","98","5",2013-12-06,"Vandenberg AFB",664.5
"Aerocube 6A","NR","Commercial","Technology Development","LEO","97.88","5",2014-06-19,"Dombarovsky Air Base",657
"Aerocube 6B","NR","Commercial","Technology Development","LEO","97.88","5",2014-06-19,"Dombarovsky Air Base",657
"Aerocube 8A","NR","Commercial","Technology Development","LEO","95.19","5",2015-05-20,"Cape Canaveral",528
"Aerocube 8B","NR","Commercial","Technology Development","LEO","95.19","5",2015-05-20,"Cape Canaveral",528
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)","France","Commercial","Communications","GEO","1436.08","3,460",2008-12-20,"Guiana Space Center",35786
"Afristar ","USA","Commercial","Communications","GEO","1436.09","2,704",1998-10-28,"Guiana Space Center",35786
"AIM (Aeronomy of Ice in Mesosphere)","USA","Government","Earth Observation","LEO","96.2","215",2007-04-25,"Vandenberg AFB",548
"AISat-1","Germany","Government","Communications","LEO","97.76","14",2014-06-30,"Sriharikota Launch Station",651.5
"AISSat-1 (Automatic Identification System Satellite-1)","Norway","Government","Communications","LEO","97.2","6",2010-07-12,"Sriharikota Launch Station",623.5
"AISSat-2 (Automatic Identification System Satellite-2)","Norway","Government","Communications","LEO","97.27","6",2014-07-08,"Baikonur Cosmodrome",628
"AIST-1","Russia","Civil","Technology Development","LEO","96.9","",2013-12-28,"Plesetsk Cosmodrome",612.5
"AIST-2","Russia","Civil","Technology Development","LEO","96.06","53",2013-04-19,"Baikonur Cosmodrome",570
"ALiCE  (AFIT LEO iMESA CNT E)","NR","Military","Technology Development","LEO","98","5",2013-12-06,"Vandenberg AFB",664.5
"Alphasat I-XL  (Inmarsat IV-A F4)","United Kingdom","Commercial/Government","Communications/Technology Development","GEO","1436.09","6,650",2013-07-25,"Guiana Space Center",35786.5
"Alsat-2A (Algeria Satellite 2A)","Algeria","Government","Earth Observation","LEO","98.2","130",2010-07-12,"Sriharikota Launch Station",673
"Amazonas-1 ","Brazil","Commercial","Communications","GEO","1436.1","4,545",2004-08-04,"Baikonur Cosmodrome",35786.5
"Amazonas-2","Brazil","Commercial","Communications","GEO","1436.08","5,465",2009-10-01,"Guiana Space Center",35786
"Amazonas-3","Brazil","Commercial","Communications","GEO","1436.05","6,265",2013-02-07,"Guiana Space Center",35786
"Amazonas-4A","NR","Commercial","Communications","GEO","1436.24","2,938",2014-03-22,"Guiana Space Center",35789.5
"AMC-1 (Americom 1, GE-1)","USA","Commercial","Communications","GEO","1436.1","2,783",1996-09-08,"Cape Canaveral",35786
"AMC-10 (Americom-10, GE 10)","USA","Commercial","Communications","GEO","1436.09","2,315",2004-02-05,"Cape Canaveral",35786
"AMC-11 (Americom-11, GE 11)","USA","Commercial","Communications","GEO","1436.07","2,340",2004-05-19,"Cape Canaveral",35785.5
"AMC-15 (Americom-15)","USA","Commercial","Communications","GEO","1436.08","4,200",2004-10-14,"Baikonur Cosmodrome",35786
"AMC-16 (Americom-16)","USA","Commercial","Communications","GEO","1436.1","4,312",2004-12-17,"Cape Canaveral",35786.5
"AMC-18 (Americom 18)","USA","Commercial","Communications","GEO","1436.1","2,081",2006-12-08,"Guiana Space Center",35786.5
"AMC-2 (Americom 2, GE-2)","USA","Commercial","Communications","GEO","1436.1","2,648",1997-01-30,"Guiana Space Center",35786
"AMC-21 (Americom 21)","United Kingdom","Commercial","Communications","GEO","1436.1","2,500",2008-08-14,"Guiana Space Center",35785.5
"AMC-3 (Americom 3, GE-3)","USA","Commercial","Communications","GEO","1436.08","2,845",1997-09-04,"Cape Canaveral",35786
"AMC-4 (Americom-4, GE-4)","USA","Commercial","Communications","GEO","1436.1","3,909",1999-11-13,"Guiana Space Center",35786
"AMC-5 (Americom-5, GE-5)","USA","Commercial","Communications","GEO","1436.1","1,698",1998-10-28,"Guiana Space Center",35786.5
"AMC-6 (Americom-6, GE-6)","USA","Commercial","Communications","GEO","1436.12","3,901",2000-10-22,"Baikonur Cosmodrome",35786.5
"AMC-7 (Americom-7, GE-7)","USA","Commercial","Communications","GEO","1436.08","1,935",2000-09-14,"Guiana Space Center",35785.5
"AMC-8 (Americom-8, GE-8, Aurora 3)","USA","Commercial","Communications","GEO","1436.07","2,015",2000-12-19,"Guiana Space Center",35785.5
"AMC-9 (Americom 9, GE-12)","USA","Commercial","Communications","GEO","1436.08","4,100",2003-06-07,"Baikonur Cosmodrome",35785.5
"Amos 2 ","NR","Military/Commercial","Communications","GEO","1436.08","1,400",2003-12-27,"Baikonur Cosmodrome",35786
"Amos 3","NR","Military/Commercial","Communications","GEO","1436.1","",2008-04-28,"Baikonur Cosmodrome",35786
"Amos 4","NR","Military/Commercial","Communications","GEO","1432","",2013-08-31,"Baikonur Cosmodrome",35714.5
"Amos 5","NR","Military/Commercial","Communications","GEO","1436.08","1,600",2011-12-11,"Baikonur Cosmodrome",35801
"Amsat-Oscar 7 (AO-7)","USA","Civil","Communications","LEO","114.9","29",1974-11-15,"Vandenberg AFB",1449.5
"Angels (Automated Navigation and Guidance Experiment for Local Space, USA 255)","NR","Military","Technology Development","GEO","","70",2014-07-28,"Cape Canaveral",35900
"Anik F1 ","Canada","Commercial","Communications","GEO","1436.08","4,710",2000-11-21,"Guiana Space Center",35785.5
"Anik F1R","Canada","Commercial","Communications","GEO","1436.1","4,500",2005-09-09,"Baikonur Cosmodrome",35786
"Anik F2 ","Canada","Commercial","Communications","GEO","1436.08","5,910",2004-07-18,"Guiana Space Center",35785.5
"Anik F3","Canada","Commercial","Communications","GEO","1436.1","4,715",2007-04-09,"Baikonur Cosmodrome",35786
"Anik G1","NR","Commercial","Communications","GEO","1436.08","4,905",2013-04-15,"Baikonur Cosmodrome",35786
"AntelSat","NR","Civil","Technology Development","LEO","96.99","2",2014-06-19,"Dombarovsky Air Base",654
"AprizeSat 1 (LatinSat-C)","USA","Commercial","Communications (experimental)","LEO","99.4","12",2004-06-29,"Baikonur Cosmodrome",730
"AprizeSat 10 (exactView-13)","NR","Commercial","Communications/Maritime Tracking","LEO","98","12",2014-06-19,"Dombarovsky Air Base",673
"AprizeSat 2 (LatinSat-D)","USA","Commercial","Communications (experimental)","LEO","100.3","12",2004-06-29,"Baikonur Cosmodrome",772
"AprizeSat 3 (exactView-3)","USA","Commercial","Communications/Maritime Tracking","LEO","97","12",2009-07-29,"Baikonur Cosmodrome",610.5
"AprizeSat 4 (exactView-4)","USA","Commercial","Communications/Maritime Tracking","LEO","97.5","12",2009-07-29,"Baikonur Cosmodrome",639
"AprizeSat 8 (exactView-12)","NR","Commercial","Communications/Maritime Tracking","LEO","97.99","12",2013-11-21,"Dombarovsky Air Base",631.5
"AprizeSat 9 (exactView-11)","NR","Commercial","Communications/Maritime Tracking","LEO","98","12",2014-06-19,"Dombarovsky Air Base",664
"Apstar 1","China","Commercial","Communications","GEO","1436.21","1,383",1994-07-21,"Xichang Satellite Launch Center",35788.5
"Apstar 1A","China","Commercial","Communications","GEO","1436.03","1,383",1996-07-03,"Xichang Satellite Launch Center",35784.5
"Apstar 6","China","Commercial","Communications","GEO","1436.08","4,680",2005-04-12,"Xichang Satellite Launch Center",35786
"Apstar 7","China","Commercial","Communications","GEO","1440.31","5,054",2012-03-31,"Xichang Satellite Launch Center",35869
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)","China","Commercial","Communications","GEO","1436.12","3,000",1998-05-30,"Xichang Satellite Launch Center",35786.5
"Arabsat 5C","NR","Government","Communications","GEO","1436.06","4,630",2011-09-21,"Guiana Space Center",35785.5
"Arabsat 7F (Nimiq 1) ","Canada","Commercial","Communications","GEO","1436.09","3,600",1999-05-20,"Baikonur Cosmodrome",35786
"ArSat 1","NR","Commercial","Communications","GEO","1436.07","3,000",2014-10-16,"Guiana Space Center",35786.5
"Artemis (Advanced Data Relay and Technology Mission Satellite) ","ESA","Commercial/Government","Communications/Research","GEO","1436.12","3,105",2001-07-12,"Guiana Space Center",35787
"AsiaSat-3S (Asiasat 3SA)","China","Commercial","Communications","GEO","1436.07","3,480",1999-03-21,"Baikonur Cosmodrome",35786
"AsiaSat-4 ","China","Commercial","Communications","GEO","1436.1","4,137",2003-04-12,"Cape Canaveral",35786.5
"AsiaSat-5","China","Commercial","Communications","GEO","1436.11","3,760",2009-08-11,"Baikonur Cosmodrome",35786.5
"AsiaSat-6 (Thaicom-7)","China","Commercial","Communications","GEO","1436.17","3,700",2014-09-07,"Cape Canaveral",35788
"AsiaSat-7","China","Commercial","Communications","GEO","1436.17","3,813",2011-11-25,"Baikonur Cosmodrome",35787.5
"AsiaSat-8","NR","Commercial","Communications","GEO","1436.1","4,500",2014-08-05,"Cape Canaveral",35787
"AsiaStar ","USA","Commercial","Communications","GEO","1436.15","2,775",2000-03-21,"Guiana Space Center",35787
"ASNARO 1 (Advanced Satellite with New system Architecture for Observation)","NR","Government","Earth Observation","LEO","94.75","500",2014-11-06,"Dombarovsky Air Base",506.5
"Astra 1D ","Luxembourg","Commercial","Communications","GEO","1436.08","2,924",1994-11-01,"Guiana Space Center",35785.5
"Astra 1E ","Luxembourg","Commercial","Communications","GEO","1436.13","3,014",1995-10-19,"Guiana Space Center",35786.5
"Astra 1F ","Luxembourg","Commercial","Communications","GEO","1436.15","3,010",1996-04-18,"Baikonur Cosmodrome",35787.5
