"","All.food","Food.away.from.home","Food.at.home","Meats","Beef.and.veal","Pork","Other.meats","Poultry","Fish.and.seafood","Eggs","Dairy.products","Fats.and.oils","Fresh.fruits.vegetables","Fresh.fruits","Fresh.vegetables","Processed.fruits.vegetables","Sugar.and.sweets","Cereals.and.bakery.products","Nonalcoholic.beverages","Other.foods","year"
"X2005",2.4,3.1,1.9,2.3,2.6,2,2.4,2,3,-13.7,1.2,-0.1,3.9,3.7,4,3.3,1.2,1.5,2.8,1.6,2005
"X2006",2.4,3.1,1.7,0.7,0.8,-0.2,1.8,-1.8,4.7,4.9,-0.5,0.2,5.3,6,4.6,2.9,3.8,1.8,2.1,1.4,2006
"X2007",4,3.6,4.2,3.3,4.4,2,2.3,5.1,4.6,29.2,7.4,2.9,3.9,4.5,3.2,3.6,3.1,4.4,4.1,1.8,2007
"X2008",5.5,4.4,6.4,3.5,4.5,2.3,3.1,5,5.9,14,8,13.8,5.2,4.8,5.6,9.5,5.5,10.2,4.3,5.2,2008
"X2009",1.8,3.5,0.5,-0.6,-1,-2,2.3,1.7,3.6,-14.7,-6.4,2.3,-4.8,-6.1,-3.4,6.6,5.6,3.2,1.9,3.7,2009
"X2010",0.8,1.3,0.3,2.8,2.9,4.7,-0.1,-0.1,1.1,1.5,1.1,-0.3,0.7,-0.6,2,-1.3,2.2,-0.8,-0.9,-0.5,2010
"X2011",3.7,2.3,4.8,8.8,10.2,8.5,6.4,2.9,7.1,9.2,6.8,9.3,4.5,3.3,5.6,2.9,3.3,3.9,3.2,2.3,2011
"X2012",2.6,2.8,2.5,3.4,6.4,0.3,1.7,5.5,2.4,3.2,2.1,6.1,-2,1,-5.1,3.8,3.3,2.8,1.1,3.5,2012
"X2013",1.4,2.1,0.9,1.2,2,0.9,-0.1,4.7,2.5,3.3,0.1,-1.4,3.3,2,4.7,0.3,-1.7,1,-1,0.5,2013
"X2014",2.4,2.4,2.4,9.2,12.1,9.1,3.9,2,5.8,8.4,3.6,0.1,1.9,4.8,-1.3,0.1,-0.8,0.2,-0.5,1,2014
"X2015",1.9,2.9,1.2,3,7.2,-3.9,4.1,0.4,-0.9,17.8,-1.3,-1,-0.5,-0.5,-2.2,0.7,3.2,1.1,1.1,1.6,2015
