"","All.food","Food.away.from.home","Food.at.home","Meats","Beef.and.veal","Pork","Other.meats","Poultry","Fish.and.seafood","Eggs","Dairy.products","Fats.and.oils","Fresh.fruits.vegetables","Fresh.fruits","Fresh.vegetables","Processed.fruits.vegetables","Sugar.and.sweets","Cereals.and.bakery.products","Nonalcoholic.beverages","Other.foods","year"
"X1974",14.3,12.7,14.9,1.8,2.9,-0.5,3.1,-5.1,15.3,0.4,18.6,41.9,7.8,8.7,7.3,NA,52.4,29.9,19.3,21.4,1974
"X1975",8.5,9.4,8.2,8.5,1,22.4,5.9,10.5,8.5,-1.8,3.1,10.7,2.3,6.8,-1.1,NA,26.1,11.3,15,12.8,1975
"X1976",3,6.8,2.1,0.2,-3.2,1.3,5.9,-4.1,11.7,9.2,8.1,-12.5,2.4,-0.2,4.3,NA,-11.3,-2.2,19.6,4.1,1976
"X1977",6.3,7.6,5.9,-2.3,-0.7,-5.4,-0.6,0.7,10.8,-3.2,2.7,10.1,13.6,14.9,12.6,NA,5,1.6,50.6,3.4,1977
"X1978",9.9,9.1,10.5,18.6,22.9,12.9,17.7,10.4,9.4,-5.4,6.8,9.6,12.9,19.5,8,NA,12.3,9,5.8,8,1978
"X1979",11,11.1,10.8,17,27.4,1.6,14.7,4.9,9.7,9.5,11.6,7.9,7.6,12.4,3,NA,7.8,10,5,10.1,1979
"X1980",8.6,9.9,8.1,2.9,5.7,-3.3,3.8,5.2,9.2,-1.8,9.8,6.7,7.5,6.3,8.8,NA,23,12,10.7,10.9,1980
"X1981",7.8,9,7.2,3.6,0.8,9.3,4.3,4.1,8.3,8.2,7.2,10.6,12,5.4,18.6,NA,8,10,4.3,10.3,1981
"X1982",4.1,5.4,3.5,4.9,1.4,12.8,3,-1.7,3.6,-2.7,1.4,-2.7,5.6,11.1,0.5,NA,-0.2,4.6,2.7,5.2,1982
"X1983",2.1,4.4,1,-1.2,-1.5,-0.9,-0.4,1.3,1.1,4.7,1.2,1.4,-0.3,-4.2,3.6,NA,1.8,3.2,1.9,3.1,1983
"X1984",3.8,4.2,3.7,0.3,1.2,-1.3,0.4,10.6,3.2,11.7,1.3,9.4,10.9,11,10.9,NA,3.9,4.3,2.5,3,1984
"X1985",2.3,3.9,1.5,-0.9,-2.1,0.3,0.7,-1,4.9,-16.6,1.9,2.2,2.6,10.1,-4.3,NA,2.5,3.8,2,3.3,1985
"X1986",3.2,3.9,2.9,3.1,0.6,8.2,2.6,7.5,9.2,6.8,0.1,-2.2,3,2.1,4.1,NA,3,2.8,5.8,2.6,1986
"X1987",4.1,4,4.3,7.5,7.6,8.2,6.3,-1.4,10.6,-5.9,2.5,1.5,12.2,11.2,12.9,NA,1.8,3.5,-2.6,4.2,1987
"X1988",4.1,4.1,4.2,2.4,5.5,-3,2.6,7.2,5.8,2.3,2.4,4.6,7.3,8.3,6.3,NA,2.7,6.4,0,3.7,1988
"X1989",5.8,4.6,6.5,4,6.4,0.6,2.8,9.9,4.5,26.6,6.6,7.2,8.5,6.6,10.7,NA,4.7,8.4,3.5,6.4,1989
"X1990",5.8,4.7,6.5,10.1,8,14.7,9.3,-0.2,2.2,4.7,9.4,4.2,9,12.1,5.6,NA,4.4,5.7,2,4.5,1990
"X1991",2.9,3.4,2.6,3.1,2.8,3.3,3.7,-0.8,1.1,-2.3,-1.1,4.3,8.1,13.5,2.2,NA,3.7,4.1,0.5,4.5,1991
"X1992",1.2,2,0.7,-1.4,-0.1,-4.7,0.2,-0.1,2.3,-10.6,2.7,-1.4,-1.8,-5,2.3,NA,2.9,3.9,0.2,2.2,1992
"X1993",2.2,1.8,2.4,3,3.6,3.1,1.6,4.2,3.2,8.1,0.7,0.2,4.4,2.5,6.6,NA,0.2,3.4,0.3,2.6,1993
"X1994",2.4,1.7,2.9,0.6,-0.8,1.7,2.4,3.4,4.5,-2.4,1.8,2.7,4.5,6.6,2.3,NA,1.3,4.1,7.5,2.6,1994
"X1995",2.8,2.3,3.3,0.1,-0.8,0.7,1.5,1.4,4.8,5.4,0.8,2.8,10.3,8.8,12.1,NA,1.7,2.8,6.9,2.4,1995
"X1996",3.3,2.5,3.7,3.5,-0.3,9.9,3.6,6.2,0.9,17.9,7,2.3,2.8,7,-2,NA,4.5,3.9,-2.4,3.4,1996
"X1997",2.6,2.8,2.5,3,1.7,5.2,2.8,2.8,2.3,-1.5,2.4,0.9,1.7,0.8,2.9,NA,2.9,2.1,3.7,3.2,1997
"X1998",2.2,2.6,1.9,-1.9,-0.2,-4.7,-0.9,0.3,2.6,-3.3,3.6,3.7,7.3,4.3,10.9,NA,1.6,2,-0.3,2.7,1998
"X1999",2.1,2.5,1.9,0.5,2,-1.8,1,0.5,2,-5.4,5.8,1,2.6,8,-3,2.3,1.4,2.2,1,2.1,1999
"X2000",2.3,2.4,2.3,5.9,6.4,7.3,2.6,1.2,2.8,3,0.7,-0.6,0.7,-3,4.8,1.1,1.1,1.8,2.6,2,2000
"X2001",3.2,2.9,3.3,5.7,8.4,3.8,2.9,3.2,0.4,3.4,4,5.6,3.8,2.6,5.1,3.2,1.1,2.9,1,2.2,2001
"X2002",1.8,2.5,1.3,0.6,0.1,-0.4,3.5,1.3,-1.6,1.3,0.6,-0.2,4.2,1.9,6.4,3.8,2.1,2.2,0,0.6,2002
"X2003",2.2,2.1,2.2,5.4,9,1.9,2.5,1.3,1,13.8,-0.1,1.3,2.7,3.3,2.1,0.9,1.9,2.4,0.4,1,2003
"X2004",3.4,3,3.8,8.4,11.5,5.6,4.5,7.5,2.3,6.2,7.3,6.6,3.5,2.8,4.3,1.2,0.7,1.6,0.4,0.5,2004
