Consumer Price Indexes,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dairy.products,18.6 ,3.1 ,8.1 ,2.7 ,6.8 ,11.6 ,9.8 ,7.2 ,1.4 ,1.2 ,1.3 ,1.9 ,0.1 ,2.5 ,2.4 ,6.6 ,9.4 ,-1.1 ,2.7 ,0.7 ,1.8 ,0.8 ,7.0 ,2.4 ,3.6 ,5.8 ,0.7 ,4.0 ,0.6 ,-0.1 ,7.3 ,1.2 ,-0.5,7.4 ,8,-6.4,1.1,6.8,2.1,0.1,3.6,-1.3 
Fats.and.oils,41.9 ,10.7 ,-12.5 ,10.1 ,9.6 ,7.9 ,6.7 ,10.6 ,-2.7 ,1.4 ,9.4 ,2.2 ,-2.2 ,1.5 ,4.6 ,7.2 ,4.2 ,4.3 ,-1.4 ,0.2 ,2.7 ,2.8 ,2.3 ,0.9 ,3.7 ,1.0 ,-0.6 ,5.6 ,-0.2 ,1.3 ,6.6 ,-0.1 ,0.2,2.9 ,13.8,2.3,-0.3,9.3,6.1,-1.4,0.1,-1
Fresh.fruits.vegetables,7.8 ,2.3 ,2.4 ,13.6 ,12.9 ,7.6 ,7.5 ,12.0 ,5.6 ,-0.3 ,10.9 ,2.6 ,3.0 ,12.2 ,7.3 ,8.5 ,9.0 ,8.1 ,-1.8 ,4.4 ,4.5 ,10.3 ,2.8 ,1.7 ,7.3 ,2.6 ,0.7 ,3.8 ,4.2 ,2.7 ,3.5 ,3.9 ,5.3,3.9 ,5.2,-4.8,0.7,4.5,-2,3.3,1.9,-0.5 
Fresh.fruits,8.7 ,6.8 ,-0.2 ,14.9 ,19.5 ,12.4 ,6.3 ,5.4 ,11.1 ,-4.2 ,11.0 ,10.1 ,2.1 ,11.2 ,8.3 ,6.6 ,12.1 ,13.5 ,-5.0 ,2.5 ,6.6 ,8.8 ,7.0 ,0.8 ,4.3 ,8.0 ,-3.0 ,2.6 ,1.9 ,3.3 ,2.8 ,3.7 ,6,4.5 ,4.8,-6.1,-0.6,3.3,1,2,4.8,-0.5 
Fresh.vegetables,7.3 ,-1.1 ,4.3 ,12.6 ,8.0 ,3.0 ,8.8 ,18.6 ,0.5 ,3.6 ,10.9 ,-4.3 ,4.1 ,12.9 ,6.3 ,10.7 ,5.6 ,2.2 ,2.3 ,6.6 ,2.3 ,12.1 ,-2.0 ,2.9 ,10.9 ,-3.0 ,4.8 ,5.1 ,6.4 ,2.1 ,4.3 ,4.0 ,4.6,3.2 ,5.6,-3.4,2,5.6,-5.1,4.7,-1.3,-2.2 
Processed.fruits.vegetables,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3 ,1.1 ,3.2 ,3.8 ,0.9 ,1.2 ,3.3 ,2.9,3.6 ,9.5,6.6,-1.3,2.9,3.8,0.3,0.1,0.7 
Sugar.and.sweets,52.4 ,26.1 ,-11.3 ,5.0 ,12.3 ,7.8 ,23.0 ,8.0 ,-0.2 ,1.8 ,3.9 ,2.5 ,3.0 ,1.8 ,2.7 ,4.7 ,4.4 ,3.7 ,2.9 ,0.2 ,1.3 ,1.7 ,4.5 ,2.9 ,1.6 ,1.4 ,1.1 ,1.1 ,2.1 ,1.9 ,0.7 ,1.2 ,3.8,3.1 ,5.5,5.6,2.2,3.3,3.3,-1.7,-0.8,3.2 
Cereals.and.bakery.products,29.9 ,11.3 ,-2.2 ,1.6 ,9.0 ,10.0 ,12.0 ,10.0 ,4.6 ,3.2 ,4.3 ,3.8 ,2.8 ,3.5 ,6.4 ,8.4 ,5.7 ,4.1 ,3.9 ,3.4 ,4.1 ,2.8 ,3.9 ,2.1 ,2.0 ,2.2 ,1.8 ,2.9 ,2.2 ,2.4 ,1.6 ,1.5,1.8,4.4,10.2,3.2,-0.8,3.9,2.8,1,0.2,1.1 
Nonalcoholic.beverages,19.3 ,15.0 ,19.6 ,50.6 ,5.8 ,5.0 ,10.7 ,4.3 ,2.7 ,1.9 ,2.5 ,2.0 ,5.8 ,-2.6 ,0.0 ,3.5 ,2.0 ,0.5 ,0.2 ,0.3 ,7.5 ,6.9 ,-2.4 ,3.7 ,-0.3 ,1.0 ,2.6 ,1.0 ,0.0 ,0.4 ,0.4 ,2.8 ,2.1,4.1 ,4.3,1.9,-0.9,3.2,1.1,-1,-0.5,1.1 
Other.foods,21.4 ,12.8 ,4.1 ,3.4 ,8.0 ,10.1 ,10.9 ,10.3 ,5.2 ,3.1 ,3.0 ,3.3 ,2.6 ,4.2 ,3.7 ,6.4 ,4.5 ,4.5 ,2.2 ,2.6 ,2.6 ,2.4 ,3.4 ,3.2 ,2.7 ,2.1 ,2.0 ,2.2 ,0.6 ,1.0 ,0.5 ,1.6 ,1.4,1.8 ,5.2,3.7,-0.5,2.3,3.5,0.5,1,1.6 
