Rk,Date,DOW,nMonth,Month,Year,Game#,Game_ID,Tm,Opp,Rslt,Attendance,Temp,Sky,DayNight,Opening_Day
567,4/16/09,Thursday,4,April,2009,1,1,New York Yankees,Cleveland Indians,L 2-10,48271,56,Cloudy,Day,YES
566,4/17/09,Friday,4,April,2009,1,2,New York Yankees,Cleveland Indians,W 6-5,45101,63,Clear,Day,NO
565,4/18/09,Saturday,4,April,2009,1,3,New York Yankees,Cleveland Indians,L 4-22,45167,75,Cloudy,Day,NO
564,4/19/09,Sunday,4,April,2009,1,4,New York Yankees,Cleveland Indians,W 7-3,43068,59,Cloudy,Day,NO
563,4/21/09,Tuesday,4,April,2009,1,5,New York Yankees,Oakland Athletics,W 5-3,42065,54,Cloudy,Night,NO
562,4/22/09,Wednesday,4,April,2009,1,6,New York Yankees,Oakland Athletics,W 9-7,43342,56,Rain,Day,NO
561,4/30/09,Thursday,4,April,2009,1,7,New York Yankees,Los Angeles Angels,W 7-4,43388,57,Cloudy,Night,NO
560,5/1/09,Friday,5,May,2009,1,8,New York Yankees,Los Angeles Angels,W 10-9,44058,66,Cloudy,Night,NO
559,5/2/09,Saturday,5,May,2009,1,9,New York Yankees,Los Angeles Angels,L 4-8,44970,58,Cloudy,Day,NO
558,5/4/09,Monday,5,May,2009,1,10,New York Yankees,Boston Red Sox,L 4-6,46426,54,Rain,Night,NO
557,5/5/09,Tuesday,5,May,2009,1,11,New York Yankees,Boston Red Sox,L 3-7,46810,54,Cloudy,Night,NO
556,5/6/09,Wednesday,5,May,2009,1,12,New York Yankees,Tampa Bay Rays,L 3-4,42585,61,Cloudy,Night,NO
555,5/7/09,Thursday,5,May,2009,1,13,New York Yankees,Tampa Bay Rays,L 6-8,43769,64,Cloudy,Night,NO
554,5/15/09,Friday,5,May,2009,1,14,New York Yankees,Minnesota Twins,W 5-4,43856,68,Cloudy,Night,NO
553,5/16/09,Saturday,5,May,2009,1,15,New York Yankees,Minnesota Twins,W 6-4,45455,65,Cloudy,Day,NO
552,5/17/09,Sunday,5,May,2009,1,16,New York Yankees,Minnesota Twins,W 3-2,44804,58,Cloudy,Day,NO
551,5/18/09,Monday,5,May,2009,1,17,New York Yankees,Minnesota Twins,W 7-6,43244,54,Clear,Night,NO
