Date,Game_ID,DOW,nMonth,Month,Year,Opp,DayNight,Promo,Opening_Day
4/6/16,1,Wednesday,4,April,2016,Houston Astros,Night,YES,YES
4/7/16,2,Thursday,4,April,2016,Houston Astros,Day,NO,NO
4/15/16,3,Friday,4,April,2016,Seattle Mariners,Night,NO,NO
4/16/16,4,Saturday,4,April,2016,Seattle Mariners,Day,NO,NO
4/17/16,5,Sunday,4,April,2016,Seattle Mariners,Day,YES,NO
4/19/16,6,Tuesday,4,April,2016,Oakland Athletics,Night,NO,NO
4/20/16,7,Wednesday,4,April,2016,Oakland Athletics,Night,NO,NO
4/21/16,8,Thursday,4,April,2016,Oakland Athletics,Night,NO,NO
4/22/16,9,Friday,4,April,2016,Tampa Bay Rays,Night,NO,NO
4/23/16,10,Saturday,4,April,2016,Tampa Bay Rays,Day,YES,NO
4/24/16,11,Sunday,4,April,2016,Tampa Bay Rays,Day,NO,NO
5/6/16,12,Friday,5,May,2016,Boston Red Sox,Night,NO,NO
5/7/16,13,Saturday,5,May,2016,Boston Red Sox,Day,YES,NO
5/8/16,14,Sunday,5,May,2016,Boston Red Sox,Night,NO,NO
5/9/16,15,Monday,5,May,2016,Kansas City Royals,Night,NO,NO
5/10/16,16,Tuesday,5,May,2016,Kansas City Royals,Night,YES,NO
5/11/16,17,Wednesday,5,May,2016,Kansas City Royals,Night,NO,NO
5/12/16,18,Thursday,5,May,2016,Kansas City Royals,Night,NO,NO
5/13/16,19,Friday,5,May,2016,Chicago White Sox,Night,YES,NO
5/14/16,20,Saturday,5,May,2016,Chicago White Sox,Day,YES,NO
5/15/16,21,Sunday,5,May,2016,Chicago White Sox,Day,YES,NO
5/24/16,22,Tuesday,5,May,2016,Toronto Blue Jays,Night,NO,NO
5/25/16,23,Wednesday,5,May,2016,Toronto Blue Jays,Night,NO,NO
5/26/16,24,Thursday,5,May,2016,Toronto Blue Jays,Day,YES,NO
6/6/16,25,Monday,6,June,2016,Los Angeles Angels,Night,NO,NO
6/7/16,26,Tuesday,6,June,2016,Los Angeles Angels,Night,NO,NO
6/8/16,27,Wednesday,6,June,2016,Los Angeles Angels,Night,NO,NO
6/9/16,28,Thursday,6,June,2016,Los Angeles Angels,Night,NO,NO
6/10/16,29,Friday,6,June,2016,Detroit Tigers,Night,NO,NO
6/11/16,30,Saturday,6,June,2016,Detroit Tigers,Night,NO,NO
6/12/16,31,Sunday,6,June,2016,Detroit Tigers,Day,YES,NO
6/21/16,32,Tuesday,6,June,2016,Colorado Rockies,Night,NO,NO
6/22/16,33,Wednesday,6,June,2016,Colorado Rockies,Day,YES,NO
6/24/16,34,Friday,6,June,2016,Minnesota Twins,Night,YES,NO
6/25/16,35,Saturday,6,June,2016,Minnesota Twins,Day,YES,NO
6/26/16,36,Sunday,6,June,2016,Minnesota Twins,Day,NO,NO
6/27/16,37,Monday,6,June,2016,Texas Rangers,Night,NO,NO
6/28/16,38,Tuesday,6,June,2016,Texas Rangers,Night,NO,NO
6/29/16,39,Wednesday,6,June,2016,Texas Rangers,Night,NO,NO
6/30/16,40,Thursday,6,June,2016,Texas Rangers,Day,YES,NO
7/12/16,41,Tuesday,7,July,2016,Cleveland Indians,Night,NO,NO
7/15/16,42,Friday,7,July,2016,Boston Red Sox,Night,NO,NO
7/16/16,43,Saturday,7,July,2016,Boston Red Sox,Day,NO,NO
7/17/16,44,Sunday,7,July,2016,Boston Red Sox,Night,NO,NO
7/18/16,45,Monday,7,July,2016,Baltimore Orioles,Night,YES,NO
7/19/16,46,Tuesday,7,July,2016,Baltimore Orioles,Night,YES,NO
7/20/16,47,Wednesday,7,July,2016,Baltimore Orioles,Night,NO,NO
7/21/16,48,Thursday,7,July,2016,Baltimore Orioles,Day,YES,NO
7/22/16,49,Friday,7,July,2016,San Francisco Giants,Night,NO,NO
7/23/16,50,Saturday,7,July,2016,San Francisco Giants,Day,YES,NO
7/24/16,51,Sunday,7,July,2016,San Francisco Giants,Night,NO,NO
8/3/16,52,Wednesday,8,August,2016,New York Mets,Night,NO,NO
8/4/16,53,Thursday,8,August,2016,New York Mets,Night,NO,NO
8/5/16,54,Friday,8,August,2016,Cleveland Indians,Night,NO,NO
8/6/16,55,Saturday,8,August,2016,Cleveland Indians,Day,NO,NO
8/7/16,56,Sunday,8,August,2016,Cleveland Indians,Day,YES,NO
8/12/16,57,Friday,8,August,2016,Tampa Bay Rays,Night,NO,NO
8/13/16,58,Saturday,8,August,2016,Tampa Bay Rays,Day,YES,NO
8/14/16,59,Sunday,8,August,2016,Tampa Bay Rays,Day,YES,NO
8/15/16,60,Monday,8,August,2016,Toronto Blue Jays,Night,NO,NO
8/16/16,61,Tuesday,8,August,2016,Toronto Blue Jays,Night,YES,NO
8/17/16,62,Wednesday,8,August,2016,Toronto Blue Jays,Day,YES,NO
8/26/16,63,Friday,8,August,2016,Baltimore Orioles,Night,YES,NO
8/27/16,64,Saturday,8,August,2016,Baltimore Orioles,Day,YES,NO
8/28/16,65,Sunday,8,August,2016,Baltimore Orioles,Night,NO,NO
9/5/16,66,Monday,9,September,2016,Toronto Blue Jays,Day,YES,NO
9/6/16,67,Tuesday,9,September,2016,Toronto Blue Jays,Night,NO,NO
9/7/16,68,Wednesday,9,September,2016,Toronto Blue Jays,Night,NO,NO
9/8/16,69,Thursday,9,September,2016,Tampa Bay Rays,Night,YES,NO
9/9/16,70,Friday,9,September,2016,Tampa Bay Rays,Night,NO,NO
9/10/16,71,Saturday,9,September,2016,Tampa Bay Rays,Night,YES,NO
9/11/16,72,Sunday,9,September,2016,Tampa Bay Rays,Day,NO,NO
9/12/16,73,Monday,9,September,2016,Los Angeles Dodgers,Night,NO,NO
9/13/16,74,Tuesday,9,September,2016,Los Angeles Dodgers,Night,NO,NO
9/14/16,75,Wednesday,9,September,2016,Los Angeles Dodgers,Day,NO,NO
9/27/16,76,Tuesday,9,September,2016,Boston Red Sox,Night,NO,NO
9/28/16,77,Wednesday,9,September,2016,Boston Red Sox,Night,NO,NO
9/29/16,78,Thursday,9,September,2016,Boston Red Sox,Night,NO,NO
9/30/16,79,Friday,9,September,2016,Baltimore Orioles,Night,NO,NO
10/1/16,80,Saturday,10,October,2016,Baltimore Orioles,Night,NO,NO
10/2/16,81,Sunday,10,October,2016,Baltimore Orioles,Night,NO,NO
