"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
2014	96753	40846	99193	25071	"total"	"Education"	32860.2816133016	195946	15775	-2440	0.480062836516118
2013	95921	40328	98670	24773	"total"	"Education"	32440.6267401884	194591	15555	-2749	0.479491352758916
2012	94263	38428	96256	23946	"total"	"Education"	31111.2526309712	190519	14482	-1993	0.465490739694074
2011	93141	37653	95404	23395	"total"	"Education"	30438.434607123	188545	14258	-2263	0.468420935045834
2010	92242	36852	94679	22934	"total"	"Education"	29802.2713873776	186921	13918	-2437	0.467011383766367
2009	91745	36801	93426	23159	"total"	"Education"	29918.0783113987	185171	13642	-1681	0.455978484246512
2008	91653	37463	93143	22944	"total"	"Education"	30144.9670501526	184796	14519	-1490	0.481639272514199
2007	90647	37828	92075	23052	"total"	"Education"	30382.261665262	182722	14776	-1428	0.48633640782886
2006	89816	36847	91315	21900	"total"	"Education"	29311.6509708443	181131	14947	-1499	0.509933746647962
2005	88804	35758	90762	20806	"total"	"Education"	28200.4811824065	179566	14952	-1958	0.530203718982219
2004	87570	34823	89794	20147	"total"	"Education"	27392.987460815	177364	14676	-2224	0.535757555505534
2003	86532	33517	89118	19679	"total"	"Education"	26496.1353031597	175650	13838	-2586	0.522264845105535
2002	85668	32471	88903	18965	"total"	"Education"	25592.8591976903	174571	13506	-3235	0.527725327431132
2001	84389	32494	88075	18549	"total"	"Education"	25372.479711708	172464	13945	-3686	0.549611238572207
2000	83860	32155	87619	18032	"total"	"Education"	24938.7044944279	171479	14123	-3759	0.566308486599837
1999	82795	31545	87229	17022	"total"	"Education"	24094.1297287442	170024	14523	-4434	0.602760928222036
1998	80869	30654	84819	16258	"total"	"Education"	23284.3997634107	165688	14396	-3950	0.618268031225867
1997	80263	28919	83821	15573	"total"	"Education"	22101.3025645401	164084	13346	-3558	0.60385581171187
1996	79423	27248	83056	14682	"total"	"Education"	20824.513297103	162479	12566	-3633	0.603423466408125
1995	78264	26346	82457	13821	"total"	"Education"	19920.119592337	160721	12525	-4193	0.628761285389982
1994	77546	25465	81829	12766	"total"	"Education"	18944.86528	159375	12699	-4283	0.670313555272746
1993	76419	24605	80898	12234	"total"	"Education"	18243.3915406472	157317	12371	-4479	0.678108561800955
1992	75872	23894	79854	11922	"total"	"Education"	17754.9346673003	155726	11972	-3982	0.674291413870937
1991	75137	23686	79383	11580	"total"	"Education"	17466.6717706446	154520	12106	-4246	0.693091400523481
2014	4467	19553	3644	11558	"less_than_9th_grade"	"Education"	15961.1149056836	8111	7995	823	0.500904858291136
2013	4682	18503	3664	11249	"less_than_9th_grade"	"Education"	15318.4018691589	8346	7254	1018	0.473548093460373
2012	4510	18002	3674	10841	"less_than_9th_grade"	"Education"	14787.25	8184	7161	836	0.484268542156249
2011	4633	17505	3839	11113	"less_than_9th_grade"	"Education"	14608.5306893296	8472	6392	794	0.437552559934647
2010	4757	16384	3897	10680	"less_than_9th_grade"	"Education"	13815.4203836376	8654	5704	860	0.412871982292741
2009	4736	16473	4036	10516	"less_than_9th_grade"	"Education"	13732.1823985408	8772	5957	700	0.433798490808933
