NYC Zip Code,Neighborhood,UHF code,Obese Percent,popdense,pop,area
11372,West Queens ,402,22.6,97325.47,71308,0.7326756295
11377,West Queens ,402,22.6,34536.25,88339,2.5578631148
11373,West Queens ,402,22.6,60548.99,105723,1.7460737165
11101,Long Island City-Astoria ,401,16.4,9029.74,25595,2.8345223672
11102,Long Island City-Astoria ,401,16.4,44416.74,36291,0.8170568124
11103,Long Island City-Astoria ,401,16.4,62111.19,44321,0.7135751223
11104,Long Island City-Astoria ,401,16.4,74459.01,29506,0.3962717205
11106,Long Island City-Astoria ,401,16.4,49707.26,43130,0.8676800934
11105,Long Island City-Astoria ,401,16.4,25956.3,42117,1.6226118515
11359,Long Island City-Astoria ,401,16.4,24229,4846,0.2000082546
10004,Lower Manhattan ,310,12.1,2162.99,1225,0.5663456604
10005,Lower Manhattan ,310,12.1,11701.01,884,0.0755490338
10006,Lower Manhattan ,310,12.1,21409.87,1447,0.0675856509
10007,Lower Manhattan ,310,12.1,19299.09,3522,0.1824956513
10038,Lower Manhattan ,310,12.1,55019.61,15574,0.2830627116
10282,Lower Manhattan ,310,,22155.94,1574,0.0710418967
10280,Lower Manhattan ,310,12.1,44080.87,6614,0.1500424107
10002,Union Square-Lower East Side,309,12.1,91610.4,84870,0.9264232009
10003,Union Square-Lower East Side,309,12.1,93255.87,53673,0.5755455394
10009,Union Square-Lower East Side,309,12.1,100687.04,58595,0.5819517586
10012,Greenwich Village-Soho ,308,10.6,80124.51,26000,0.3244949642
10013,Greenwich Village-Soho ,308,10.6,45458.99,25042,0.5508701359
10014,Greenwich Village-Soho ,308,10.6,57977.33,32667,0.563444367
10010,Gramercy Park-Murray ,307,9.7,70827.7,26408,0.3728484759
10016,Gramercy Park-Murray ,307,9.7,93367.31,51217,0.5485538782
10017,Gramercy Park-Murray ,307,9.7,49391.49,16201,0.3280119713
10022,Gramercy Park-Murray ,307,9.7,68953.71,30642,0.4443850809
10001,Chelsea-Clinton ,306,10.6,2611.88,17310,6.6274101414
10011,Chelsea-Clinton ,306,10.6,71113.64,46669,0.6562594743
10018,Chelsea-Clinton ,306,10.6,14250.83,4255,0.2985791003
10019,Chelsea-Clinton ,306,10.6,48203.17,36012,0.7470877953
10020,Chelsea-Clinton ,306,10.6,1,35.7142857143,0.028
10036,Chelsea-Clinton ,306,10.6,36429.01,18751,0.5147271364
10021,Upper East Side ,305,9.7,82704.42,102078,1.2342508417
10028,Upper East Side ,305,9.7,126067.69,44987,0.3568479759
10044,Upper East Side ,305,9.7,39391.64,9520,0.2416756449
10128,Upper East Side ,305,9.7,122356.52,59856,0.4891933834
10023,Upper West Side ,304,12,90007.7,62206,0.6911186487
10024,Upper West Side ,304,12,58433.71,61414,1.0510029228
10025,Upper West Side ,304,12,88306.24,97806,1.1075774487
10029,East Harlem ,303,37.8,80506.67,75390,0.936444148
10035,East Harlem ,303,37.8,23818.08,32702,1.3729906021
10026,Central Harlem-Morningside Heights ,302,27.3,91152.04,30377,0.3332563923
10027,Central Harlem-Morningside Heights ,302,27.3,55006.21,56168,1.0211210698
10030,Central Harlem-Morningside Heights ,302,27.3,85824.24,25847,0.3011620027
10037,Central Harlem-Morningside Heights ,302,27.3,65200.97,16984,0.2604869222
10039,Central Harlem-Morningside Heights ,302,27.3,70988.68,21737,0.3062037497
10031,Washington Heights-Inwood ,301,23.8,101100.03,60221,0.5956575878
10032,Washington Heights-Inwood ,301,23.8,97879.45,63842,0.6522513153
10033,Washington Heights-Inwood ,301,23.8,78867.63,58259,0.7386934285
