"author","channel","content_sentiment_polarity","content_subjectivity","id","n_tokens_content","n_tokens_title","num_hrefs","num_imgs","num_keywords","num_self_hrefs","num_videos","post_date","shares","timedelta","title_sentiment_polarity","title_subjectivity","type"
"Adam Rosenberg","Entertainment",0.126124600037644,0.502277432712215,"56cbc23812d2cd276f000202",297,10,97,0,7,1,0,"2016-02-23T02:21:37+00:00",621,1,0.0681818181818182,0.75,"rising"
"Saba Hamedy","Entertainment",0.137396694214876,0.445110192837466,"56cba8b397b2f80a8c0004f4",223,10,97,0,7,3,1,"2016-02-23T00:32:35+00:00",1100,1,0,0,"hot"
"Laura Vitto","Watercooler",0.276649305555556,0.504861111111111,"56ba570d97b2f83f7c000022",319,9,95,8,5,1,0,"2016-02-09T21:15:35+00:00",350,15,0,1,"new"
"Noelle Sciacca","Lifestyle",0.14461038961039,0.494415584415584,"56c74a13b589e419a4000197",497,9,109,8,4,6,0,"2016-02-19T16:59:11+00:00",838,5,0.136363636363636,0.454545454545455,"new"
"Laura Vitto","Watercooler",0.521428571428571,0.342857142857143,"56c36b5c12d2cd21df000496",125,12,88,2,5,1,1,"2016-02-16T18:32:59+00:00",919,8,0.5,0.15,"rising"
"Andrea Romano","Watercooler",0.0950980392156863,0.42156862745098,"56be151912d2cd6f8f00044e",402,12,102,0,9,1,1,"2016-02-12T17:22:46+00:00",427,12,0.1,0.35,"new"
"Ryan Creamer","Watercooler",0.126623376623377,0.455411255411255,"56bba69cb589e44191000044",190,6,109,19,4,1,0,"2016-02-10T21:07:33+00:00",805,14,0.5,1,"new"
"The Associated Press","Entertainment",0.0753190774742499,0.494223018360949,"56c5c39897b2f8543700068d",325,10,100,0,5,1,0,"2016-02-18T13:13:36+00:00",755,6,0,0.1,"new"
"Jason Abbruzzese","Business",0.098252069567859,0.440026581605529,"56cc8a3497b2f83f3b00004c",1007,10,99,0,4,3,0,"2016-02-23T16:34:28+00:00",1100,1,0,0,"hot"
"Sonam Joshi","Tech",0.100840336134454,0.569887955182073,"56bafa0bb589e4121800034d",401,10,113,0,7,2,0,"2016-02-10T08:50:46+00:00",2600,14,0,0,"hot"
"Christopher Miller","World",-0.0420211038961039,0.274429112554113,"56bd1f1312d2cd66220000b3",638,12,92,2,6,1,0,"2016-02-11T23:53:37+00:00",861,12,-0.45,0.7,"rising"
"Brian Koerber","Watercooler",0.0704226475279107,0.537432216905901,"56c3868cb589e47f36000761",214,8,96,0,6,8,1,"2016-02-16T20:28:17+00:00",1100,8,0.136363636363636,0.454545454545455,"rising"
"Nick Jaynes","Tech",0.134027777777778,0.364670138888889,"56c5064eb05f9d6e710001da",270,13,95,0,7,4,1,"2016-02-17T23:46:17+00:00",2200,6,-0.1,0.0708333333333333,"hot"
"Ryan Creamer","Watercooler",0.0746843434343434,0.637373737373737,"56c74e38b589e443fb000008",132,12,96,0,8,1,0,"2016-02-19T17:17:35+00:00",660,5,0,0,"new"
"Sam Laird","Entertainment",0.154480294011544,0.424643909331409,"56bde583b05f9d26a70002e7",1110,15,104,0,9,7,16,"2016-02-12T14:00:29+00:00",2200,12,0.2,0.5,"hot"
"Alicia Tan","World",-0.000771604938271608,0.372067901234568,"56cc254e97b2f80a8c000848",263,11,92,1,6,2,1,"2016-02-23T09:24:25+00:00",1000,1,-0.125,1,"new"
"The Associated Press","World",0.0170401493930906,0.283380018674136,"56c5c77212d2cd1d1a0003b5",942,9,88,0,6,2,0,"2016-02-18T13:30:04+00:00",582,6,-0.4,0.7,"new"
"Max Knoblauch","Watercooler",0.409880952380952,0.598571428571429,"56ba1e21b05f9d1af1000069",220,8,100,0,9,1,0,"2016-02-09T17:12:28+00:00",692,15,0.4,0.375,"new"
"Victoria Ho","Entertainment",0.166226126814362,0.453787029963501,"56c3d44eb589e43e6c0001f3",728,12,97,1,9,1,0,"2016-02-17T02:00:39+00:00",1200,7,0.142857142857143,0.317857142857143,"rising"
"Stan Schroeder","Tech",0.0695665445665446,0.547486772486773,"56cb5e7197b2f80a8c0002bc",495,9,91,0,5,3,0,"2016-02-22T19:15:45+00:00",1100,2,0,0,"hot"
"Sandra Gonzalez","Entertainment",0.13420219372751,0.492275242338534,"56c1433fb589e442680011d4",905,12,89,0,6,3,0,"2016-02-15T03:17:08+00:00",1700,9,-0.00479797979797981,0.535858585858586,"hot"
"Liza Hearon","World",0.24,0.58,"56ba0f3a12d2cd1112000017",144,11,99,0,9,5,1,"2016-02-09T16:09:25+00:00",754,15,0.4,0.85,"rising"
"Cailey Rizzo","Lifestyle",0.144918831168831,0.449372294372294,"56bcd50897b2f866df000a71",230,8,93,13,6,1,0,"2016-02-11T18:37:41+00:00",7400,13,0,0,"hot"
"Cameron Joseph","World",0.0958333333333334,0.452777777777778,"56c53c21b589e46e30000564",191,10,93,0,6,1,0,"2016-02-18T03:35:46+00:00",1300,6,-0.6,0.8,"rising"
"Neha Prakash","Watercooler",0.248731060606061,0.411117424242424,"56baf45a97b2f876df00064f",196,12,94,1,9,1,0,"2016-02-10T08:26:44+00:00",869,14,0,1,"rising"
"Laura Vitto","Watercooler",0.091359126984127,0.449563492063492,"56be0be097b2f84c2e000645",113,10,96,0,7,8,1,"2016-02-12T16:44:06+00:00",984,12,0.318181818181818,0.727272727272727,"rising"
"The Associated Press","World",-0.00277777777777778,0.213888888888889,"56c1b6cdb589e44268001368",423,8,89,0,4,1,1,"2016-02-15T11:30:09+00:00",1100,9,0,0,"rising"
