"author","channel","content_sentiment_polarity","content_subjectivity","id","n_tokens_content","n_tokens_title","num_hrefs","num_imgs","num_keywords","num_self_hrefs","num_videos","post_date","shares","timedelta","title_sentiment_polarity","title_subjectivity","type"
"Emily Blake","Entertainment",-0.000915404040404052,0.522277462121212,"56c1a57197b2f8124b0012c3",398,11,93,0,6,1,0,"2016-02-15T10:15:57+00:00",1000,9,0,0,"new"
"Jenni Ryall","Entertainment",0.116929016929017,0.430620730620731,"56c125d197b2f8124b000f11",505,11,89,0,7,1,16,"2016-02-15T01:11:20+00:00",1000,9,0.266666666666667,0.233333333333333,"rising"
"Heather Dockray","Watercooler",0.0614775910364146,0.454817927170868,"56c2274ab589e44268001645",160,10,92,1,6,1,0,"2016-02-15T19:30:08+00:00",730,9,-0.125,0.375,"rising"
"Lance Ulanoff","Tech",0.0836006839431497,0.45741070193125,"56c75a6797b2f86ca0000002",1038,11,102,1,8,7,1,"2016-02-19T18:09:00+00:00",1200,5,0.5,0.5,"rising"
"Sandra Gonzalez","Entertainment",-0.0149733664772727,0.480127840909091,"56c15deb12d2cd6bae000bd6",146,14,95,0,8,8,1,"2016-02-15T05:10:53+00:00",4100,9,-0.102727272727273,0.445909090909091,"hot"
"Katie Dupere","World",0.183992652084757,0.439828263841422,"56bf902112d2cd6bae0001e9",329,10,97,3,10,1,0,"2016-02-13T20:20:20+00:00",1500,11,0.5,0.6,"rising"
"The Associated Press","World",0.0153630460448642,0.437291748655385,"56bf3e54b05f9d65990005e3",815,12,88,1,6,2,0,"2016-02-13T14:30:56+00:00",940,11,-0.115909090909091,0.363636363636364,"rising"
"Kelly Diamond","Watercooler",0.395555555555556,0.59,"56bbf3a112d2cd5b6f00025e",277,14,98,1,6,1,0,"2016-02-11T02:35:55+00:00",13600,13,0.136363636363636,0.454545454545455,"hot"
"Kellen Beck","Tech",0.074264705882353,0.466176470588235,"56c579b9b589e46e30000603",253,12,97,0,6,2,0,"2016-02-18T07:58:30+00:00",1200,6,0,0,"rising"
"Lance Ulanoff","Tech",0.14751111820784,0.516495935758231,"56bf4d56b589e44268000763",768,11,96,5,8,1,0,"2016-02-13T15:35:33+00:00",1600,11,0.5,0.6,"hot"
"Proma Khosla","Entertainment",0.322763347763348,0.50021645021645,"56cc736312d2cd276f000591",245,13,92,0,8,1,0,"2016-02-23T14:57:16+00:00",394,1,0,0,"rising"
"Andrew Freedman","World",0.104301801801802,0.507972972972973,"56c8d5ec97b2f87995000042",768,11,101,0,9,1,0,"2016-02-20T21:08:33+00:00",1100,4,0,0,"rising"
"Travis Andrews","Entertainment",0.123305084745763,0.420856873822975,"56c2835f97b2f8221000000f",774,13,87,2,3,2,0,"2016-02-16T02:01:30+00:00",1200,8,0,0,"hot"
"Tim Chester","Entertainment",0.245,0.64875,"56c44cb8b05f9d253d000235",146,11,99,0,8,9,1,"2016-02-17T10:34:03+00:00",6700,7,0,0,"hot"
"Rachel Thompson","Lifestyle",0.204945054945055,0.561263736263736,"56caffd612d2cd170500001c",195,12,92,1,8,1,0,"2016-02-22T12:32:02+00:00",719,2,0.2,0.4,"rising"
"Colin  Daileda","World",0.155594405594406,0.387179487179487,"56cd5eb7b589e416fd00000b",254,12,92,0,6,1,0,"2016-02-24T07:41:09+00:00",462,0,0,0,"new"
"Adam Rosenberg","Entertainment",0.172025067955301,0.477292862176583,"56c48e34b05f9d253d000295",570,14,103,0,8,3,0,"2016-02-17T15:13:56+00:00",436,7,0.125,0.416666666666667,"rising"
"Andrea Romano","Watercooler",0.261607142857143,0.624404761904762,"56c1fe1897b2f8124b00148f",144,12,96,0,8,1,0,"2016-02-15T16:34:23+00:00",4000,9,0.25,0.8,"hot"
"Rebecca Ruiz","Entertainment",0.0583008066614624,0.567265157429092,"56c6254ab589e46e300009a0",813,13,88,0,3,1,1,"2016-02-18T20:10:35+00:00",1300,6,0,0,"hot"
"Chris Grasinger","World",0.0916666666666667,0.616666666666667,"56c79c43b05f9d127c000004",38,13,85,0,10,0,1,"2016-02-19T22:50:42+00:00",1000,4,-0.25,1,"rising"
"Alicia Tan","Watercooler",0.0748010176957545,0.460417710944027,"56cc29d112d2cd276f000342",164,11,97,0,8,8,1,"2016-02-23T09:43:42+00:00",1300,1,-0.0777777777777778,0.144444444444444,"hot"
"Proma Khosla","Watercooler",0.414320054945055,0.704395604395604,"56c3c0ac97b2f820730000d7",340,7,92,0,7,1,0,"2016-02-17T00:36:13+00:00",1100,7,-0.155555555555556,0.288888888888889,"hot"
"Taylor Jones","Watercooler",0.42,0.48,"56cb963eb05f9d274f0002ab",27,9,87,0,10,0,1,"2016-02-22T23:13:43+00:00",739,1,0.25,0.75,"rising"
"Jenni Ryall","Tech",0.21619644723093,0.454310344827586,"56c423abb589e43e6c00036b",429,14,93,2,9,1,0,"2016-02-17T07:39:15+00:00",2100,7,0.25,0.333333333333333,"hot"
"Johnny Lieu","Watercooler",0.0865873015873016,0.42702876984127,"56baf2fc97b2f876df000647",176,9,97,0,7,8,0,"2016-02-10T08:21:07+00:00",789,14,-1,1,"rising"
"Kellen Beck","Tech",-0.0607692307692308,0.291538461538462,"56c3ab0eb589e43e6c000094",205,9,91,0,5,2,0,"2016-02-16T23:04:31+00:00",908,7,0,0,"rising"
"Kellen Beck","Tech",0.182348901098901,0.463324175824176,"56ba281912d2cd09f5000002",399,9,94,0,5,3,0,"2016-02-09T17:55:26+00:00",1700,15,0,0.0625,"hot"
"Ryan Creamer","Watercooler",0.235930735930736,0.600721500721501,"56ba92e397b2f876df000185",246,10,97,1,5,1,0,"2016-02-10T01:31:05+00:00",3700,14,-0.15,0.4,"hot"
"Wolfgang Wild","Entertainment",0.0777380952380952,0.388273809523809,"56ca1e8412d2cd2b4c000847",418,8,21,21,8,12,0,"2016-02-21T20:30:35+00:00",2528,3,0.116666666666667,0.583333333333333,"hot"
"Proma Khosla","Entertainment",0.218554593554594,0.510702260702261,"56cc9fc4b05f9d49c30000a3",350,11,93,0,10,2,0,"2016-02-23T18:06:54+00:00",583,1,0,0,"new"
"Olivia Niland","Tech",0.208101851851852,0.413888888888889,"56bd33a312d2cd66220000d7",297,10,91,0,6,2,0,"2016-02-12T01:21:39+00:00",2500,12,0,0,"hot"
"Tricia Gilbride","Watercooler",0.2701416015625,0.536458333333333,"56c3949c12d2cd21df0005d9",437,13,106,1,10,1,0,"2016-02-16T21:28:52+00:00",638,8,0.55,0.7,"new"
"Max Knoblauch","Watercooler",0.01,0.410555555555556,"56c58c6ab05f9d6e7100055f",164,10,94,0,6,8,0,"2016-02-18T09:18:03+00:00",2000,6,-0.2,0.46875,"hot"
"Marcus Gilmer","Watercooler",0.0701923076923077,0.476923076923077,"56ca6f60b05f9d49440006e4",227,13,93,1,7,2,0,"2016-02-22T02:15:40+00:00",1700,2,-0.2,0.6,"rising"
"Emily Cahn","World",0.209397163120567,0.52016210739615,"56c8e65497b2f87995000051",620,7,102,1,6,1,0,"2016-02-20T22:18:52+00:00",2400,3,0.3,0.2,"hot"
"David Yi","Lifestyle",0.157970620066208,0.494647631779985,"56bcc3ecb589e441910008d1",753,8,91,9,6,2,1,"2016-02-11T17:24:31+00:00",978,13,0,0.5625,"rising"
"Brian Koerber","Watercooler",0.095,0.39875,"56ca973897b2f87995000818",83,10,94,0,4,8,1,"2016-02-22T05:05:42+00:00",728,2,0,0.1,"rising"
"Raymond Wong","Tech",0.2,0.442647058823529,"56c9fbefb589e47a2d00071a",234,10,97,1,8,5,1,"2016-02-21T18:03:18+00:00",2400,3,0.2,0.7,"rising"
"Alicia Tan","Watercooler",0.00951754385964912,0.417017543859649,"56bdbfca12d2cd6f8f00028e",172,10,97,0,8,8,1,"2016-02-12T11:19:13+00:00",794,12,0.0833333333333333,0.533333333333333,"new"
"Johnny Lieu","Watercooler",0.175553613053613,0.499708624708625,"56c1753f12d2cd6bae000bfa",306,10,91,0,7,2,2,"2016-02-15T06:50:36+00:00",1300,9,0.136363636363636,0.454545454545455,"hot"
"Miriam Kramer","World",0.0889085661812934,0.599939328348419,"56bd089897b2f848920000cb",541,11,95,0,6,2,1,"2016-02-11T22:17:39+00:00",4000,12,0,1,"hot"
"Tricia Gilbride","Watercooler",0.173873197115385,0.471794871794872,"56cc7c4fb589e47876000037",234,14,98,0,9,1,0,"2016-02-23T15:35:23+00:00",4400,1,0.0333333333333333,0.466666666666667,"hot"
"The Associated Press","World",-0.0115793650793651,0.429555555555556,"56bd213a97b2f84892000205",629,11,92,1,7,4,1,"2016-02-12T00:03:03+00:00",1000,12,0,1,"rising"
"Brian Ries","World",0.0169369369369369,0.419316816816817,"56c5ed1497b2f85437000946",513,12,99,2,10,1,1,"2016-02-18T16:10:30+00:00",8500,6,-0.1,0.2,"hot"
"Christina Warren","Tech",0.0806423611111111,0.528891369047619,"56cc8bc8b589e47876000069",890,15,97,0,8,1,1,"2016-02-23T16:41:18+00:00",723,1,-0.1,0.4,"rising"
"Jake Fertig","Watercooler",0.369480519480519,0.579220779220779,"56be1d65b589e44554000531",44,9,85,0,10,0,1,"2016-02-12T17:58:27+00:00",938,12,0,0,"new"
"Victoria Ho","World",0.118410755910756,0.363307525807526,"56cc1f1812d2cd276f00033d",481,9,94,7,5,1,0,"2016-02-23T08:57:21+00:00",1100,1,0.166666666666667,0.666666666666667,"new"
"Alex Arbuckle","World",0.00719696969696969,0.285227272727273,"56b9b95097b2f871800003da",377,11,22,37,10,12,0,"2016-02-09T10:02:48+00:00",2422,15,0,0,"rising"
"Thrive Market","Lifestyle",0.143794191919192,0.520974025974026,"56bf3a9bb589e4426800064e",638,13,107,0,9,0,0,"2016-02-13T14:15:52+00:00",802,11,0.5,0.6,"new"
"Neha Prakash","Watercooler",0.198523698523699,0.613597513597514,"56c5da1812d2cd1d1a00040e",133,12,90,0,6,1,0,"2016-02-18T14:49:11+00:00",11100,6,0,0.666666666666667,"hot"
"The Conversation","World",0.101934865900383,0.472136927567962,"56c6064fb589e46e300008e9",821,8,107,1,8,0,0,"2016-02-18T17:58:25+00:00",2000,6,0.5,0.5,"hot"
"Sonam Joshi","Entertainment",0.139444444444444,0.486018518518519,"56c32b9c12d2cd21df00027e",259,14,95,0,7,9,1,"2016-02-16T14:00:56+00:00",1000,8,0,0,"new"
"Kelly Diamond","Watercooler",0.323728354978355,0.591329966329966,"56c4bb2397b2f82073000828",571,8,93,12,8,1,0,"2016-02-17T18:25:22+00:00",1200,7,0,0,"hot"
"Emily Blake","Entertainment",0.156969696969697,0.587380952380952,"56bba509b589e4419100003e",148,10,91,0,7,3,0,"2016-02-10T21:00:43+00:00",558,14,0,0,"new"
"Alex Arbuckle","Tech",0.00814183501683501,0.356252104377104,"56bb551297b2f876df0008b5",290,11,21,38,10,12,0,"2016-02-10T15:19:41+00:00",12342,14,0.25,0.333333333333333,"hot"
"Cailey Rizzo","Lifestyle",0.0625,0.31875,"56be187812d2cd6f8f000453",273,10,99,0,5,1,0,"2016-02-12T17:37:37+00:00",495,12,0.5,1,"new"
"Chelsea Frisbie","Lifestyle",-0.175,0.708333333333333,"56bf0df9b589e442680005d8",55,10,112,17,10,1,0,"2016-02-13T11:05:19+00:00",5000,11,0.2,0.2,"hot"
"Rachel Thompson","Lifestyle",0.112348685265352,0.484511784511784,"56be000897b2f84c2e0005e2",843,13,90,7,8,1,0,"2016-02-12T15:53:19+00:00",3400,12,0,0,"rising"
"Tim Chester","Entertainment",0.30959595959596,0.589393939393939,"56c0f901b589e44268001087",143,13,95,0,10,1,0,"2016-02-14T22:00:21+00:00",2600,9,0,1,"hot"
"Emily Cahn","World",0.129886363636364,0.364100378787879,"56cd2d1812d2cd26ae000002",547,10,106,0,5,1,0,"2016-02-24T04:09:39+00:00",916,0,-0.26,0.52,"new"
"Katie Dupere","World",0.104995228785551,0.471216194200065,"56bf626197b2f8124b00076c",858,16,101,0,7,2,0,"2016-02-13T17:05:17+00:00",798,11,0.2,0.2,"new"
"Laura Vitto","World",0.0349206349206349,0.463492063492064,"56c9f751b05f9d4944000499",271,11,132,38,7,2,0,"2016-02-21T17:43:21+00:00",1300,3,0,0,"hot"
"Rebecca Ruiz","Lifestyle",0.0195652411561503,0.454036984340014,"56c5b2b8b589e46e30000656",1202,8,107,1,6,5,0,"2016-02-18T12:03:00+00:00",5800,6,0,0,"hot"
"Brian Koerber","World",-0.0113636363636364,0.369621212121212,"56c899ecb589e4791a000164",203,13,96,0,5,1,0,"2016-02-20T16:52:22+00:00",5100,4,0.1,0.4,"hot"
"Chris Grasinger","World",0.075,0.158333333333333,"56ba53f7b589e40660000114",69,13,86,0,7,0,1,"2016-02-09T21:02:38+00:00",489,15,0.2,1,"new"
"Andrea Romano","Watercooler",0.267777777777778,0.537777777777778,"56bfd58297b2f8124b00091b",106,12,97,0,8,8,1,"2016-02-14T01:16:40+00:00",1900,10,0.0166666666666666,0.566666666666667,"hot"
"Laura Vitto","Watercooler",0.303571428571429,0.408333333333333,"56bd143612d2cd662200009d",228,14,95,4,5,2,0,"2016-02-11T23:07:33+00:00",1600,12,0.6,0.9,"hot"
"Andrea Romano","Watercooler",0.00296969696969696,0.395666666666667,"56bf6e0f12d2cd6bae0001d3",133,10,102,0,10,8,1,"2016-02-13T17:55:05+00:00",404,11,0.333333333333333,0.666666666666667,"rising"
"Annie Park","Social Media",0.325,0.602083333333333,"56cc9a1812d2cd3f68000156",96,11,86,0,6,1,0,"2016-02-23T17:42:44+00:00",1400,1,0,0,"hot"
"Ariel Bogle","World",0.0943067033976124,0.425803489439853,"56bae48812d2cd06c30002a0",575,12,93,0,5,5,0,"2016-02-10T07:19:22+00:00",1000,14,0.433333333333333,0.833333333333333,"rising"
"Rachel Thompson","Lifestyle",0.0972222222222223,0.819444444444445,"56cad79c97b2f80bba000002",97,11,86,16,7,0,0,"2016-02-22T09:40:34+00:00",1200,2,-1,1,"rising"
"Patrick Kulp","Business",0.0035742035742036,0.448931623931624,"56c4ed1e97b2f85437000079",442,9,91,0,4,2,0,"2016-02-17T21:58:08+00:00",3300,6,-0.7,0.8,"hot"
"Christina Warren","Entertainment",0.3,0.472727272727273,"56be5914b589e44268000144",218,10,99,0,7,5,0,"2016-02-12T22:13:19+00:00",697,11,0,0,"rising"
"Seth Fiegerman","Business",0.0427678571428571,0.429482600732601,"56be3d8012d2cd6f8f00065c",420,12,96,0,3,3,0,"2016-02-12T20:15:11+00:00",4100,12,0,0,"hot"
"Noelle Sciacca","Lifestyle",0.0273892773892774,0.525058275058275,"56c1e83497b2f8124b001459",121,13,10,8,5,0,1,"2016-02-15T15:01:02+00:00",986,9,0,0,"rising"
"Tim Chester","Watercooler",0.338043396932286,0.47115974560419,"56c4682c97b2f820730004f5",349,11,90,3,6,1,0,"2016-02-17T12:31:36+00:00",921,7,0.8,0.9,"rising"
"Emily Blake","Entertainment",0.323363095238095,0.606349206349206,"56bb9359b589e434f300035b",329,14,90,0,6,2,1,"2016-02-10T19:45:19+00:00",1600,14,0,0,"hot"
"Tim Chester","Entertainment",0.0438981331168831,0.377486471861472,"56c5918ab589e46e3000062b",158,11,98,1,9,9,1,"2016-02-18T09:40:18+00:00",1700,6,0.193181818181818,0.416666666666667,"hot"
"Stan Schroeder","Tech",0.0549090909090909,0.34769696969697,"56c1add012d2cd6bae000c2b",303,9,91,0,5,3,0,"2016-02-15T10:51:13+00:00",2300,9,0.136363636363636,0.454545454545455,"rising"
"Raymond Wong","Tech",0.248267288267288,0.469522422022422,"56c5764097b2f8543700024b",404,10,93,1,7,3,1,"2016-02-18T07:43:58+00:00",621,6,1,0.3,"rising"
"Climate Central","World",0.100570500927644,0.42107967429396,"56bd0ea197b2f848920000e5",617,14,102,1,8,0,0,"2016-02-11T22:43:38+00:00",649,12,0,0,"rising"
"Christina Warren","Tech",0.0887210980234236,0.472173562871237,"56c532b712d2cd1d1a00020d",1854,15,109,0,10,4,1,"2016-02-18T02:55:32+00:00",1900,6,0.1,0.55,"hot"
"Hillary Busis","Entertainment",0.0661111111111111,0.498849206349206,"56c09151b589e44268000d7e",604,12,102,1,9,4,1,"2016-02-14T14:37:33+00:00",1800,10,-0.2,0.35,"rising"
"Davina Merchant","Entertainment",0.0830555555555556,0.382222222222222,"56bcce22b05f9d1982000781",241,11,91,0,7,1,1,"2016-02-11T18:07:56+00:00",262,13,0,0,"new"
"Alicia Tan","Lifestyle",0.133511586452763,0.47194912930207,"56c68ff8b05f9d6e71000bd7",210,13,91,7,7,1,0,"2016-02-19T03:45:52+00:00",2500,5,0,0,"rising"
"Chris Grasinger","Entertainment",0.3,0.425,"56c7861cb05f9d1f420000bc",39,12,86,0,10,0,1,"2016-02-19T21:16:02+00:00",1700,5,0.233333333333333,0.4,"hot"
"Chelsea Stark","Entertainment",0.173406862745098,0.351960784313726,"56ba0df397b2f84671000020",207,11,99,3,8,1,0,"2016-02-09T16:03:50+00:00",956,15,-0.4,0.4,"rising"
"Gillian Edevane","World",0.189078844652615,0.496065573770492,"56ca7b5497b2f879950007db",591,12,94,0,7,2,0,"2016-02-22T03:06:54+00:00",1900,2,0.186428571428571,0.318928571428571,"hot"
"Gillian Edevane","World",0.0861169837914024,0.35223749119098,"56c7be7797b2f817d5000005",527,11,96,0,7,3,0,"2016-02-20T01:16:13+00:00",871,4,-0.133333333333333,0.6,"rising"
"Neha Prakash","Watercooler",0.157418524871355,0.404288164665523,"56c5ca4197b2f85437000789",730,14,92,0,6,1,0,"2016-02-18T13:42:04+00:00",1800,6,-0.75,0.875,"hot"
"Victoria Ho","World",-0.0839112276612277,0.380196192696193,"56cd5bf8b589e416fd000006",443,10,95,4,5,1,0,"2016-02-24T07:29:26+00:00",857,0,-0.155555555555556,0.288888888888889,"new"
"Sandra Gonzalez","Entertainment",0.0899868247694335,0.565415019762846,"56c526ae97b2f85437000152",319,10,88,4,6,1,0,"2016-02-18T02:04:16+00:00",346,6,0.1,1,"new"
"Saba Hamedy","Entertainment",0.220693091630592,0.567549603174603,"56cca25597b2f83f3b0000b3",417,11,98,0,9,2,1,"2016-02-23T18:17:54+00:00",1800,1,0,0,"hot"
"Miriam Kramer","World",0.107965838509317,0.486262939958592,"56bdff64b589e445540004ba",274,9,99,0,8,10,1,"2016-02-12T15:50:01+00:00",657,12,-0.0833333333333333,0.416666666666667,"new"
"Saba Hamedy","Entertainment",0.224918831168831,0.33961038961039,"56bb376112d2cd06c30004d2",180,13,102,0,10,1,1,"2016-02-10T13:12:53+00:00",2600,14,0.234090909090909,0.438636363636364,"hot"
"Alex Arbuckle","World",0.228888888888889,0.57457264957265,"56b9ff8e97b2f8718000076d",153,12,22,19,9,12,0,"2016-02-09T15:02:15+00:00",958,15,0.4,0.7,"hot"
"Cailey Rizzo","Lifestyle",0.0413757136583224,0.411308739569609,"56c49f5412d2cd28b9000763",331,10,93,1,4,2,0,"2016-02-17T16:26:50+00:00",226,7,0.136363636363636,0.454545454545455,"new"
"Jason Abbruzzese","Business",0.0715163655788656,0.435588786213786,"56c70780b589e45fe5000031",1065,12,106,1,7,3,1,"2016-02-19T12:15:39+00:00",1100,5,0.127777777777778,0.438888888888889,"rising"
"Chris Grasinger","World",-0.195833333333333,0.4,"56ccbef012d2cd3f680002fd",51,9,85,0,8,0,1,"2016-02-23T20:19:58+00:00",460,1,-0.34375,0.583333333333333,"new"
"Sam Laird","Entertainment",0.108633207070707,0.347064393939394,"56c4fe5d12d2cd1d1a000186",237,9,94,0,6,5,26,"2016-02-17T23:12:10+00:00",2400,6,0.5,1,"hot"
"Nicole Gallucci","Watercooler",0.292550505050505,0.568488455988456,"56ca9300b05f9d49440007eb",450,13,100,9,7,1,0,"2016-02-22T04:47:59+00:00",891,2,0.3,0.7,"rising"
"Emily Blake","Entertainment",0.177361111111111,0.305555555555556,"56c282c597b2f82210000007",142,11,91,1,7,1,1,"2016-02-16T01:59:24+00:00",471,8,-0.227777777777778,0.344444444444444,"rising"
"Karissa Bell","Tech",0.356060606060606,0.481313131313131,"56c0b9bf97b2f8124b000d6e",122,11,97,5,6,4,0,"2016-02-14T17:30:31+00:00",2400,10,0.5,0.5,"rising"
"Jenni Ryall","Watercooler",0.126767676767677,0.477003367003367,"56c23fb897b2f8124b00154a",411,10,94,1,8,4,0,"2016-02-15T21:14:19+00:00",1300,9,0.25,0.333333333333333,"rising"
"Tim Chester","Entertainment",0.0425,0.2575,"56cb06e1b589e40b4c000142",220,13,93,0,9,1,1,"2016-02-22T13:02:11+00:00",716,2,-0.05,0.1,"new"
"Heather Dockray","Watercooler",0.209180402930403,0.486248473748474,"56bcdd26b05f9d19820007f8",174,12,94,1,7,1,0,"2016-02-11T19:12:30+00:00",700,13,0.357142857142857,0.571428571428571,"rising"
"Matt Petronzio","World",0.136757233994076,0.470874060150376,"56cc7b3412d2cd3f68000002",478,13,99,2,8,1,1,"2016-02-23T15:30:34+00:00",721,1,0.183333333333333,0.85,"rising"
"Andrea Romano","Entertainment",0.0480603448275862,0.300574712643678,"56c1f57912d2cd6bae000d74",315,13,96,0,9,2,5,"2016-02-15T15:57:27+00:00",1900,9,0.136363636363636,0.454545454545455,"hot"
"Christina Warren","Tech",0.0809117965367965,0.471938131313131,"56c64b7d12d2cd1d1a00063b",509,11,94,0,8,2,0,"2016-02-18T22:53:35+00:00",1500,5,0,0,"hot"
"Lindsey Lanquist","Lifestyle",0.261990654847798,0.580387381577858,"56bc7ec8b589e441910006e3",705,11,101,0,9,2,0,"2016-02-11T12:30:00+00:00",2000,13,-0.333333333333333,1,"hot"
"Davina Merchant","Watercooler",0.15974358974359,0.537692307692308,"56bb5a0297b2f876df0008c6",162,16,95,0,6,8,1,"2016-02-10T15:40:39+00:00",633,14,0,0,"rising"
"The Associated Press","World",-0.00340277777777778,0.404027777777778,"56be0e6212d2cd6f8f000436",228,9,87,2,5,1,0,"2016-02-12T16:54:42+00:00",507,12,-0.155555555555556,0.288888888888889,"new"
"Tim Chester","World",0.017748296785182,0.482096196153573,"56bd9f2f12d2cd6f8f00018a",1635,9,8,17,10,0,0,"2016-02-12T09:00:17+00:00",1589,12,0,0,"hot"
"Discovery News","Tech",0.1989146567718,0.420361781076067,"56cb6ba0b05f9d274f0000be",330,13,100,0,8,0,0,"2016-02-22T20:12:15+00:00",504,2,-0.2,0.25,"new"
"Davina Merchant","Entertainment",-0.00408238226420045,0.346545979273252,"56c33bd697b2f808090004fc",136,13,98,0,10,8,1,"2016-02-16T15:10:13+00:00",717,8,0,0,"new"
"Sam Haysom","Watercooler",0.16780303030303,0.492676767676768,"56cc5d3497b2f80a8c000892",443,15,116,0,9,1,0,"2016-02-23T13:22:31+00:00",2100,1,-0.075,0.1,"hot"
"Emily Cahn","World",0.0057878787878788,0.402229437229437,"56bffda5b05f9d659900090d",463,14,111,0,9,3,0,"2016-02-14T04:07:50+00:00",2000,10,0,0.1,"hot"
"Johnny Lieu","Watercooler",0.145555555555556,0.349938271604938,"56bd8f0db05f9d26a700019d",368,15,91,8,8,2,0,"2016-02-12T07:51:28+00:00",1300,12,0.275,0.625,"hot"
"Jessica Plautz","Lifestyle",-0.029289923039923,0.489844877344877,"56c4d88497b2f8543700001c",498,8,95,0,3,0,0,"2016-02-17T20:30:28+00:00",1600,7,0,0,"hot"
"Heather Dockray","Watercooler",0.228531624430501,0.559795385638082,"56bd2fae97b2f8489200023e",902,13,93,4,9,1,1,"2016-02-12T01:04:46+00:00",1800,12,0.25,0.333333333333333,"hot"
"Adario Strange","Tech",0.116759307359307,0.555258008658009,"56bf66bcb589e44268000881",249,16,104,0,9,10,1,"2016-02-13T17:24:03+00:00",2500,11,0,0,"hot"
"Diana Shi","Watercooler",0.138541666666667,0.371354166666667,"56cb44ff97b2f80a8c000015",187,11,94,0,7,2,0,"2016-02-22T17:27:19+00:00",3400,2,0,0,"hot"
"Tech in Asia","World",-0.0114627081044991,0.417628847106459,"56cc86c9b589e47876000050",1032,13,111,1,10,0,0,"2016-02-23T16:20:18+00:00",995,1,0,0,"rising"
"Heidi Moore","Business",0.118440988835726,0.454356827383143,"56c2896cb05f9d5ee300017e",473,10,135,0,3,1,0,"2016-02-16T02:28:42+00:00",3200,8,-0.5,0.5,"hot"
"Stan Schroeder","Tech",0.224334251606979,0.490926581835673,"56c9d870b589e47a2d0005fc",469,10,86,2,2,1,0,"2016-02-21T15:31:40+00:00",1300,3,0.2,0.1,"hot"
"Saba Hamedy","Entertainment",0.138234549138804,0.430183522151607,"56b9f128b589e477ec000629",931,12,102,0,10,3,1,"2016-02-09T14:00:55+00:00",733,15,-0.383333333333333,0.716666666666667,"rising"
"Hillary Busis","Entertainment",-0.00476190476190475,0.370171957671958,"56bb9eb497b2f866df000025",278,14,93,0,7,2,0,"2016-02-10T20:33:41+00:00",721,14,0.025,0.366666666666667,"new"
"Samantha Reichman","Tech",0.371590909090909,0.601136363636364,"56c505fc97b2f85437000116",39,10,86,0,10,0,1,"2016-02-17T23:44:58+00:00",995,6,0.25,1,"rising"
"Connor Finnegan","Tech",-0.11386593204775,0.747382920110193,"56bd1ffa12d2cd66220000c1",144,12,99,0,6,5,0,"2016-02-11T23:57:26+00:00",1100,12,-0.15,0.733333333333333,"rising"
"Tim Chester","World",0.288095238095238,0.584126984126984,"56c33f8797b2f80809000523",306,10,92,0,6,1,0,"2016-02-16T15:25:54+00:00",688,8,0,0,"rising"
"The Associated Press","World",0.00505952380952381,0.379095238095238,"56cb3e1897b2f80bba000579",898,9,88,0,7,1,0,"2016-02-22T16:57:57+00:00",377,2,0,0,"new"
"Sam Laird","Entertainment",0.0872747747747748,0.443999356499357,"56ba6f7ab05f9d1187000056",743,9,96,0,6,2,0,"2016-02-09T22:59:56+00:00",497,14,-0.5,0.583333333333333,"new"
"Lindsey Lanquist","Lifestyle",0.24982782369146,0.600447658402204,"56c55d2cb05f9d6e71000453",377,8,95,0,6,1,0,"2016-02-18T05:56:16+00:00",991,6,0.136363636363636,0.454545454545455,"rising"
"Samantha Murphy Kelly","Tech",0.29265873015873,0.513888888888889,"56cb68fcb589e45a880000f0",315,14,91,0,4,4,0,"2016-02-22T20:00:45+00:00",2100,2,0.468181818181818,0.727272727272727,"hot"
"Brian Koerber","Watercooler",-0.107733175914994,0.572815820543093,"56c63904b05f9d6e71000a19",159,9,90,0,5,1,0,"2016-02-18T21:35:00+00:00",1100,6,-1,1,"hot"
"Megan Specia","World",0.0307407407407407,0.399880952380952,"56c4d5f0b05f9d6e71000001",276,9,95,0,5,1,0,"2016-02-17T20:19:42+00:00",1000,7,0,0,"rising"
"Blathnaid Healy","Tech",0.220459770114943,0.529252873563218,"56c7155497b2f8025400004f",319,10,92,0,7,1,0,"2016-02-19T13:14:54+00:00",881,5,0,0,"new"
"Johnny Lieu","Watercooler",0.207286096256685,0.47379679144385,"56ca8eb1b589e47a2d000b91",329,10,91,2,5,1,0,"2016-02-22T04:29:35+00:00",1100,2,0,0,"hot"
"Megan Specia","World",-0.0105720470006184,0.419341372912801,"56ccc01097b2f83f3b000214",855,11,92,0,8,2,2,"2016-02-23T20:24:27+00:00",658,1,-0.4375,0.5,"rising"
"Kelly Diamond","Watercooler",0.17421875,0.546875,"56cb443097b2f80a8c000011",163,11,94,1,6,1,0,"2016-02-22T17:23:58+00:00",1300,2,0.7,0.8,"rising"
"Brian Koerber","Watercooler",0.238996212121212,0.555984848484849,"56c8b5d097b2f8229a00018f",316,10,133,0,4,1,0,"2016-02-20T18:51:21+00:00",3400,4,0.5,0.75,"hot"
"Brittany Levine Beckman","World",0.0976874496355016,0.437280504488297,"56bfd338b05f9d65990008a2",1064,9,102,3,7,3,0,"2016-02-14T01:06:51+00:00",792,10,0.333333333333333,0.366666666666667,"rising"
