,Model,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
1,tslm,4.22E-17,0.529567273,0.405144096,-4.117345853,19.89507018,0.982513871,0.951382203
2,meanf,-2.19E-16,1.081409694,0.962414608,-25.81782959,52.50545796,2.333949107,0.990786447
3,naive,0.003400763,0.126857602,0.079477099,0.114622434,3.307738047,0.192739702,0.487242527
4,snaive,0.069549801,0.60912577,0.412354582,1.452762828,17.19406171,1,0.951012431
5,nnetar,0.000283938,0.089847137,0.060335469,-0.12742069,2.616173391,0.146319384,-0.02533995
6,thetaf,0.003388503,0.126622374,0.079179011,0.114215626,3.295341107,0.192016809,0.487318308
7,tbats,0.00012133,0.108678434,0.069951237,0.054594521,2.97798645,0.16963856,0.072574686
8,splinef,-0.000910604,0.128559644,0.084732938,0.060280286,3.640614343,0.205485622,0.097030155
9,ses,0.003388503,0.126622374,0.079179011,0.114215626,3.295341107,0.192016809,0.487318308
10,holt,0.000253709,0.125435072,0.080923831,0.210124983,3.486107669,0.196248167,0.317815062
11,hw,-0.003795036,0.121151502,0.076645845,-0.117360613,3.314513034,0.185873635,0.415346971
12,dummytslm,2.76E-16,1.080588733,0.961473112,-25.79754289,52.48235371,2.331665889,0.991201592
13,fourier,2.87E-16,1.080623208,0.961505024,-25.79860022,52.48358686,2.331743277,0.991182294
14,rwf,-8.39E-19,0.12681201,0.079440475,-0.072707539,3.308225729,0.192650886,0.487242527
15,structts,0.026705785,0.998096787,0.624124081,0.900116155,25.9752682,1.51356165,0.487250045
16,holtwinters,0.003026848,0.128821343,0.082215734,0.474605464,3.655097363,0.217497126,0.482969637
17,ets,0.000470234,0.114699453,0.074248525,0.084540644,3.155746952,0.180059902,0.115094713
18,croston,0.064458333,0.375734406,0.245503639,1.713859457,10.10180818,0.595370222,0.928905403
19,ar,0.002068041,0.111444492,0.071753693,-0.020800583,3.067916982,0.175529974,0.16925589
20,bats,0.000821335,0.112705946,0.071622424,0.02099783,3.057330521,0.17369135,0.106966475
21,auto.arima,0.001680154,0.109892355,0.07047247,0.096975983,2.97237966,0.170902601,0.001557895
22,arima,0.001680154,0.109892355,0.07047247,0.096975983,2.97237966,0.170902601,0.001557895
23,fracdiff,0.021832252,0.245210769,0.177370954,-2.223758719,8.561813725,0.430141829,0.825393545
24,arfima,0.001440537,0.109631008,0.07079555,-0.165856384,3.017522031,0.171686101,-0.006046725
25,i_arima,0.001680154,0.109892355,0.07047247,0.096975983,2.97237966,0.170902601,0.001557895
