,Model,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
1,tslm,-9.15E-18,0.208009857,0.173408741,-0.50939798,5.520830838,1.193908612,0.778796228
2,meanf,1.60E-16,0.485750568,0.417241321,-2.660637782,14.18195121,2.87268106,0.936181201
3,naive,0.003679418,0.166400241,0.129413034,-0.029133156,4.28114197,0.891000852,-0.383761698
4,snaive,0.049087411,0.183639594,0.145244569,1.4639191,4.635996079,1,0.468562853
5,nnetar,-0.00039484,0.100447374,0.078811234,-0.127455698,2.541484522,0.542610543,0.008589179
6,thetaf,0.008202953,0.150093597,0.117030716,0.086885064,3.812859237,0.805749348,0.067630709
7,tbats,0.008260809,0.117618912,0.090113239,0.12816343,2.987490331,0.620424154,0.001834402
8,splinef,-0.000577412,0.176910597,0.141218043,-0.146818477,4.625472796,0.972277615,-0.056041063
9,ses,0.008202953,0.150093597,0.117030716,0.086885064,3.812859237,0.805749348,0.067630709
10,holt,0.002488621,0.14996626,0.116653615,-0.100507469,3.809657971,0.803153029,0.061641439
11,hw,-0.000544394,0.128897901,0.101509122,-0.128870567,3.366174998,0.698884119,-0.120438275
12,dummytslm,2.69E-16,0.478429449,0.41226021,-2.59426095,14.04322826,2.838386413,0.950127311
13,fourier,-3.41E-17,0.479277657,0.411973777,-2.603325016,14.03705248,2.836414341,0.94384635
14,rwf,-4.37E-17,0.166359557,0.129266296,-0.14867277,4.278247712,0.889990565,-0.383761698
15,structts,0.056349725,0.998510661,0.777461989,0.660358121,25.32330666,5.352778398,0.06598056
16,holtwinters,0.006333752,0.129188855,0.101115916,0.305841887,3.378843156,0.690605037,-0.05943571
17,ets,0.00847254,0.12251315,0.096544323,0.147110397,3.198680262,0.664701781,-0.040608694
18,croston,0.040532171,0.165360174,0.134724638,1.10156768,4.300485685,0.927570921,0.406133144
19,ar,0.0092763,0.115206343,0.088593549,0.282965151,2.961208535,0.605139733,-0.106304646
20,bats,-4094168991,1.44943E+11,33529291321,-1.11946E+11,9.14703E+11,2.30847E+11,0.536928033
21,auto.arima,0.005274909,0.123773371,0.096861988,0.05348095,3.188129545,0.666888879,-0.007566839
22,arima,0.005274909,0.123773371,0.096861988,0.05348095,3.188129545,0.666888879,-0.007566839
23,fracdiff,0.012215762,0.162126153,0.126808506,-0.069303666,4.186235949,0.873068833,0.100699673
24,arfima,0.014336586,0.138458919,0.108500596,0.287879194,3.545348221,0.74701999,-0.010909793
25,i_arima,0.015115284,0.146910019,0.116228533,0.305437804,3.786256069,0.800226361,-0.045133151
