growMethod,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Year,Dwg
O,1,0.259 ,1.871 ,2.276 ,0.264 ,0.092 ,0.141 ,11 ,1.23 
O,1,0.731 ,1.264 ,1.433 ,0.361 ,0.115 ,0.084 ,7 ,0.97 
O,1,0.224 ,1.180 ,1.197 ,0.184 ,0.060 ,0.120 ,5 ,0.79 
O,1,1.211 ,0.000 ,0.874 ,0.168 ,0.064 ,0.031 ,11 ,1.23 
O,1,0.290 ,1.479 ,1.135 ,0.274 ,0.089 ,0.081 ,5 ,0.57 
O,1,0.816 ,0.000 ,0.406 ,0.198 ,0.055 ,0.130 ,5 ,0.40 
O,1,0.218 ,1.595 ,1.265 ,0.157 ,0.071 ,0.072 ,8 ,0.77 
O,1,0.829 ,0.000 ,0.913 ,0.138 ,0.040 ,0.104 ,4 ,0.67 
O,1,0.110 ,0.735 ,0.265 ,0.075 ,0.021 ,0.044 ,2 ,0.35 
O,1,1.918 ,0.000 ,1.742 ,0.335 ,0.101 ,0.103 ,1 ,0.32 
O,1,0.050 ,0.752 ,0.470 ,0.168 ,0.051 ,0.010 ,7 ,0.04 
O,2,1.691 ,0.001 ,1.497 ,0.267 ,0.096 ,0.117 ,5 ,0.32 
O,2,1.264 ,0.002 ,0.974 ,0.265 ,0.082 ,0.081 ,8 ,0.29 
O,2,1.383 ,0.000 ,1.284 ,0.212 ,0.069 ,0.095 ,10 ,0.71 
O,2,1.266 ,0.000 ,0.666 ,0.175 ,0.051 ,0.064 ,7 ,0.55 
O,2,1.441 ,0.000 ,0.808 ,0.192 ,0.062 ,0.037 ,12 ,0.33 
O,2,1.450 ,0.000 ,1.006 ,0.299 ,0.094 ,0.067 ,6 ,0.27 
O,2,1.555 ,0.000 ,0.852 ,0.259 ,0.078 ,0.068 ,8 ,0.39 
O,2,1.621 ,0.000 ,1.148 ,0.204 ,0.068 ,0.068 ,8 ,0.33 
O,2,2.056 ,0.000 ,0.954 ,0.363 ,0.090 ,0.052 ,7 ,0.13 
O,2,3.203 ,0.000 ,1.679 ,0.516 ,0.121 ,0.057 ,8 ,0.14 
O,3,0.165 ,1.381 ,1.425 ,0.232 ,0.096 ,0.120 ,7 ,1.32 
O,3,0.055 ,0.462 ,0.227 ,0.097 ,0.028 ,0.074 ,3 ,0.20 
O,3,0.187 ,1.666 ,1.641 ,0.197 ,0.054 ,0.694 ,3 ,1.29 
O,3,0.100 ,0.815 ,0.245 ,0.135 ,0.035 ,0.065 ,3 ,1.14 
O,3,0.111 ,1.041 ,0.326 ,0.146 ,0.039 ,0.101 ,3 ,0.80 
O,3,0.049 ,0.796 ,0.461 ,0.176 ,0.045 ,0.289 ,3 ,0.31 
O,3,0.079 ,0.712 ,0.233 ,0.162 ,0.043 ,0.076 ,2 ,0.30 
O,4,0.213 ,1.517 ,1.210 ,0.274 ,0.101 ,0.075 ,8 ,0.65 
O,4,2.435 ,0.000 ,2.791 ,0.433 ,0.146 ,0.156 ,10 ,0.49 
O,4,1.475 ,0.000 ,0.763 ,0.202 ,0.057 ,0.067 ,8 ,0.39 
O,4,1.249 ,0.000 ,0.694 ,0.296 ,0.081 ,0.099 ,7 ,0.41 
O,4,1.599 ,0.000 ,1.503 ,0.224 ,0.064 ,0.207 ,6 ,0.42 
O,4,0.072 ,0.667 ,0.391 ,0.102 ,0.030 ,0.040 ,6 ,0.54 
O,4,0.859 ,0.000 ,0.211 ,0.084 ,0.021 ,0.034 ,5 ,0.49 
O,4,0.267 ,1.282 ,0.548 ,0.268 ,0.059 ,0.034 ,4 ,0.12 
O,4,0.034 ,0.554 ,0.233 ,0.120 ,0.032 ,0.049 ,4 ,0.27 
O,4,0.036 ,0.486 ,0.223 ,0.102 ,0.027 ,0.036 ,3 ,0.22 
O,5,0.003 ,1.882 ,0.829 ,0.257 ,0.089 ,0.048 ,8 ,0.56 
O,5,0.271 ,0.000 ,2.385 ,0.372 ,0.125 ,0.232 ,16 ,0.62 
O,5,1.455 ,0.000 ,0.692 ,0.108 ,0.031 ,0.049 ,10 ,1.07 
O,5,2.575 ,0.000 ,1.150 ,0.316 ,0.102 ,0.060 ,12 ,0.53 
O,5,2.088 ,0.000 ,0.909 ,0.231 ,0.079 ,0.094 ,6 ,0.58 
O,5,0.195 ,0.674 ,0.330 ,0.130 ,0.038 ,0.077 ,3 ,0.34 
O,5,0.294 ,0.000 ,0.126 ,0.060 ,0.021 ,0.007 ,6 ,0.06 
O,6,0.131 ,1.161 ,0.413 ,0.046 ,0.020 ,0.017 ,11 ,2.20 
O,6,0.121 ,1.276 ,0.644 ,0.120 ,0.039 ,0.027 ,10 ,0.93 
O,6,0.195 ,0.912 ,0.471 ,0.121 ,0.034 ,0.050 ,7 ,1.04 
O,6,0.984 ,0.000 ,0.401 ,0.153 ,0.038 ,0.055 ,9 ,0.51 
O,6,0.174 ,1.204 ,0.703 ,0.186 ,0.034 ,0.079 ,8 ,0.51 
O,7,0.000 ,1.423 ,0.881 ,0.215 ,0.061 ,0.024 ,12 ,2.67 
O,7,0.075 ,0.630 ,0.297 ,0.094 ,0.027 ,0.048 ,5 ,0.87 
O,7,0.216 ,1.297 ,0.728 ,0.126 ,0.039 ,0.068 ,10 ,0.80 
O,7,0.071 ,0.619 ,0.377 ,0.107 ,0.030 ,0.038 ,5 ,0.55 
O,7,0.019 ,0.842 ,0.553 ,0.169 ,0.037 ,0.015 ,8 ,0.23 
O,7,0.224 ,1.213 ,0.594 ,0.152 ,0.037 ,0.055 ,8 ,0.89 
O,7,1.353 ,0.000 ,0.829 ,0.139 ,0.043 ,0.122 ,10 ,2.12 
O,7,0.250 ,0.682 ,0.597 ,0.145 ,0.037 ,0.072 ,7 ,1.29 
O,7,0.183 ,1.138 ,0.706 ,0.228 ,0.064 ,0.027 ,9 ,0.70 
O,7,0.910 ,0.000 ,0.589 ,0.144 ,0.032 ,0.064 ,6 ,0.92 
