culMethod,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Year,Dwg
B,3,0.16,0.378,0.279,0.194,0.052,0.072,2,1.24
B,3,0.404,1.266,0.813,0.168,0.05,0.111,4,2.34
B,3,0.222,1.098,0.78,0.184,0.052,0.115,2,2.06
B,3,0.124,0.768,0.991,0.331,0.072,0.158,3,2.84
B,3,0.949,0.015,0.44,0.216,0.057,0.116,3,1.79
B,3,0.334,0.967,0.521,0.182,0.051,0.116,4,1.8
B,3,0.299,0.996,1.012,0.318,0.07,0.196,4,1.91
B,3,0.207,0.541,0.403,0.225,0.057,0.102,3,1.69
B,4,0.314,0.696,0.414,0.156,0.052,0.08,5,0.53
B,4,0.421,0.822,0.555,0.176,0.051,0.085,5,0.54
B,4,0.217,0.778,0.468,0.144,0.048,0.069,4,2.8
B,4,0.243,0.558,0.327,0.098,0.042,0.074,5,0.88
B,4,1.108,0.013,0.483,0.137,0.046,0.072,6,2.12
B,4,0.547,1.014,0.805,0.119,0.045,0.064,14,2.09
B,4,1.609,0.013,0.894,0.166,0.049,0.088,7,3.37
B,4,1.409,0.013,0.815,0.202,0.055,0.114,7,2.53
B,4,1.537,0.014,0.882,0.168,0.052,0.097,9,2.51
B,4,2.163,0.015,1.969,0.259,0.063,0.136,5,1.69
B,5,2.435,0.014,0.819,0.199,0.058,0.104,4,2.5
B,5,1.625,0.013,0.555,0.155,0.049,0.083,5,0.79
B,5,0.799,0.013,0.262,0.085,0.039,0.055,8,1.31
B,5,1.261,0.014,0.371,0.114,0.044,0.06,7,1.52
B,5,1.821,0.013,0.513,0.19,0.054,0.108,5,1.72
B,5,0.267,1.015,1.435,0.233,0.058,0.081,9,3.91
B,5,2.256,0.014,1.085,0.253,0.064,0.078,5,3
B,5,2.272,0.013,0.745,0.297,0.069,0.077,7,1.09
B,5,3.841,0.014,1.823,0.421,0.089,0.1,5,1.08
B,5,4.014,0.013,1.56,0.39,0.085,0.113,8,1.54
B,6,0.348,0.94,0.538,0.241,0.057,0.087,5,1.68
B,6,0.21,0.761,0.476,0.236,0.062,0.097,6,0.96
B,6,0.258,0.681,0.352,0.165,0.051,0.08,5,1.41
B,6,0.248,0.612,0.313,0.142,0.046,0.074,7,1.42
B,6,0.354,1.179,0.927,0.166,0.057,0.076,6,1.66
B,6,0.397,0.477,0.369,0.203,0.056,0.069,9,1.23
B,6,0.372,1.28,0.937,0.359,0.077,0.086,9,1.15
B,6,0.343,0.891,0.535,0.193,0.054,0.066,12,1.98
B,6,0.527,1.548,0.988,0.346,0.079,0.073,14,1.14
B,6,0.344,1.439,1.16,0.281,0.069,0.08,10,1.8
B,7,0.416,0.937,1.089,0.294,0.072,0.108,7,2.28
B,7,0.207,0.865,0.869,0.159,0.039,0.042,7,4.46
B,7,0.164,0.501,0.536,0.17,0.049,0.092,8,2.66
B,7,0.297,0.813,0.944,0.194,0.051,0.122,8,1.9
B,7,0.427,0.873,1.113,0.275,0.061,0.105,9,2.95
B,7,0.158,0.7,0.857,0.119,0.044,0.038,10,2.86
B,7,0.219,0.81,1.163,0.286,0.066,0.085,11,4.98
B,7,0.391,1.257,2.197,0.296,0.062,0.128,11,2.9
B,7,0.183,0.843,1.102,0.281,0.066,0.094,10,3.41
B,7,0.142,0.622,0.874,0.224,0.054,0.055,12,4.21
B,8,0.111,0.325,0.22,0.139,0.045,0.048,9,2.28
B,8,0.17,0.567,0.517,0.067,0.04,0.074,7,3.92
B,8,0.127,0.56,0.426,0.133,0.045,0.069,4,3.01
B,8,0.742,0.427,0.73,0.195,0.058,0.083,6,2.15
B,8,0.162,1.015,1.803,0.204,0.044,0.073,9,2.24
B,8,2.783,0.014,1.412,0.236,0.057,0.103,6,2.02
B,8,0.201,2.202,3.355,0.353,0.063,0.174,5,2.76
B,8,0.234,1.042,1.482,0.225,0.053,0.166,4,2.67
B,8,0.196,0.97,0.6,0.142,0.045,0.065,6,1.18
B,8,0.162,0.763,0.841,0.159,0.046,0.09,8,2.93
