category,category.renamed,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Crude foodstuffs and feedstuffs,Crude foodstuffs and feedstuffs,5.2,1.3,-0.8,0.9,12.6,14.5,4.6,-0.7,-3.8,1.8,2.8,-9.5,-1.7,3.2,10.3,4.8,1.7,-6.7,-0.4,3.1,-1.8,-0.7,14.8,-7.7,-7.4,-5,1.5,5.9,-6.2,14.1,11.9,-3.4,-2.8,23,11.4,-17.7,13.3,23.6,4.2,2,4.9,-13.9
Intermediate foods and feeds,Intermediate foods and feeds,18.9,-2.4,-5.1,2.8,6.5,11.4,11.6,-0.9,-4.4,3.6,2,-7.9,-1.1,3.1,10.4,3.9,-0.4,-1.9,-0.4,1.8,1.9,0,11.6,-2.1,-7.3,-4.4,0.5,3.8,-0.3,9,8.9,-2.4,1,14.2,17.6,-8.6,3.4,12,4.8,1.4,3.2,-6.2
Finished consumer foods,Finished consumer foods,14,8.4,-0.3,5.3,9,9.3,5.8,5.8,2.2,1,4.4,-0.8,2.6,2.1,2.8,5.4,4.8,-0.2,-0.6,1.9,0.9,1.7,3.6,0.7,-0.1,0.6,1.6,3,-0.8,4.1,4.7,2,0.6,6.6,6.8,-1.6,3.9,6.3,2.6,2.2,4.5,-1.3
Farm level cattle,Farm level cattle,-10.2,-1.7,-7.1,2.3,32.4,30.5,-2.1,-4.7,0,-3.1,3.7,-9.3,-2.1,15.1,6.5,3.9,7.6,-5.5,-0.3,1.1,-9.3,-6,-3.7,2.2,-5.5,5.5,6.7,4.1,-7,23.3,1.5,4.2,-4,7.8,0,-10.4,14.6,22.1,8.6,1.4,22.8,-2.3
Wholesale beef,Beef.and.Veal,-3.1,11.1,-11.4,0.9,28.3,24.7,3.2,-5.2,-0.7,-3.6,0.3,-6.6,-2.4,8.4,6.2,7.4,6.5,-3.3,-2.4,3.1,-8.2,-2.6,-0.7,2.6,-3.3,6.9,7,6.1,-4.9,20.2,2.4,4.4,-3.5,2.7,5.2,-7.4,10.3,15,10,0,19.1,3.4
Wholesale pork,Pork,1.1,32.4,-6.2,-5.6,15.3,-6.5,-3.9,10.8,15.1,-9.4,-0.4,-1.2,12.1,5,-9.4,2.8,22.6,-5.3,-12.8,6.9,-4.1,0.1,19.1,1.8,-21.5,-0.6,18.1,6.1,-9.4,6.1,14.7,-0.6,-3,4.1,-2,-11.5,23.2,12.5,-4.1,3.6,19.6,-23.4
Wholesale poultry,Poultry,-11.3,17,-9.7,4.3,12,-2.8,2.5,0,-7.6,3.7,11.2,-4.2,5.8,-11.4,7.8,7.9,-5.6,-3.3,-0.8,2.5,2.7,-0.4,4.8,-1.9,2.9,-5.6,-1,3.5,-4.7,4.8,11.7,-1.2,-8.2,12.8,3.9,2.1,1.4,-1.5,11.2,3.8,4.3,-1.6
Farm level eggs,Eggs,-3,-0.6,12.1,-9.6,-2.1,11.4,-3.1,9.4,-4.5,N/A,N/A,-18.8,4.1,-12,1.1,35,-1.7,-5.9,-15,12.5,-7.6,6.4,25.6,-9,-9.6,-16.9,9.4,-4.2,2.2,37.9,-7.3,-26.5,10.8,61.2,17.7,-26.4,0.5,16.5,1.4,9.4,17.8,31.9
Farm level milk,Farm level milk,19.3,4.2,11.6,0.8,8.4,13.8,8.5,5.9,-1.7,-0.2,-1.3,-4.9,-2.9,1,-2.7,10.5,2,-11.2,7.4,-2.1,1.7,-2.2,15.3,-9.6,15.8,-5.8,-13.5,21.5,-18.8,3.3,28,-5.5,-14.8,48.2,-4.3,-30.1,27.1,23.5,-8.1,8.1,19.8,-30.1
Wholesale dairy,Dairy.products,11.6,6.5,8.1,3,8.6,12.2,9.2,6.5,1.3,0.7,0.4,-0.9,-0.3,1.7,0.6,8.2,6,-2.2,2.9,0.2,1.1,0.3,8.9,-1.8,7.9,0.7,-4,8.6,-6.2,2.3,11.8,-0.9,-4.5,19.1,4,-14,10.8,12.6,-1.6,3.6,11,-12.7
Farm level soybeans,Farm level soybeans,-4.7,-18.4,6,18.8,-5.8,8.1,-0.4,0,-14.5,16.3,2.7,-21.1,-8.3,2.2,41.3,-8.4,-11.8,-5.7,2.3,7.7,1.1,-3.6,25.1,2.4,-21.1,-22.5,4.1,-5.8,11.6,24.1,19.5,-21.1,-5.7,42.5,47.9,-13.7,0.7,24,13.2,-1.9,-12.4,-24.7
Wholesale fats and oils,Fats.and.oils,59.4,-13.1,-20.9,16.5,8.5,8,-6.8,0.3,-5.4,11,26.2,-10.4,-23.1,1.5,19.7,-4.4,6.5,-6.2,-2.9,7.4,16.2,2,-5.6,-0.1,8,-13.6,-9.8,-2.6,10.7,31,19.3,-4.5,-0.4,17.5,42.7,-23.3,4.3,29.3,-2,-6.7,-6.7,-5.5
Farm level fruit,Fresh.fruits,6.3,9.5,1.2,11.1,20.3,9,2.1,-3.7,3.5,6.4,0.4,1.2,4.4,-0.8,1.3,-0.3,4.3,10,-35.3,0.6,-2.1,3.7,17.5,-1.4,-9,14.5,-11.8,6.9,-6.3,-8.1,24.7,-2,8,11.2,-0.4,-10.2,12.1,-4.9,1.1,1.8,3.4,-0.1
Farm level vegetables,Fresh.vegetables,17.4,-8.7,-7.7,3.7,7,0.5,8.9,26.9,-11.3,1,11.8,-11.9,-1.7,6.1,1.6,10.6,1.2,-12.1,10.8,17.6,-4.6,11.9,-6.5,-8.8,13.3,-15.4,7.4,-1.6,9.5,-0.6,-4.6,10.2,7.5,8,4.1,-5.9,10,9.3,-19.8,26.4,-1.9,3.2
Farm level wheat,Farm level wheat,33.3,-19.7,-13.3,-22.5,24.3,23.6,7.8,0.2,-7.8,0.7,-4,-9.4,-12.9,-4.6,28.7,16.9,-20,-9.4,24.1,-0.1,6.5,13.2,15.2,-20.8,-18.9,-9.5,1,6.5,14.5,0.6,7.6,-2,8,11.2,-0.4,-10.2,12.1,-4.9,-2.6,-3,-6.8,-19.5
Wholesale wheat flour,Wholesale wheat flour,29.4,-13.5,-9.5,-19.6,19.1,21.5,9.1,2.2,-4.4,1.5,-0.5,-1.2,-5.2,-1.8,13.8,8.4,-9.6,-6.6,13.1,-0.5,1.4,11.4,11.2,-13.2,-8,-4.5,-0.5,5.9,5.7,6.4,4.4,10.2,7.5,8,4.1,-5.9,10,9.3,2,0,1.4,-10
