TL,Time,Lo,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Total,PD,PT,PD/PT,Year,Dwg,Fwg,FD
TO,0,O,1,0.259,1.871,2.276,0.264,0.092,0.141,4.903,2.773,2.13,1.302,11,1.23,3.94,2.71
TO,0,O,1,0.731,1.264,1.433,0.361,0.115,0.084,3.987,1.992,1.994,0.999,7,0.97,3.14,2.17
TO,0,O,1,0.224,1.18,1.197,0.184,0.06,0.12,2.964,1.561,1.404,1.112,5,0.79,2.5,1.71
TO,0,O,1,1.211,0,0.874,0.168,0.064,0.031,2.349,1.138,1.211,0.939,11,1.23,4.28,3.05
TO,0,O,1,0.29,1.479,1.135,0.274,0.089,0.081,3.348,1.58,1.769,0.893,5,0.57,1.9,1.33
TO,0,O,1,0.816,0,0.406,0.198,0.055,0.13,1.604,0.788,0.816,0.966,5,0.4,1.24,0.84
TO,0,O,1,0.218,1.595,1.265,0.157,0.071,0.072,3.378,1.565,1.812,0.864,8,0.77,2.78,2.01
TO,0,O,1,0.829,0,0.913,0.138,0.04,0.104,2.025,1.196,0.829,1.442,4,0.67,3.35,2.68
TO,0,O,1,0.11,0.735,0.265,0.075,0.021,0.044,1.25,0.405,0.844,0.48,2,0.35,1.01,0.66
TO,0,O,1,1.918,0,1.742,0.335,0.101,0.103,4.2,2.281,1.918,1.189,1,0.32,0.99,0.67
TO,0,O,1,0.05,0.752,0.47,0.168,0.051,0.01,1.501,0.699,0.802,0.872,7,0.04,0.16,0.12
TO,0,O,2,1.691,0.001,1.497,0.267,0.096,0.117,3.669,1.978,1.691,1.17,5,0.32,2.65,2.33
TO,0,O,2,1.264,0.002,0.974,0.265,0.082,0.081,2.666,1.402,1.264,1.109,8,0.29,4.07,3.78
TO,0,O,2,1.383,0,1.284,0.212,0.069,0.095,3.043,1.66,1.383,1.2,10,0.71,4.86,4.15
TO,0,O,2,1.266,0,0.666,0.175,0.051,0.064,2.222,0.956,1.266,0.755,7,0.55,3.08,2.53
TO,0,O,2,1.441,0,0.808,0.192,0.062,0.037,2.54,1.099,1.441,0.763,12,0.33,2.78,2.45
TO,0,O,2,1.45,0,1.006,0.299,0.094,0.067,2.917,1.466,1.45,1.011,6,0.27,2.14,1.87
