"","UniqueCarrier","Month","count"
"1","9E",1,21062
"2","9E",2,19907
"3","9E",3,22298
"4","9E",4,21214
"5","9E",5,21295
"6","9E",6,21816
"7","9E",7,22190
"8","9E",8,22840
"9","9E",9,21238
"10","9E",10,22290
"11","9E",11,20813
"12","9E",12,21888
"13","AA",1,55124
"14","AA",2,49503
"15","AA",3,55040
"16","AA",4,52186
"17","AA",5,53754
"18","AA",6,52070
"19","AA",7,53837
"20","AA",8,53800
"21","AA",9,51266
"22","AA",10,53472
"23","AA",11,51229
"24","AA",12,52576
"25","AQ",1,3875
"26","AQ",2,3517
"27","AQ",3,3980
"28","AQ",4,3882
"29","AQ",5,3819
"30","AQ",6,3900
"31","AQ",7,3921
"32","AQ",8,4069
"33","AQ",9,3723
"34","AQ",10,3763
"35","AQ",11,3884
"36","AQ",12,4027
"37","AS",1,12828
"38","AS",2,11746
"39","AS",3,13002
"40","AS",4,12833
"41","AS",5,14075
"42","AS",6,14315
"43","AS",7,14797
"44","AS",8,14722
"45","AS",9,13402
"46","AS",10,13337
"47","AS",11,12292
"48","AS",12,12836
"49","B6",1,15367
"50","B6",2,14533
"51","B6",3,16685
"52","B6",4,16504
"53","B6",5,15864
"54","B6",6,15624
"55","B6",7,16426
"56","B6",8,16655
"57","B6",9,15123
"58","B6",10,15518
"59","B6",11,16073
"60","B6",12,17078
"61","CO",1,26047
"62","CO",2,24224
"63","CO",3,28330
"64","CO",4,27331
"65","CO",5,27885
"66","CO",6,27366
"67","CO",7,27889
"68","CO",8,28483
"69","CO",9,24746
"70","CO",10,27381
"71","CO",11,26316
"72","CO",12,27153
"73","DL",1,39276
"74","DL",2,35710
"75","DL",3,41179
"76","DL",4,38744
"77","DL",5,38747
"78","DL",6,40200
"79","DL",7,41606
"80","DL",8,41763
"81","DL",9,38815
"82","DL",10,41345
"83","DL",11,39381
"84","DL",12,39123
"85","EV",1,22594
"86","EV",2,21198
"87","EV",3,24085
"88","EV",4,23351
"89","EV",5,23437
"90","EV",6,25164
"91","EV",7,25551
"92","EV",8,26026
"93","EV",9,22644
"94","EV",10,25033
"95","EV",11,23567
"96","EV",12,23584
"97","F9",1,7812
"98","F9",2,7203
"99","F9",3,8099
"100","F9",4,7883
"101","F9",5,8532
"102","F9",6,8364
"103","F9",7,9024
"104","F9",8,8790
"105","F9",9,7928
"106","F9",10,8279
"107","F9",11,7859
"108","F9",12,7987
"109","FL",1,20632
"110","FL",2,19194
"111","FL",3,22327
"112","FL",4,21754
"113","FL",5,22570
"114","FL",6,22691
"115","FL",7,23663
"116","FL",8,23259
"117","FL",9,21004
"118","FL",10,21706
"119","FL",11,21781
"120","FL",12,22578
"121","HA",1,4622
"122","HA",2,4172
"123","HA",3,4683
"124","HA",4,4565
"125","HA",5,4707
"126","HA",6,4808
"127","HA",7,5060
"128","HA",8,5036
"129","HA",9,4581
"130","HA",10,4707
"131","HA",11,4543
"132","HA",12,4691
"133","MQ",1,45967
"134","MQ",2,41203
"135","MQ",3,45410
"136","MQ",4,43582
"137","MQ",5,46088
"138","MQ",6,44952
"139","MQ",7,46794
"140","MQ",8,47061
"141","MQ",9,44669
"142","MQ",10,46034
"143","MQ",11,44175
"144","MQ",12,44559
"145","NW",1,35527
"146","NW",2,32800
"147","NW",3,37003
"148","NW",4,35420
"149","NW",5,36910
"150","NW",6,36005
"151","NW",7,36009
"152","NW",8,35142
"153","NW",9,32170
"154","NW",10,33446
"155","NW",11,31950
"156","NW",12,32144
"157","OH",1,21462
"158","OH",2,18466
"159","OH",3,20519
"160","OH",4,19062
"161","OH",5,19242
"162","OH",6,20023
"163","OH",7,20503
"164","OH",8,20772
"165","OH",9,18673
"166","OH",10,19719
"167","OH",11,18962
"168","OH",12,16384
"169","OO",1,48387
"170","OO",2,44408
"171","OO",3,50514
"172","OO",4,48388
"173","OO",5,49696
"174","OO",6,50818
"175","OO",7,53050
"176","OO",8,53955
"177","OO",9,48869
"178","OO",10,51029
"179","OO",11,48423
"180","OO",12,50345
"181","UA",1,41310
"182","UA",2,37665
"183","UA",3,42714
"184","UA",4,40822
"185","UA",5,41520
"186","UA",6,40987
"187","UA",7,42486
"188","UA",8,43176
"189","UA",9,39276
"190","UA",10,41235
"191","UA",11,38803
"192","UA",12,40008
"193","US",1,42101
"194","US",2,37951
"195","US",3,42921
"196","US",4,41334
"197","US",5,42215
"198","US",6,40547
"199","US",7,41673
"200","US",8,41211
"201","US",9,37774
"202","US",10,40018
"203","US",11,38499
"204","US",12,39203
"205","WN",1,96330
"206","WN",2,86974
"207","WN",3,97928
"208","WN",4,96085
"209","WN",5,98773
"210","WN",6,96693
"211","WN",7,100397
"212","WN",8,101673
"213","WN",9,96586
"214","WN",10,100212
"215","WN",11,97798
"216","WN",12,99422
"217","XE",1,35327
"218","XE",2,31702
"219","XE",3,35993
"220","XE",4,34233
"221","XE",5,36226
"222","XE",6,37140
"223","XE",7,38981
"224","XE",8,39905
"225","XE",9,35317
"226","XE",10,38320
"227","XE",11,35749
"228","XE",12,35880
"229","YV",1,25909
"230","YV",2,23528
"231","YV",3,26499
"232","YV",4,25475
"233","YV",5,26254
"234","YV",6,25797
"235","YV",7,24703
"236","YV",8,24941
"237","YV",9,22383
"238","YV",10,23148
"239","YV",11,23052
"240","YV",12,22673
