"","UniqueCarrier","date","count"
"1","9E","2007-1-1",683
"2","9E","2007-1-10",695
"3","9E","2007-1-11",695
"4","9E","2007-1-12",695
"5","9E","2007-1-13",625
"6","9E","2007-1-14",653
"7","9E","2007-1-15",695
"8","9E","2007-1-16",695
"9","9E","2007-1-17",695
"10","9E","2007-1-18",695
"11","9E","2007-1-19",695
"12","9E","2007-1-2",681
"13","9E","2007-1-20",624
"14","9E","2007-1-21",652
"15","9E","2007-1-22",695
"16","9E","2007-1-23",695
"17","9E","2007-1-24",695
"18","9E","2007-1-25",695
"19","9E","2007-1-26",695
"20","9E","2007-1-27",625
"21","9E","2007-1-28",653
"22","9E","2007-1-29",695
"23","9E","2007-1-3",688
"24","9E","2007-1-30",695
"25","9E","2007-1-31",695
"26","9E","2007-1-4",695
"27","9E","2007-1-5",695
"28","9E","2007-1-6",625
"29","9E","2007-1-7",653
"30","9E","2007-1-8",695
"31","9E","2007-1-9",695
"32","9E","2007-10-1",736
"33","9E","2007-10-10",747
"34","9E","2007-10-11",747
"35","9E","2007-10-12",747
"36","9E","2007-10-13",603
"37","9E","2007-10-14",689
"38","9E","2007-10-15",746
"39","9E","2007-10-16",747
"40","9E","2007-10-17",744
"41","9E","2007-10-18",744
"42","9E","2007-10-19",743
"43","9E","2007-10-2",744
"44","9E","2007-10-20",600
"45","9E","2007-10-21",682
"46","9E","2007-10-22",743
"47","9E","2007-10-23",743
"48","9E","2007-10-24",743
"49","9E","2007-10-25",743
"50","9E","2007-10-26",743
"51","9E","2007-10-27",603
"52","9E","2007-10-28",689
"53","9E","2007-10-29",743
"54","9E","2007-10-3",747
"55","9E","2007-10-30",743
"56","9E","2007-10-31",743
"57","9E","2007-10-4",747
"58","9E","2007-10-5",747
"59","9E","2007-10-6",607
"60","9E","2007-10-7",693
"61","9E","2007-10-8",747
"62","9E","2007-10-9",747
"63","9E","2007-11-1",743
"64","9E","2007-11-10",621
"65","9E","2007-11-11",681
"66","9E","2007-11-12",731
"67","9E","2007-11-13",731
"68","9E","2007-11-14",731
"69","9E","2007-11-15",731
"70","9E","2007-11-16",731
"71","9E","2007-11-17",620
"72","9E","2007-11-18",680
"73","9E","2007-11-19",731
"74","9E","2007-11-2",745
"75","9E","2007-11-20",731
"76","9E","2007-11-21",731
"77","9E","2007-11-22",455
"78","9E","2007-11-23",571
"79","9E","2007-11-24",623
"80","9E","2007-11-25",685
"81","9E","2007-11-26",731
"82","9E","2007-11-27",728
"83","9E","2007-11-28",720
"84","9E","2007-11-29",719
"85","9E","2007-11-3",597
"86","9E","2007-11-30",717
"87","9E","2007-11-4",674
"88","9E","2007-11-5",731
"89","9E","2007-11-6",731
"90","9E","2007-11-7",731
"91","9E","2007-11-8",731
"92","9E","2007-11-9",731
"93","9E","2007-12-1",519
"94","9E","2007-12-10",742
"95","9E","2007-12-11",739
"96","9E","2007-12-12",739
"97","9E","2007-12-13",739
"98","9E","2007-12-14",739
"99","9E","2007-12-15",521
"100","9E","2007-12-16",663
"101","9E","2007-12-17",739
"102","9E","2007-12-18",739
"103","9E","2007-12-19",761
"104","9E","2007-12-2",658
"105","9E","2007-12-20",762
"106","9E","2007-12-21",762
"107","9E","2007-12-22",694
"108","9E","2007-12-23",717
"109","9E","2007-12-24",664
"110","9E","2007-12-25",656
"111","9E","2007-12-26",762
"112","9E","2007-12-27",762
"113","9E","2007-12-28",762
"114","9E","2007-12-29",694
"115","9E","2007-12-3",735
"116","9E","2007-12-30",717
"117","9E","2007-12-31",760
"118","9E","2007-12-4",739
"119","9E","2007-12-5",739
"120","9E","2007-12-6",740
"121","9E","2007-12-7",741
"122","9E","2007-12-8",521
"123","9E","2007-12-9",663
"124","9E","2007-2-1",707
"125","9E","2007-2-10",637
"126","9E","2007-2-11",669
"127","9E","2007-2-12",711
"128","9E","2007-2-13",711
"129","9E","2007-2-14",711
"130","9E","2007-2-15",740
"131","9E","2007-2-16",746
"132","9E","2007-2-17",672
"133","9E","2007-2-18",697
"134","9E","2007-2-19",746
"135","9E","2007-2-2",711
"136","9E","2007-2-20",747
"137","9E","2007-2-21",746
"138","9E","2007-2-22",745
"139","9E","2007-2-23",746
"140","9E","2007-2-24",672
"141","9E","2007-2-25",697
"142","9E","2007-2-26",745
"143","9E","2007-2-27",745
"144","9E","2007-2-28",745
"145","9E","2007-2-3",637
"146","9E","2007-2-4",669
"147","9E","2007-2-5",711
"148","9E","2007-2-6",711
"149","9E","2007-2-7",711
"150","9E","2007-2-8",711
"151","9E","2007-2-9",711
"152","9E","2007-3-1",745
"153","9E","2007-3-10",644
"154","9E","2007-3-11",666
"155","9E","2007-3-12",728
"156","9E","2007-3-13",729
"157","9E","2007-3-14",715
"158","9E","2007-3-15",739
"159","9E","2007-3-16",721
"160","9E","2007-3-17",659
"161","9E","2007-3-18",674
"162","9E","2007-3-19",735
"163","9E","2007-3-2",753
"164","9E","2007-3-20",733
"165","9E","2007-3-21",750
"166","9E","2007-3-22",735
"167","9E","2007-3-23",738
"168","9E","2007-3-24",661
"169","9E","2007-3-25",666
"170","9E","2007-3-26",732
"171","9E","2007-3-27",745
"172","9E","2007-3-28",747
"173","9E","2007-3-29",748
"174","9E","2007-3-3",678
"175","9E","2007-3-30",750
"176","9E","2007-3-31",675
"177","9E","2007-3-4",699
"178","9E","2007-3-5",753
"179","9E","2007-3-6",753
"180","9E","2007-3-7",753
"181","9E","2007-3-8",753
"182","9E","2007-3-9",721
"183","9E","2007-4-1",709
"184","9E","2007-4-10",712
"185","9E","2007-4-11",712
"186","9E","2007-4-12",712
"187","9E","2007-4-13",712
"188","9E","2007-4-14",632
"189","9E","2007-4-15",668
"190","9E","2007-4-16",712
"191","9E","2007-4-17",712
