Country Name,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,31013667315,36016831050,42861760023,54453506223,1.04E+11,1.15E+11,1.44E+11,1.66E+11,1.83E+11,2.47E+11,3.37E+11,3.47E+11,3.23E+11,3.03E+11,3.07E+11,3.03E+11,2.88E+11,3.11E+11,3.06E+11,3.21E+11,4.44E+11,4.37E+11,4.68E+11,4.73E+11,4.84E+11,5.20E+11,5.74E+11,6.09E+11,5.88E+11,6.40E+11,7.31E+11,7.19E+11,7.25E+11,8.18E+11,9.59E+11,1.18E+12,1.40E+12,1.64E+12,2.08E+12,1.80E+12,2.10E+12,2.49E+12,2.75E+12,2.83E+12,2.85E+12,
Argentina,ARG,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.04E+11,79092001998,88416668900,1.11E+11,1.11E+11,1.26E+11,76636898036,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724513456,1.28E+11,1.82E+11,2.21E+11,2.63E+11,3.29E+11,4.04E+11,3.77E+11,4.62E+11,5.58E+11,6.04E+11,6.14E+11,5.38E+11,
Australia,AUS,41245380222,45119274275,51928738318,63688661115,88775239499,97081797078,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.93E+11,1.80E+11,1.82E+11,1.89E+11,2.36E+11,2.99E+11,3.11E+11,3.26E+11,3.25E+11,3.12E+11,3.23E+11,3.68E+11,4.01E+11,4.36E+11,3.99E+11,3.89E+11,4.15E+11,3.78E+11,3.94E+11,4.66E+11,6.13E+11,6.93E+11,7.47E+11,8.53E+11,1.05E+12,9.27E+11,1.14E+12,1.39E+12,1.54E+12,1.56E+12,1.45E+12,
Austria,AUT,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.24E+11,1.33E+11,1.33E+11,1.66E+11,1.73E+11,1.95E+11,1.90E+11,2.03E+11,2.40E+11,2.37E+11,2.12E+11,2.18E+11,2.17E+11,1.96E+11,1.97E+11,2.13E+11,2.61E+11,3.00E+11,3.15E+11,3.34E+11,3.86E+11,4.28E+11,3.98E+11,3.90E+11,4.29E+11,4.07E+11,4.29E+11,4.37E+11,
Burundi,BDI,242732571,252842286,246804571,304339840,345263492,420986667,448412754,547535556,610225556,782496667,919726667,969046667,1013222222,1082926304,987143931,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770806,808077223,870486066,876794723,825394490,784654424,915257323,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,
Belgium,BEL,26849173618,29981318395,37408626615,47999408508,56333063691,66029811341,71494607106,83283407091,1.02E+11,1.17E+11,1.28E+11,1.05E+11,92588982518,87650998817,83795759983,86730120728,1.21E+11,1.50E+11,1.63E+11,1.65E+11,2.06E+11,2.12E+11,2.36E+11,2.26E+11,2.46E+11,2.90E+11,2.81E+11,2.55E+11,2.61E+11,2.60E+11,2.38E+11,2.38E+11,2.59E+11,3.19E+11,3.71E+11,3.87E+11,4.10E+11,4.72E+11,5.19E+11,4.85E+11,4.84E+11,5.27E+11,4.98E+11,5.21E+11,5.32E+11,
Benin,BEN,333627713,335073028,410331856,504376074,554654862,676870139,698408261,750049780,928843468,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965330,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240896,7814081156,8117100934,9110800745,9575356735,
Burkina Faso,BFA,458404269,482411180,578595521,674773570,751133432,939972702,976547187,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834947,2616040481,2615587730,3101300779,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12110243992,12542221942,
Bangladesh,BGD,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341233,30957483290,31708873954,33166520084,33768662171,37939748052,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,
"Bahamas, The",BHS,538423168,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,
Belize,BLZ,53233534,59207318,66062499,78343559,103216372,118066302,96905829,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239092,559858238,580863705,620140386,641383825,654314354,688992458,732732353,832072465,871860611,932551870,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1487005600,1573867300,1624294250,1699154132,
Bolivia,BOL,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,
Brazil,BRA,42327600098,49204456700,58539008786,79279057731,1.05E+11,1.24E+11,1.53E+11,1.76E+11,2.01E+11,2.25E+11,2.35E+11,2.64E+11,2.82E+11,2.03E+11,2.09E+11,2.23E+11,2.68E+11,2.94E+11,3.30E+11,4.26E+11,4.62E+11,6.03E+11,4.01E+11,4.38E+11,5.58E+11,7.86E+11,8.54E+11,8.86E+11,8.67E+11,6.02E+11,6.57E+11,5.60E+11,5.09E+11,5.59E+11,6.70E+11,8.92E+11,1.11E+12,1.40E+12,1.69E+12,1.66E+12,2.21E+12,2.62E+12,2.41E+12,2.39E+12,2.35E+12,
Brunei Darussalam,BRN,179080099,197523179,270818556,433092004,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,12370616062,16691533190,16953505122,16110693734,17104656669,
Botswana,BWA,96243298,126954477,165253184,244124116,306044206,355168715,372025093,451624960,590407375,819870595,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267128733,12786662035,15682931970,14792386725,14979304171,15813364345,
Central African Republic,CAF,189106529,201450800,230317883,271183082,281398706,378660016,451152461,507298148,610578631,700764747,797048197,694803624,748312391,658679333,637820671,864849837,1122265015,1200991976,1264899288,1233930279,1440711459,1377375031,1411917558,1278781167,851174351,1115389732,1007791186,937741468,967338349,999477511,914500299,931833303,991387870,1139754799,1270080251,1350301057,1460562038,1698125618,1985370058,1981728141,1986014846,2195599557,2169706564,1537740105,1722529061,
Canada,CAN,87762259546,99120804120,1.13E+11,1.31E+11,1.60E+11,1.74E+11,2.06E+11,2.11E+11,2.18E+11,2.43E+11,2.73E+11,3.06E+11,3.13E+11,3.40E+11,3.54E+11,3.63E+11,3.76E+11,4.29E+11,5.06E+11,5.64E+11,5.92E+11,6.08E+11,5.90E+11,5.75E+11,5.76E+11,6.02E+11,6.27E+11,6.51E+11,6.31E+11,6.74E+11,7.39E+11,7.33E+11,7.53E+11,8.88E+11,1.02E+12,1.16E+12,1.31E+12,1.46E+12,1.54E+12,1.37E+12,1.61E+12,1.79E+12,1.83E+12,1.84E+12,1.79E+12,
Chile,CHL,8981111664,10694569522,11532517864,16387455087,15535549760,7226476864,9857547847,13359145455,15399431311,20729772209,27572307600,32644872979,24339421605,19770402076,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.01E+11,1.24E+11,1.55E+11,1.73E+11,1.80E+11,1.72E+11,2.18E+11,2.51E+11,2.65E+11,2.77E+11,2.58E+11,
China,CHN,91506211306,98562023844,1.12E+11,1.37E+11,1.42E+11,1.61E+11,1.52E+11,1.72E+11,1.48E+11,1.77E+11,1.90E+11,1.94E+11,2.04E+11,2.29E+11,2.58E+11,3.07E+11,2.99E+11,2.71E+11,3.11E+11,3.46E+11,3.59E+11,3.81E+11,4.25E+11,4.43E+11,5.62E+11,7.32E+11,8.61E+11,9.58E+11,1.03E+12,1.09E+12,1.21E+12,1.33E+12,1.46E+12,1.65E+12,1.94E+12,2.27E+12,2.73E+12,3.52E+12,4.56E+12,5.06E+12,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13,
Cote d'Ivoire,CIV,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628915,11152971316,11045759469,8313557450,11000146840,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887797,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31292560974,34253607832,
Cameroon,CMR,1160002329,1233991071,1430951432,1758727647,2255496517,2752770608,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157924,12302473329,12493286837,11140057046,11151578703,12434370005,11396310990,13532137228,9220470913,8733231184,9732328116,9840553236,9629649417,10486451144,9287367235,9633109350,10879778384,13621738837,15775357015,16587858857,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32050817633,
"Congo, Rep.",COG,274960700,322128019,410669263,541973362,585364635,767102679,754549601,765224031,878771771,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14177440495,
