"","date","count"
"1","2004-1-1",17209
"2","2004-1-10",16761
"3","2004-1-11",18514
"4","2004-1-12",19575
"5","2004-1-13",19242
"6","2004-1-14",19261
"7","2004-1-15",19555
"8","2004-1-16",19593
"9","2004-1-17",16710
"10","2004-1-18",18440
"11","2004-1-19",19539
"12","2004-1-2",19056
"13","2004-1-20",19246
"14","2004-1-21",19255
"15","2004-1-22",19548
"16","2004-1-23",19592
"17","2004-1-24",16849
"18","2004-1-25",18465
"19","2004-1-26",19540
"20","2004-1-27",19220
"21","2004-1-28",19239
"22","2004-1-29",19545
"23","2004-1-3",17258
"24","2004-1-30",19586
"25","2004-1-31",16697
"26","2004-1-4",18915
"27","2004-1-5",19804
"28","2004-1-6",19322
"29","2004-1-7",19256
"30","2004-1-8",19579
"31","2004-1-9",19616
"32","2004-10-1",20402
"33","2004-10-10",19490
"34","2004-10-11",20450
"35","2004-10-12",20102
"36","2004-10-13",20128
"37","2004-10-14",20451
"38","2004-10-15",20473
"39","2004-10-16",17226
"40","2004-10-17",19481
"41","2004-10-18",20457
"42","2004-10-19",20100
"43","2004-10-2",17147
"44","2004-10-20",20133
"45","2004-10-21",20470
"46","2004-10-22",20475
"47","2004-10-23",17223
"48","2004-10-24",19484
"49","2004-10-25",20456
"50","2004-10-26",20094
"51","2004-10-27",20127
"52","2004-10-28",20447
"53","2004-10-29",20456
"54","2004-10-3",19427
"55","2004-10-30",17184
"56","2004-10-31",19366
"57","2004-10-4",20403
"58","2004-10-5",20075
"59","2004-10-6",20134
"60","2004-10-7",20467
"61","2004-10-8",20483
"62","2004-10-9",17226
"63","2004-11-1",20346
"64","2004-11-10",20014
"65","2004-11-11",20328
"66","2004-11-12",20348
"67","2004-11-13",17369
"68","2004-11-14",19335
"69","2004-11-15",20285
"70","2004-11-16",19963
"71","2004-11-17",19995
"72","2004-11-18",20310
"73","2004-11-19",20381
"74","2004-11-2",20008
"75","2004-11-20",17393
"76","2004-11-21",19329
"77","2004-11-22",20041
"78","2004-11-23",20370
"79","2004-11-24",20419
"80","2004-11-25",15252
"81","2004-11-26",16981
"82","2004-11-27",17803
"83","2004-11-28",19931
"84","2004-11-29",20433
"85","2004-11-3",20029
"86","2004-11-30",20209
"87","2004-11-4",20358
"88","2004-11-5",20388
"89","2004-11-6",17351
"90","2004-11-7",19340
"91","2004-11-8",20316
"92","2004-11-9",19985
"93","2004-12-1",19810
"94","2004-12-10",20136
"95","2004-12-11",17146
"96","2004-12-12",19151
"97","2004-12-13",20080
"98","2004-12-14",19723
"99","2004-12-15",19942
"100","2004-12-16",20280
"101","2004-12-17",20448
"102","2004-12-18",17730
"103","2004-12-19",19502
"104","2004-12-2",20120
"105","2004-12-20",20401
"106","2004-12-21",20401
"107","2004-12-22",20395
"108","2004-12-23",20466
"109","2004-12-24",18589
"110","2004-12-25",17219
"111","2004-12-26",19685
"112","2004-12-27",20333
"113","2004-12-28",20306
"114","2004-12-29",20296
"115","2004-12-3",20147
"116","2004-12-30",20346
"117","2004-12-31",18111
"118","2004-12-4",17160
"119","2004-12-5",19162
"120","2004-12-6",20087
"121","2004-12-7",19718
"122","2004-12-8",19744
"123","2004-12-9",20097
"124","2004-2-1",18481
"125","2004-2-10",19254
"126","2004-2-11",19405
"127","2004-2-12",19756
"128","2004-2-13",19835
"129","2004-2-14",17008
"130","2004-2-15",18508
"131","2004-2-16",19775
"132","2004-2-17",19726
"133","2004-2-18",19739
"134","2004-2-19",19803
"135","2004-2-2",19595
"136","2004-2-20",19859
"137","2004-2-21",17174
"138","2004-2-22",18805
"139","2004-2-23",19803
"140","2004-2-24",19504
"141","2004-2-25",19667
"142","2004-2-26",19800
"143","2004-2-27",19837
"144","2004-2-28",17163
"145","2004-2-29",18766
"146","2004-2-3",19280
"147","2004-2-4",19299
"148","2004-2-5",19589
"149","2004-2-6",19612
"150","2004-2-7",16838
"151","2004-2-8",18446
"152","2004-2-9",19549
"153","2004-3-1",19836
"154","2004-3-10",19858
"155","2004-3-11",19923
"156","2004-3-12",19949
"157","2004-3-13",17271
"158","2004-3-14",18896
"159","2004-3-15",19907
"160","2004-3-16",19765
"161","2004-3-17",19872
"162","2004-3-18",19925
"163","2004-3-19",19955
"164","2004-3-2",19582
"165","2004-3-20",17286
"166","2004-3-21",18908
"167","2004-3-22",19907
"168","2004-3-23",19770
"169","2004-3-24",19873
"170","2004-3-25",19928
"171","2004-3-26",19954
"172","2004-3-27",17279
"173","2004-3-28",18908
