COUNTRY,GDP (BILLIONS),CODE,COUNTRY,Population.2010,Population.2011,Population.2012,Population.2013,Population.2014
Aruba,2.52,ABW,ABW,101597,101936,102393,102921,103441
Afghanistan,21.71,AFG,AFG,27962207,28809167,29726803,30682500,31627506
Angola,131.4,AGO,AGO,21219954,21942296,22685632,23448202,24227524
Albania,13.4,ALB,ALB,2913021,2904780,2900489,2897366,2894475
Andorra,4.8,AND,AND,84419,82326,79316,75902,72786
United Arab Emirates,416.4,ARE,ARE,8329453,8734722,8952542,9039978,9086139
Argentina,536.2,ARG,ARG,41222875,41655616,42095224,42538304,42980026
Armenia,10.88,ARM,ARM,2963496,2967984,2978339,2992192,3006154
American Samoa,0.75,ASM,ASM,55636,55316,55227,55302,55434
Antigua and Barbuda,1.24,ATG,ATG,87233,88152,89069,89985,90900
Australia,1483,AUS,AUS,22031750,22340024,22728254,23125868,23490736
Austria,436.1,AUT,AUT,8363404,8391643,8429991,8479375,8534492
Azerbaijan,77.91,AZE,AZE,9054332,9173082,9295784,9416801,9537823
Burundi,3.04,BDI,BDI,9461117,9790151,10124572,10465959,10816860
Belgium,527.8,BEL,BEL,10920272,11047744,11128246,11182817,11225207
Benin,9.24,BEN,BEN,9509798,9779391,10049792,10322232,10598482
Burkina Faso,13.38,BFA,BFA,15632066,16106851,16590813,17084554,17589198
Bangladesh,186.6,BGD,BGD,151616777,153405612,155257387,157157394,159077513
Bulgaria,55.08,BGR,BGR,7395599,7348328,7305888,7265115,7223938
Bahrain,34.05,BHR,BHR,1261319,1306014,1333577,1349427,1361930
Bosnia and Herzegovina,19.55,BIH,BIH,3835258,3832310,3828419,3823533,3817554
Belarus,75.25,BLR,BLR,9490000,9473000,9464000,9466000,9470000
Belize,1.67,BLZ,BLZ,321609,329193,336707,344193,351706
Bermuda,5.2,BMU,BMU,65124,64564,64798,65001,65181
Bolivia,34.08,BOL,BOL,9918245,10078238,10238762,10399931,10561887
Brazil,2244,BRA,BRA,198614208,200517584,202401584,204259377,206077898
Barbados,4.28,BRB,BRB,279566,280602,281580,282503,283380
Brunei,17.43,BRN,BRN,393302,399443,405512,411499,417394
Bhutan,2.09,BTN,BTN,720246,732246,743711,754637,765008
Botswana,16.3,BWA,BWA,2047831,2089706,2132822,2176510,2219937
Central African Republic,1.73,CAF,CAF,4444973,4530903,4619500,4710678,4804316
Canada,1794,CAN,CAN,34005274,34342780,34754312,35158304,35540419
Switzerland,679,CHE,CHE,7824909,7912398,7996861,8089346,8190229
Chile,264.1,CHL,CHL,17015048,17201305,17388437,17575833,17762647
China,10360,CHN,CHN,1337705000,1344130000,1350695000,1357380000,1364270000
Cote d'Ivoire,33.96,CIV,CIV,20131707,20604172,21102641,21622490,22157107
Cameroon,32.16,CMR,CMR,20590666,21119065,21659488,22211166,22773014
"Congo, Democratic Republic of the",32.67,COD,COD,65938712,68087376,70291160,72552861,74877030
"Congo, Republic of the",14.11,COG,COG,4066078,4177435,4286188,4394334,4504962
Cook Islands,0.18,COK,COL,45918101,46406446,46881018,47342363,47791393
Comoros,0.72,COM,COM,698695,715972,733661,751697,769991
Cabo Verde,1.98,CPV,CPV,490379,495159,500870,507258,513906
Costa Rica,50.46,CRI,CRI,4545273,4600487,4654148,4706433,4757606
Cuba,77.15,CUB,CUB,11308133,11323570,11342631,11362505,11379111
Curacao,5.6,CUW,CUW,148703,150831,152088,153821,155872
Cayman Islands,2.25,CYM,CYM,55509,56580,57522,58369,59172
Cyprus,21.34,CYP,CYP,1103685,1116644,1129303,1141652,1153658
Czech Republic,205.6,CZE,CZE,10474410,10496088,10510785,10514272,10510566
Germany,3820,DEU,DEU,81776930,81797673,80425823,80645605,80889505
Djibouti,1.58,DJI,DJI,830802,841802,853069,864554,876174
Dominica,0.51,DMA,DMA,71167,71402,71685,72005,72341
Denmark,347.2,DNK,DNK,5547683,5570572,5591572,5614932,5639565
Dominican Republic,64.05,DOM,DOM,9897983,10027140,10155036,10281408,10405943
Algeria,227.8,DZA,DZA,36036159,36717132,37439427,38186135,38934334
Ecuador,100.5,ECU,ECU,14934692,15177280,15419493,15661312,15902916
Egypt,284.9,EGY,EGY,82040994,83787634,85660902,87613909,89579670
Eritrea,3.87,ERI,ERI,4689664,4789568,4892233,4998824,5110444
