"","MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST","DEST_STATE_NM","X","count"
"51",1,"AA",14869,"SLC","Utah","DFW","Texas",NA,3149
"52",1,"AA",11298,"DFW","Texas","SLC","Utah",NA,3143
"53",1,"AA",12892,"LAX","California","DCA","Virginia",NA,366
"54",1,"AA",11278,"DCA","Virginia","LAX","California",NA,366
"55",1,"AA",12889,"LAS","Nevada","ORD","Illinois",NA,5235
"56",1,"AA",13930,"ORD","Illinois","LAS","Nevada",NA,5257
"57",1,"AA",12758,"KOA","Hawaii","LAX","California",NA,1040
"58",1,"AA",12892,"LAX","California","KOA","Hawaii",NA,1038
"59",1,"AA",11298,"DFW","Texas","MIA","Florida",NA,3350
"60",1,"AA",13303,"MIA","Florida","DFW","Texas",NA,3346
"61",1,"AA",13303,"MIA","Florida","PHX","Arizona",NA,366
"62",1,"AA",11298,"DFW","Texas","JFK","New York",NA,833
"63",1,"AA",12478,"JFK","New York","DFW","Texas",NA,834
"64",1,"AA",14843,"SJU","Puerto Rico","JFK","New York",NA,3558
"65",1,"AA",12478,"JFK","New York","SJU","Puerto Rico",NA,3565
"66",1,"AA",14771,"SFO","California","MIA","Florida",NA,1098
"67",1,"AA",13303,"MIA","Florida","SFO","California",NA,1097
"68",1,"AA",13204,"MCO","Florida","DFW","Texas",NA,4114
"69",1,"AA",11292,"DEN","Colorado","ORD","Illinois",NA,6051
"70",1,"AA",13930,"ORD","Illinois","DEN","Colorado",NA,5773
"71",1,"AA",14107,"PHX","Arizona","MIA","Florida",NA,366
"72",1,"AA",13204,"MCO","Florida","ORD","Illinois",NA,3978
"73",1,"AA",13930,"ORD","Illinois","MCO","Florida",NA,3798
"74",1,"AA",12892,"LAX","California","ORD","Illinois",NA,7333
"75",1,"AA",13930,"ORD","Illinois","LAX","California",NA,6974
"76",1,"AA",12892,"LAX","California","STL","Missouri",NA,1686
"77",1,"AA",13930,"ORD","Illinois","SAN","California",NA,3308
"78",1,"AA",15016,"STL","Missouri","LAX","California",NA,1687
"79",1,"AA",11298,"DFW","Texas","PDX","Oregon",NA,1578
"80",1,"AA",14679,"SAN","California","ORD","Illinois",NA,2948
"81",1,"AA",10721,"BOS","Massachusetts","ORD","Illinois",NA,7085
"82",1,"AA",11298,"DFW","Texas","JAC","Wyoming",NA,213
"83",1,"AA",12441,"JAC","Wyoming","DFW","Texas",NA,214
"84",1,"AA",12892,"LAX","California","OGG","Hawaii",NA,2054
"85",1,"AA",12173,"HNL","Hawaii","LAX","California",NA,4963
"86",1,"AA",11298,"DFW","Texas","STL","Missouri",NA,3598
"87",1,"AA",15016,"STL","Missouri","DFW","Texas",NA,3597
"88",1,"AA",12889,"LAS","Nevada","LAX","California",NA,11729
"89",1,"AA",12892,"LAX","California","LAS","Nevada",NA,11773
"90",1,"AA",14100,"PHL","Pennsylvania","CLT","North Carolina",NA,3545
"91",1,"AA",11042,"CLE","Ohio","DFW","Texas",NA,1656
"92",1,"AA",11298,"DFW","Texas","CLE","Ohio",NA,1665
"93",1,"AA",11298,"DFW","Texas","HOU","Texas",NA,2425
"94",1,"AA",12191,"HOU","Texas","DFW","Texas",NA,2425
"95",1,"AA",12264,"IAD","Virginia","LAX","California",NA,4092
"96",1,"AA",12892,"LAX","California","IAD","Virginia",NA,3836
"97",1,"AA",14771,"SFO","California","LAX","California",NA,13788
"98",1,"AA",11298,"DFW","Texas","SMF","California",NA,1346
"99",1,"AA",15376,"TUS","Arizona","DFW","Texas",NA,2676
"100",1,"AA",11298,"DFW","Texas","TUS","Arizona",NA,2677
"101",1,"AA",10721,"BOS","Massachusetts","JFK","New York",NA,7372
"102",1,"AA",12478,"JFK","New York","BOS","Massachusetts",NA,7513
"103",1,"AA",14057,"PDX","Oregon","ORD","Illinois",NA,2184
"104",1,"AA",13930,"ORD","Illinois","RNO","Nevada",NA,365
"105",1,"AA",12266,"IAH","Texas","MIA","Florida",NA,2735
"106",1,"AA",11298,"DFW","Texas","ORD","Illinois",NA,8165
"107",1,"AA",14679,"SAN","California","JFK","New York",NA,1630
"108",1,"AA",12478,"JFK","New York","SAN","California",NA,1630
"109",1,"AA",14771,"SFO","California","ORD","Illinois",NA,5746
"110",1,"AA",13930,"ORD","Illinois","PDX","Oregon",NA,2394
"111",1,"AA",11298,"DFW","Texas","MSY","Louisiana",NA,2501
"112",1,"AA",13495,"MSY","Louisiana","DFW","Texas",NA,2501
"113",1,"AA",14908,"SNA","California","ORD","Illinois",NA,2554
"114",1,"AA",13930,"ORD","Illinois","SNA","California",NA,2580
"115",1,"AA",11292,"DEN","Colorado","MIA","Florida",NA,810
"116",1,"AA",13303,"MIA","Florida","DEN","Colorado",NA,809
"117",1,"AA",10529,"BDL","Connecticut","DFW","Texas",NA,1065
"118",1,"AA",11298,"DFW","Texas","BDL","Connecticut",NA,1065
"119",1,"AA",11298,"DFW","Texas","RSW","Florida",NA,918
"120",1,"AA",14635,"RSW","Florida","DFW","Texas",NA,919
"121",1,"AA",11298,"DFW","Texas","SJC","California",NA,2250
"122",1,"AA",14831,"SJC","California","DFW","Texas",NA,2264
"123",1,"AA",12478,"JFK","New York","ORD","Illinois",NA,3672
"124",1,"AA",12892,"LAX","California","BOS","Massachusetts",NA,2441
"125",1,"AA",13303,"MIA","Florida","PHL","Pennsylvania",NA,2203
"126",1,"AA",13930,"ORD","Illinois","SFO","California",NA,5524
"127",1,"AA",13930,"ORD","Illinois","JFK","New York",NA,3684
"128",1,"AA",11298,"DFW","Texas","SAT","Texas",NA,5414
"129",1,"AA",14683,"SAT","Texas","DFW","Texas",NA,5413
"130",1,"AA",12889,"LAS","Nevada","MIA","Florida",NA,787
"131",1,"AA",13303,"MIA","Florida","LAS","Nevada",NA,787
"132",1,"AA",13204,"MCO","Florida","LAX","California",NA,1725
"133",1,"AA",13342,"MKE","Wisconsin","DFW","Texas",NA,747
"134",1,"AA",11298,"DFW","Texas","PBI","Florida",NA,853
"135",1,"AA",14027,"PBI","Florida","DFW","Texas",NA,854
"136",1,"AA",13303,"MIA","Florida","BOS","Massachusetts",NA,2193
"137",1,"AA",11057,"CLT","North Carolina","MIA","Florida",NA,2970
"138",1,"AA",13303,"MIA","Florida","CLT","North Carolina",NA,2970
"139",1,"AA",10821,"BWI","Maryland","DFW","Texas",NA,2311
"140",1,"AA",11298,"DFW","Texas","BWI","Maryland",NA,2309
"141",1,"AA",15376,"TUS","Arizona","ORD","Illinois",NA,865
"142",1,"AA",12953,"LGA","New York","ORD","Illinois",NA,10862
"143",1,"AA",10693,"BNA","Tennessee","DFW","Texas",NA,2859
"144",1,"AA",11298,"DFW","Texas","BNA","Tennessee",NA,2861
"145",1,"AA",13256,"MFE","Texas","DFW","Texas",NA,1441
"146",1,"AA",13303,"MIA","Florida","JFK","New York",NA,2743
"147",1,"AA",11292,"DEN","Colorado","DFW","Texas",NA,8268
"148",1,"AA",11298,"DFW","Texas","DEN","Colorado",NA,8193
"149",1,"AA",12889,"LAS","Nevada","DFW","Texas",NA,4959
"150",1,"AA",11298,"DFW","Texas","EWR","New Jersey",NA,3728
"151",1,"AA",11618,"EWR","New Jersey","DFW","Texas",NA,3729
"152",1,"AA",11298,"DFW","Texas","JAX","Florida",NA,1366
"153",1,"AA",10423,"AUS","Texas","LAX","California",NA,1733
"154",1,"AA",12892,"LAX","California","AUS","Texas",NA,1732
"155",1,"AA",13930,"ORD","Illinois","LGA","New York",NA,10770
"156",1,"AA",13930,"ORD","Illinois","RDU","North Carolina",NA,3140
"157",1,"AA",14492,"RDU","North Carolina","ORD","Illinois",NA,3094
"158",1,"AA",13930,"ORD","Illinois","SJU","Puerto Rico",NA,1036
"159",1,"AA",13930,"ORD","Illinois","BOS","Massachusetts",NA,7133
"160",1,"AA",12892,"LAX","California","LIH","Hawaii",NA,1067
"161",1,"AA",12982,"LIH","Hawaii","LAX","California",NA,1069
"162",1,"AA",13204,"MCO","Florida","MIA","Florida",NA,2195
"163",1,"AA",11298,"DFW","Texas","MCI","Missouri",NA,2878
"164",1,"AA",13198,"MCI","Missouri","DFW","Texas",NA,2877
"165",1,"AA",13930,"ORD","Illinois","PHX","Arizona",NA,5124
"166",1,"AA",14107,"PHX","Arizona","ORD","Illinois",NA,5130
"167",1,"AA",10423,"AUS","Texas","JFK","New York",NA,1358
"168",1,"AA",12478,"JFK","New York","AUS","Texas",NA,1356
"169",1,"AA",11298,"DFW","Texas","ORF","Virginia",NA,1035
"170",1,"AA",13931,"ORF","Virginia","DFW","Texas",NA,1035
"171",1,"AA",11298,"DFW","Texas","IAH","Texas",NA,5526
"172",1,"AA",12266,"IAH","Texas","DFW","Texas",NA,5539
"173",1,"AA",11109,"COS","Colorado","DFW","Texas",NA,2036
"174",1,"AA",11298,"DFW","Texas","COS","Colorado",NA,2034
"175",1,"AA",13930,"ORD","Illinois","MIA","Florida",NA,3343
"176",1,"AA",13303,"MIA","Florida","STT","U.S. Virgin Islands",NA,732
"177",1,"AA",15024,"STT","U.S. Virgin Islands","MIA","Florida",NA,732
"178",1,"AA",11298,"DFW","Texas","MEM","Tennessee",NA,2501
"179",1,"AA",12892,"LAX","California","SFO","California",NA,13390
"180",1,"AA",10821,"BWI","Maryland","MIA","Florida",NA,929
"181",1,"AA",13303,"MIA","Florida","BWI","Maryland",NA,929
"182",1,"AA",11618,"EWR","New Jersey","MIA","Florida",NA,2873
"183",1,"AA",15370,"TUL","Oklahoma","DFW","Texas",NA,3260
"184",1,"AA",11298,"DFW","Texas","FLL","Florida",NA,2296
"185",1,"AA",11697,"FLL","Florida","DFW","Texas",NA,2298
"186",1,"AA",14747,"SEA","Washington","MIA","Florida",NA,366
"187",1,"AA",11298,"DFW","Texas","MFE","Texas",NA,1439
"188",1,"AA",11298,"DFW","Texas","IND","Indiana",NA,2086
"189",1,"AA",12339,"IND","Indiana","DFW","Texas",NA,2087
"190",1,"AA",11298,"DFW","Texas","OKC","Oklahoma",NA,2846
