location,Name,State,code
Atlanta,Hartsfield Jackson Atlanta Intl,Georgia,ATL
Anchorage,Ted Stevens Anchorage Intl Airport,Alaska,ANC
Austin,Austin Bergstrom Intl,Texas,AUS
Baltimore,Baltimore Washington Intl   BWI Airport,Maryland,BWI
Boston,Logan Intl Airport,Massachusetts,BOS
Charlotte,Charlotte Douglas Intl,North Carolina,CLT
Chicago,Chicago Midway Airport,Illinois,MDW
Chicago,Chicago O'Hare Intl,Illinois,ORD
Cincinnati,Cincinnati Northern Kentucky Intl,Ohio,CVG
Cleveland,Cleveland Hopkins Intl,Ohio,CLE
Columbus,Port Columbus Intl,Ohio,CMH
Dallas,Dallas Ft. Worth Intl   DFW Airport,Texas,DFW
Denver,Denver Intl Airport,Colorado,DEN
Detroit,Detroit Metropolitan Wayne County Airport,Michigan,DTW
Fort Lauderdale,Fort Lauderdale Hollywood Intl,Florida,FLL
Fort Myers,Southwest Florida Intl,Florida,RSW
Hartford,Bradley Intl,Connecticut,BDL
Honolulu,Hawaii Honolulu Intl,Hawaii,HNL
Houston,George Bush Intercontinental,Texas,IAH
Houston,William P. Hobby Airport,Texas,HOU
Indianapolis,Indianapolis Intl,Indiana,IND
Kansas City,Kansas City Intl,Missouri,MCI
Las Vegas,McCarran Intl,Nevada,LAS
Los Angeles,Los Angeles Intl   LAX Airport,California,LAX
Memphis,Memphis Intl,Tennessee,MEM
Miami,Miami Intl Airport,Florida,MIA
Minneapolis,Minneapolis St. Paul Intl,Minnesota,MSP
Nashville,Nashville Intl,Tennessee,BNA
New Orleans,Louis Armstrong Intl,Louisiana,MSY
New York,John F. Kennedy Intl,New York,JFK
New York,LaGuardia Intl,New York,LGA
Newark,Newark Liberty Intl,New Jersey,EWR
Oakland,Metropolitan Oakland Intl,California,OAK
Ontario,Ontario Intl,California,ONT
Orlando,Orlando Intl,Florida,MCO
Philadelphia,Philadelphia Intl,Pennsylvania,PHL
Phoenix,Sky Harbor Intl,Arizona,PHX
Pittsburgh,Pittsburgh Intl,Pennsylvania,PIT
Portland,Portland Intl,Oregon,PDX
Raleigh-Durham,Raleigh Durham Intl,North Carolina,RDU
Sacramento,Sacramento Intl,California,SMF
Salt Lake City,Salt Lake City Intl,Utah,SLC
San Antonio,San Antonio Intl,Texas,SAT
San Diego,Lindbergh Field Intl,California,SAN
San Francisco,San Francisco Intl,California,SFO
San Jose,Mineta San José Intl,California,SJC
Santa Ana,"John Wayne Airport, Orange County",California,SNA
Seattle,Seattle Tacoma Intl   Seatac Airport,Washington,SEA
St. Louis,Lambert St. Louis Intl,Missouri,STL
Tampa,Tampa Intl,Florida,TPA
Washington D.C.,Dulles Intl Airport,Washington D.C.,IAD
Washington D.C.,Ronald Reagan Washington National,Washington D.C.,DCA
