"","date","count"
"1","2006-1-1",17952
"2","2006-1-10",18746
"3","2006-1-11",18780
"4","2006-1-12",19511
"5","2006-1-13",19575
"6","2006-1-14",15983
"7","2006-1-15",18350
"8","2006-1-16",19432
"9","2006-1-17",18731
"10","2006-1-18",18771
"11","2006-1-19",19497
"12","2006-1-2",20081
"13","2006-1-20",19574
"14","2006-1-21",15983
"15","2006-1-22",18349
"16","2006-1-23",19442
"17","2006-1-24",18730
"18","2006-1-25",18763
"19","2006-1-26",19490
"20","2006-1-27",19564
"21","2006-1-28",15972
"22","2006-1-29",18341
"23","2006-1-3",20074
"24","2006-1-30",19432
"25","2006-1-31",18683
"26","2006-1-4",19169
"27","2006-1-5",19746
"28","2006-1-6",19794
"29","2006-1-7",16426
"30","2006-1-8",18669
"31","2006-1-9",19677
"32","2006-10-1",19424
"33","2006-10-10",19739
"34","2006-10-11",20262
"35","2006-10-12",20507
"36","2006-10-13",20551
"37","2006-10-14",17015
"38","2006-10-15",19496
"39","2006-10-16",20501
"40","2006-10-17",19733
"41","2006-10-18",20292
"42","2006-10-19",20539
"43","2006-10-2",20474
"44","2006-10-20",20543
"45","2006-10-21",16990
"46","2006-10-22",19470
"47","2006-10-23",20501
"48","2006-10-24",19731
"49","2006-10-25",20275
"50","2006-10-26",20566
"51","2006-10-27",20568
"52","2006-10-28",16998
"53","2006-10-29",19319
"54","2006-10-3",19692
"55","2006-10-30",20472
"56","2006-10-31",19684
"57","2006-10-4",20248
"58","2006-10-5",20553
"59","2006-10-6",20585
"60","2006-10-7",17009
"61","2006-10-8",19479
"62","2006-10-9",20502
"63","2006-11-1",20244
"64","2006-11-10",20545
"65","2006-11-11",16845
"66","2006-11-12",19312
"67","2006-11-13",20457
"68","2006-11-14",19779
"69","2006-11-15",20296
"70","2006-11-16",20552
"71","2006-11-17",20627
"72","2006-11-18",17114
"73","2006-11-19",19388
"74","2006-11-2",20503
"75","2006-11-20",19917
"76","2006-11-21",20510
"77","2006-11-22",20686
"78","2006-11-23",15090
"79","2006-11-24",16600
"80","2006-11-25",18146
"81","2006-11-26",20397
"82","2006-11-27",20662
"83","2006-11-28",20267
"84","2006-11-29",20065
"85","2006-11-3",20520
"86","2006-11-30",20492
"87","2006-11-4",16795
"88","2006-11-5",19299
"89","2006-11-6",20456
"90","2006-11-7",19791
"91","2006-11-8",20310
"92","2006-11-9",20532
"93","2006-12-1",20471
"94","2006-12-10",19177
"95","2006-12-11",20349
"96","2006-12-12",19689
"97","2006-12-13",20076
"98","2006-12-14",20458
"99","2006-12-15",20606
"100","2006-12-16",17279
"101","2006-12-17",19385
"102","2006-12-18",20537
"103","2006-12-19",20543
"104","2006-12-2",16750
"105","2006-12-20",20657
"106","2006-12-21",20761
"107","2006-12-22",20760
"108","2006-12-23",18052
"109","2006-12-24",17056
"110","2006-12-25",17485
"111","2006-12-26",20572
"112","2006-12-27",20593
"113","2006-12-28",20599
"114","2006-12-29",20616
"115","2006-12-3",19184
"116","2006-12-30",18212
"117","2006-12-31",17310
"118","2006-12-4",20362
"119","2006-12-5",19681
"120","2006-12-6",19914
"121","2006-12-7",20428
"122","2006-12-8",20461
"123","2006-12-9",16735
"124","2006-2-1",18798
"125","2006-2-10",19731
"126","2006-2-11",16384
"127","2006-2-12",18502
"128","2006-2-13",19600
"129","2006-2-14",18965
"130","2006-2-15",19214
"131","2006-2-16",19932
"132","2006-2-17",20039
"133","2006-2-18",16866
"134","2006-2-19",18746
"135","2006-2-2",19478
"136","2006-2-20",19870
"137","2006-2-21",19640
"138","2006-2-22",19546
"139","2006-2-23",19982
"140","2006-2-24",20039
"141","2006-2-25",16947
"142","2006-2-26",18840
"143","2006-2-27",19910
"144","2006-2-28",19267
"145","2006-2-3",19592
"146","2006-2-4",16036
"147","2006-2-5",18371
"148","2006-2-6",19498
"149","2006-2-7",18809
"150","2006-2-8",18985
"151","2006-2-9",19660
"152","2006-3-1",19591
"153","2006-3-10",20197
"154","2006-3-11",17084
"155","2006-3-12",18976
"156","2006-3-13",20129
"157","2006-3-14",19750
"158","2006-3-15",20046
"159","2006-3-16",20167
"160","2006-3-17",20203
"161","2006-3-18",17088
"162","2006-3-19",18987
"163","2006-3-2",20124
"164","2006-3-20",20141
"165","2006-3-21",19762
"166","2006-3-22",20057
"167","2006-3-23",20187
"168","2006-3-24",20188
"169","2006-3-25",17085
"170","2006-3-26",18992
"171","2006-3-27",20147
"172","2006-3-28",19765
"173","2006-3-29",20059
