"","date","count"
"1","2007-1-1",19563
"2","2007-1-10",20359
"3","2007-1-11",20830
"4","2007-1-12",20869
"5","2007-1-13",17197
"6","2007-1-14",19532
"7","2007-1-15",20741
"8","2007-1-16",20141
"9","2007-1-17",20365
"10","2007-1-18",20815
"11","2007-1-19",20867
"12","2007-1-2",21197
"13","2007-1-20",17185
"14","2007-1-21",19533
"15","2007-1-22",20766
"16","2007-1-23",20121
"17","2007-1-24",20352
"18","2007-1-25",20812
"19","2007-1-26",20854
"20","2007-1-27",17186
"21","2007-1-28",19540
"22","2007-1-29",20760
"23","2007-1-3",21074
"24","2007-1-30",20112
"25","2007-1-31",20315
"26","2007-1-4",20960
"27","2007-1-5",20957
"28","2007-1-6",17783
"29","2007-1-7",19830
"30","2007-1-8",20816
"31","2007-1-9",20127
"32","2007-10-1",21114
"33","2007-10-10",20923
"34","2007-10-11",21226
"35","2007-10-12",21243
"36","2007-10-13",17185
"37","2007-10-14",19880
"38","2007-10-15",21138
"39","2007-10-16",20539
"40","2007-10-17",20902
"41","2007-10-18",21205
"42","2007-10-19",21208
"43","2007-10-2",20556
"44","2007-10-20",17148
"45","2007-10-21",19858
"46","2007-10-22",21126
"47","2007-10-23",20526
"48","2007-10-24",20903
"49","2007-10-25",21209
"50","2007-10-26",21216
"51","2007-10-27",17145
"52","2007-10-28",19807
"53","2007-10-29",21097
"54","2007-10-3",20886
"55","2007-10-30",20483
"56","2007-10-31",20328
"57","2007-10-4",21175
"58","2007-10-5",21213
"59","2007-10-6",17180
"60","2007-10-7",19880
"61","2007-10-8",21137
"62","2007-10-9",20556
"63","2007-11-1",21130
"64","2007-11-10",17351
"65","2007-11-11",20048
"66","2007-11-12",21177
"67","2007-11-13",20684
"68","2007-11-14",21037
"69","2007-11-15",21283
"70","2007-11-16",21307
"71","2007-11-17",17407
"72","2007-11-18",20083
"73","2007-11-19",20783
"74","2007-11-2",21148
"75","2007-11-20",21263
"76","2007-11-21",21330
"77","2007-11-22",14859
"78","2007-11-23",16912
"79","2007-11-24",18603
"80","2007-11-25",20933
"81","2007-11-26",21364
"82","2007-11-27",20878
"83","2007-11-28",20739
"84","2007-11-29",21176
"85","2007-11-3",17086
"86","2007-11-30",21130
"87","2007-11-4",20039
"88","2007-11-5",21183
"89","2007-11-6",20635
"90","2007-11-7",21048
"91","2007-11-8",21260
"92","2007-11-9",21273
"93","2007-12-1",16792
"94","2007-12-10",20907
"95","2007-12-11",20128
"96","2007-12-12",20619
"97","2007-12-13",20953
"98","2007-12-14",21065
"99","2007-12-15",17497
"100","2007-12-16",19841
"101","2007-12-17",20721
"102","2007-12-18",20670
"103","2007-12-19",21026
"104","2007-12-2",19716
"105","2007-12-20",21259
"106","2007-12-21",21297
"107","2007-12-22",18864
"108","2007-12-23",20241
"109","2007-12-24",17313
"110","2007-12-25",17449
"111","2007-12-26",21027
"112","2007-12-27",21081
"113","2007-12-28",20531
"114","2007-12-29",18177
"115","2007-12-3",20931
"116","2007-12-30",19174
"117","2007-12-31",17643
"118","2007-12-4",20160
"119","2007-12-5",20507
"120","2007-12-6",21017
"121","2007-12-7",21051
"122","2007-12-8",16766
"123","2007-12-9",19716
"124","2007-2-1",20753
"125","2007-2-10",17166
"126","2007-2-11",19522
"127","2007-2-12",20742
"128","2007-2-13",20034
"129","2007-2-14",20458
"130","2007-2-15",21161
"131","2007-2-16",21243
"132","2007-2-17",17890
"133","2007-2-18",19850
"134","2007-2-19",21099
"135","2007-2-2",20846
"136","2007-2-20",20962
"137","2007-2-21",21047
"138","2007-2-22",21216
"139","2007-2-23",21246
"140","2007-2-24",17988
"141","2007-2-25",19970
"142","2007-2-26",21166
"143","2007-2-27",20835
"144","2007-2-28",20985
"145","2007-2-3",17165
"146","2007-2-4",19497
"147","2007-2-5",20758
"148","2007-2-6",20098
"149","2007-2-7",20280
"150","2007-2-8",20794
"151","2007-2-9",20833
"152","2007-3-1",21218
"153","2007-3-10",18031
"154","2007-3-11",20207
"155","2007-3-12",21299
"156","2007-3-13",21115
"157","2007-3-14",21203
"158","2007-3-15",21326
"159","2007-3-16",21332
"160","2007-3-17",18325
"161","2007-3-18",20219
"162","2007-3-19",21298
"163","2007-3-2",21305
"164","2007-3-20",21123
"165","2007-3-21",21237
"166","2007-3-22",21313
"167","2007-3-23",21353
"168","2007-3-24",18313
"169","2007-3-25",20181
"170","2007-3-26",21264
"171","2007-3-27",21121
"172","2007-3-28",21224
"173","2007-3-29",21306
"174","2007-3-3",18032
"175","2007-3-30",21340
"176","2007-3-31",18316
"177","2007-3-4",20052
"178","2007-3-5",21247
"179","2007-3-6",21083
"180","2007-3-7",21196
"181","2007-3-8",21305
"182","2007-3-9",21325
"183","2007-4-1",20207
"184","2007-4-10",20941
"185","2007-4-11",21050
"186","2007-4-12",21158
"187","2007-4-13",21186
"188","2007-4-14",18275
"189","2007-4-15",20039
"190","2007-4-16",21094
"191","2007-4-17",20577
"192","2007-4-18",20869
"193","2007-4-19",21063
"194","2007-4-2",21311
"195","2007-4-20",21093
"196","2007-4-21",18031
"197","2007-4-22",19952
"198","2007-4-23",21000
"199","2007-4-24",20578
"200","2007-4-25",20859
"201","2007-4-26",21060
"202","2007-4-27",21086
"203","2007-4-28",17899
"204","2007-4-29",19998
"205","2007-4-3",21112
"206","2007-4-30",21032
"207","2007-4-4",21222
"208","2007-4-5",21323
"209","2007-4-6",21275
"210","2007-4-7",18153
"211","2007-4-8",20037
"212","2007-4-9",21168
"213","2007-5-1",20593
"214","2007-5-10",21127
"215","2007-5-11",21148
"216","2007-5-12",17999
"217","2007-5-13",20051
"218","2007-5-14",21129
"219","2007-5-15",20682
"220","2007-5-16",21011
"221","2007-5-17",21178
"222","2007-5-18",21205
"223","2007-5-19",18056
"224","2007-5-2",20920
"225","2007-5-20",20099
"226","2007-5-21",21149
"227","2007-5-22",20689
"228","2007-5-23",21026
"229","2007-5-24",21239
"230","2007-5-25",21270
"231","2007-5-26",17696
"232","2007-5-27",17176
"233","2007-5-28",19982
"234","2007-5-29",20945
"235","2007-5-3",21097
"236","2007-5-30",21060
"237","2007-5-31",21234
"238","2007-5-4",21148
"239","2007-5-5",17964
"240","2007-5-6",20084
"241","2007-5-7",21073
"242","2007-5-8",20629
"243","2007-5-9",20950
"244","2007-6-1",21283
"245","2007-6-10",20674
"246","2007-6-11",21614
"247","2007-6-12",21539
"248","2007-6-13",21577
"249","2007-6-14",21663
"250","2007-6-15",21715
"251","2007-6-16",19096
"252","2007-6-17",20765
"253","2007-6-18",21683
"254","2007-6-19",21602
"255","2007-6-2",18138
"256","2007-6-20",21639
"257","2007-6-21",21700
"258","2007-6-22",21699
"259","2007-6-23",19077
"260","2007-6-24",20670
"261","2007-6-25",21664
"262","2007-6-26",21593
"263","2007-6-27",21626
"264","2007-6-28",21709
"265","2007-6-29",21748
"266","2007-6-3",20174
"267","2007-6-30",19109
"268","2007-6-4",21245
"269","2007-6-5",20959
"270","2007-6-6",21106
"271","2007-6-7",21547
"272","2007-6-8",21661
"273","2007-6-9",19005
"274","2007-7-1",20743
"275","2007-7-10",21597
"276","2007-7-11",21656
"277","2007-7-12",21716
"278","2007-7-13",21737
"279","2007-7-14",18999
"280","2007-7-15",20744
"281","2007-7-16",21714
"282","2007-7-17",21618
"283","2007-7-18",21669
"284","2007-7-19",21733
"285","2007-7-2",21087
"286","2007-7-20",21764
"287","2007-7-21",19020
"288","2007-7-22",20775
"289","2007-7-23",21740
"290","2007-7-24",21611
"291","2007-7-25",21667
"292","2007-7-26",21731
"293","2007-7-27",21780
"294","2007-7-28",18972
"295","2007-7-29",20745
"296","2007-7-3",20018
"297","2007-7-30",21725
"298","2007-7-31",21589
"299","2007-7-4",17742
"300","2007-7-5",20121
"301","2007-7-6",20914
"302","2007-7-7",19151
"303","2007-7-8",20779
"304","2007-7-9",21703
"305","2007-8-1",21613
"306","2007-8-10",21744
"307","2007-8-11",18984
"308","2007-8-12",20767
"309","2007-8-13",21682
"310","2007-8-14",21606
"311","2007-8-15",21600
"312","2007-8-16",21680
"313","2007-8-17",21689
"314","2007-8-18",18917
"315","2007-8-19",20713
"316","2007-8-2",21692
"317","2007-8-20",21569
"318","2007-8-21",20947
"319","2007-8-22",21234
"320","2007-8-23",21512
"321","2007-8-24",21570
"322","2007-8-25",18296
"323","2007-8-26",20554
"324","2007-8-27",21520
"325","2007-8-28",20975
"326","2007-8-29",21227
"327","2007-8-3",21728
"328","2007-8-30",21528
"329","2007-8-31",21535
"330","2007-8-4",18967
"331","2007-8-5",20753
"332","2007-8-6",21693
"333","2007-8-7",21607
"334","2007-8-8",21649
"335","2007-8-9",21728
"336","2007-9-1",17175
"337","2007-9-10",21097
"338","2007-9-11",20316
"339","2007-9-12",20645
"340","2007-9-13",21126
"341","2007-9-14",21193
"342","2007-9-15",17145
"343","2007-9-16",20036
"344","2007-9-17",21098
"345","2007-9-18",20319
"346","2007-9-19",20644
"347","2007-9-2",16759
"348","2007-9-20",21144
"349","2007-9-21",21182
"350","2007-9-22",17136
"351","2007-9-23",20023
"352","2007-9-24",21079
"353","2007-9-25",20273
"354","2007-9-26",20611
"355","2007-9-27",21124
"356","2007-9-28",21161
"357","2007-9-29",17130
"358","2007-9-3",20470
"359","2007-9-30",20059
"360","2007-9-4",21051
"361","2007-9-5",20616
"362","2007-9-6",21163
"363","2007-9-7",21211
"364","2007-9-8",17170
"365","2007-9-9",20031
