,comp_name,comp_overall_link,sal_d,sal_hr,sal_m,sal_max,sal_min,sal_wk,sal_yr
0,CyberCoders,http://www.indeed.com/cmp/Cybercoders,146.0,100.0,0.0,153063.0,109192.0,400.0,131128.0
1,TechInMotion,http://www.indeed.com/cmp/Techinmotion,0.0,59.13,0.0,147052.0,109055.0,0.0,128054.0
2,Workbridge Associates,http://www.indeed.com/cmp/Workbridge-Associates,0.0,59.29,0.0,152486.0,112000.0,0.0,132243.0
3,Jobspring Partners,http://www.indeed.com/cmp/Jobspring-Partners,0.0,60.25,0.0,140725.0,105611.0,0.0,123168.0
4,"Career Brokers, Inc.","http://www.indeed.com/cmp/Career-Brokers,-Inc.",0.0,0.0,0.0,134493.0,103243.0,0.0,118868.0
5,National Security Agency,http://www.indeed.com/cmp/National-Security-Agency,0.0,0.0,0.0,100822.0,68553.0,0.0,84687.0
6,harnham,http://www.indeed.com/cmp/Harnham,0.0,0.0,0.0,165528.0,137927.0,0.0,151728.0
7,Job Juncture,http://www.indeed.com/cmp/Job-Juncture,0.0,0.0,0.0,142148.0,103343.0,0.0,122746.0
8,Plastic Executive Recruiters,http://www.indeed.com/cmp/Plastic-Executive-Recruiters,0.0,0.0,0.0,164500.0,107700.0,0.0,136100.0
9,Prosigo Executive Search,http://www.indeed.com/cmp/Prosigo-Executive-Search,0.0,0.0,0.0,167750.0,108100.0,0.0,137925.0
10,Ploeger Recruiting Services,http://www.indeed.com/cmp/Ploeger-Recruiting-Services,0.0,0.0,0.0,165052.0,107732.0,0.0,136392.0
11,CMD And Associates,http://www.indeed.com/cmp/Cmd-and-Associates,0.0,0.0,0.0,160368.0,107368.0,0.0,133868.0
12,"Fowler Placement Services, Inc.","http://www.indeed.com/cmp/Fowler-Placement-Services,-Inc.",0.0,0.0,0.0,165108.0,107419.0,0.0,136263.0
13,Onboard.jobs,http://www.indeed.com/cmp/Onboard.jobs,0.0,0.0,0.0,165380.0,107717.0,0.0,136549.0
14,Systematic business consulting,http://www.indeed.com/cmp/Systematic-Business-Consulting,0.0,0.0,0.0,162056.0,107222.0,0.0,134639.0
15,Bio-Partners,http://www.indeed.com/cmp/Bio--partners,0.0,0.0,0.0,157978.0,106966.0,0.0,132472.0
16,Lodestar Executive Search,http://www.indeed.com/cmp/Lodestar-Executive-Search,0.0,0.0,0.0,166954.0,107816.0,0.0,137385.0
17,"PSU Personnel Services Unlimited, Inc.","http://www.indeed.com/cmp/Psu-Personnel-Services-Unlimited,-Inc.",0.0,0.0,0.0,161552.0,107241.0,0.0,134397.0
18,SearchStars,http://www.indeed.com/cmp/Searchstars,0.0,0.0,0.0,162151.0,107209.0,0.0,134680.0
19,Client Staffing Solutions,http://www.indeed.com/cmp/Client-Staffing-Solutions,0.0,0.0,0.0,154826.0,106512.0,0.0,130669.0
20,Tri-Force,http://www.indeed.com/cmp/Tri--force,0.0,0.0,0.0,158895.0,106628.0,0.0,132762.0
21,True North Consultants,http://www.indeed.com/cmp/True-North-Consultants,0.0,0.0,0.0,154826.0,106512.0,0.0,130669.0
22,Hire Horizons,http://www.indeed.com/cmp/Hire-Horizons,0.0,0.0,0.0,162151.0,107209.0,0.0,134680.0
23,"Technology Recruiting Solutions, Inc.","http://www.indeed.com/cmp/Technology-Recruiting-Solutions,-Inc.",0.0,0.0,0.0,154353.0,106471.0,0.0,130412.0
24,AutoPro Technical Recruiting,http://www.indeed.com/cmp/Autopro-Technical-Recruiting,0.0,0.0,0.0,154353.0,106471.0,0.0,130412.0
25,"MJ Recruiters, LLC","http://www.indeed.com/cmp/Mj-Recruiters,-LLC",0.0,0.0,0.0,154353.0,106471.0,0.0,130412.0
26,"Professional Recruiting Partners, LLC","http://www.indeed.com/cmp/Professional-Recruiting-Partners,-LLC",0.0,0.0,0.0,154881.0,106786.0,0.0,130833.0
27,Prevalent Group,http://www.indeed.com/cmp/Prevalent-Group,0.0,0.0,0.0,155120.0,106627.0,0.0,130874.0
28,Helffrich International,http://www.indeed.com/cmp/Helffrich-International,0.0,0.0,0.0,155488.0,106585.0,0.0,131037.0
29,"Superior Search Consultants, Inc.","http://www.indeed.com/cmp/Superior-Search-Consultants,-Inc.",0.0,0.0,0.0,155494.0,106667.0,0.0,131080.0
30,JDP Search Group,http://www.indeed.com/cmp/Jdp-Search-Group,0.0,0.0,0.0,155000.0,106000.0,0.0,130500.0
31,Robert Half Technology,http://www.indeed.com/cmp/Robert-Half-Technology,75.84,64.61,0.0,136417.0,119717.0,0.0,128067.0
32,Step Beyond,http://www.indeed.com/cmp/Step-Beyond,0.0,0.0,0.0,155705.0,106410.0,0.0,131058.0
33,Huxley Associates,http://www.indeed.com/cmp/Huxley-Associates,0.0,0.0,0.0,192532.0,133312.0,650.0,162922.0
34,Ability Professional Network,http://www.indeed.com/cmp/Ability-Professional-Network,0.0,0.0,0.0,169156.0,107792.0,0.0,138474.0
35,Request Technology,http://www.indeed.com/cmp/Request-Technology,120.0,0.0,0.0,110137.0,97808.0,0.0,103973.0
36,Bertram & Associates,http://www.indeed.com/cmp/Bertram-&-Associates,0.0,0.0,0.0,169521.0,107945.0,0.0,138733.0
37,ICONSTAFF,http://www.indeed.com/cmp/Iconstaff,0.0,0.0,0.0,0.0,0.0,0.0,147463.0
38,Analytic Recruiting,http://www.indeed.com/cmp/Analytic-Recruiting,140.0,0.0,0.0,151061.0,120000.0,0.0,135530.0
39,"Smith Hanley Associates, LLC","http://www.indeed.com/cmp/Smith-Hanley-Associates,-LLC",127.0,0.0,0.0,119623.0,101887.0,0.0,110755.0
40,Glocomms,http://www.indeed.com/cmp/Glocomms,139.0,0.0,0.0,163571.0,124694.0,0.0,144133.0
41,"Clifton Johnson Associates, Inc.","http://www.indeed.com/cmp/Clifton-Johnson-Associates,-Inc.",0.0,0.0,0.0,151610.0,101102.0,0.0,126356.0
42,GQR Global Markets,http://www.indeed.com/cmp/Gqr-Global-Markets,300.0,0.0,0.0,196500.0,172000.0,300.0,184250.0
43,Affinity Executive Search,http://www.indeed.com/cmp/Affinity-Executive-Search,0.0,0.0,0.0,145769.0,106154.0,0.0,125962.0
44,Selby Jennings,http://www.indeed.com/cmp/Selby-Jennings,0.0,0.0,0.0,179900.0,136100.0,0.0,158000.0
45,Diversity Search,http://www.indeed.com/cmp/Diversity-Search,0.0,0.0,0.0,148700.0,107800.0,0.0,128250.0
46,Ezra Penland Actuarial Recruitment,http://www.indeed.com/cmp/Ezra-Penland-Actuarial-Recruitment,0.0,0.0,0.0,0.0,0.0,0.0,132755.0
47,ONESource Technical,http://www.indeed.com/cmp/Onesource-Technical,0.0,0.0,0.0,163659.0,107805.0,0.0,135732.0
48,MMS Group,http://www.indeed.com/cmp/Mms-Group,0.0,0.0,0.0,162073.0,105854.0,0.0,133963.0
49,Kforce,http://www.indeed.com/cmp/Kforce,95.0,95.0,0.0,134444.0,121528.0,0.0,127986.0
50,Progressive Recruitment,http://www.indeed.com/cmp/Progressive-Recruitment,130.0,0.0,0.0,0.0,0.0,0.0,130000.0
51,fulltimeGiGS,http://www.indeed.com/cmp/Fulltimegigs,0.0,0.0,0.0,138438.0,99375.0,0.0,118906.0
52,The Bivium Group,http://www.indeed.com/cmp/The-Bivium-Group,0.0,0.0,0.0,133333.0,87667.0,0.0,110500.0
53,Hirewell,http://www.indeed.com/cmp/Hirewell,0.0,0.0,0.0,0.0,0.0,0.0,135000.0
54,Request Technology-Robyn Honquest,http://www.indeed.com/cmp/Request-Technology--robyn-Honquest,0.0,0.0,0.0,123704.0,95926.0,0.0,109815.0
55,Burtch Works,http://www.indeed.com/cmp/Burtch-Works,0.0,0.0,0.0,135833.0,130000.0,0.0,132917.0
56,Request Technology-Craig Johnson,http://www.indeed.com/cmp/Request-Technology--craig-Johnson,0.0,0.0,0.0,123913.0,105652.0,0.0,114783.0
57,Selby Jennings Technology,http://www.indeed.com/cmp/Selby-Jennings-Technology,0.0,0.0,0.0,195714.0,150000.0,0.0,172857.0
58,MCG Health System,http://www.indeed.com/cmp/Mcg-Health-System,0.0,0.0,0.0,0.0,0.0,0.0,120000.0
59,Randstad,http://www.indeed.com/cmp/Randstad,98.16,0.0,0.0,146339.0,95742.0,0.0,118367.0
60,BeecherMadden,http://www.indeed.com/cmp/Beechermadden,0.0,0.0,0.0,136042.0,129701.0,0.0,132834.0
61,Gables Search Group,http://www.indeed.com/cmp/Gables-Search-Group,0.0,0.0,0.0,154304.0,128995.0,0.0,141084.0
62,Request Technology-Craig Johnson,http://www.indeed.com/cmp/Request-Technology--craig-Johnson,0.0,0.0,0.0,131967.0,98958.0,0.0,114277.0
63,Smith & Keller,http://www.indeed.com/cmp/Smith-&-Keller,0.0,0.0,0.0,162830.0,106067.0,0.0,131419.0
64,Lawrence Harvey,http://www.indeed.com/cmp/Lawrence-Harvey,0.0,0.0,0.0,234230.0,123692.0,0.0,170213.0
65,NORTH STAR,http://www.indeed.com/cmp/North-Star,0.0,0.0,0.0,212762.0,169725.0,0.0,190029.0
66,Opus Recruitment Solutions Ltd,http://www.indeed.com/cmp/Opus-Recruitment-Solutions-Ltd,0.0,0.0,0.0,223372.0,76553.0,0.0,130767.0
67,Nigel Frank International,http://www.indeed.com/cmp/Nigel-Frank-International,0.0,77.61,0.0,180483.0,127553.0,0.0,151727.0
68,Hirewell,http://www.indeed.com/cmp/Hirewell,0.0,0.0,0.0,154494.0,118124.0,0.0,135090.0
69,Zachary Piper,http://www.indeed.com/cmp/Zachary-Piper,0.0,0.0,0.0,264770.0,149121.0,0.0,198702.0
70,"V Dart, Inc.","http://www.indeed.com/cmp/V-Dart,-Inc.",73.11,0.0,0.0,0.0,0.0,0.0,0.0
71,Rinalytics Advisors,http://www.indeed.com/cmp/Rinalytics-Advisors,0.0,0.0,0.0,239053.0,126062.0,0.0,173596.0
72,Request Technology-Stephanie Baker,http://www.indeed.com/cmp/Request-Technology--stephanie-Baker,0.0,0.0,0.0,129771.0,88155.0,0.0,106958.0
73,Request Technology-Anthony Honquest,http://www.indeed.com/cmp/Request-Technology--anthony-Honquest,0.0,0.0,0.0,134687.0,96548.0,0.0,114034.0
74,Betts Search Group,http://www.indeed.com/cmp/Betts-Search-Group,0.0,0.0,0.0,158229.0,100325.0,0.0,125994.0
75,Mindbank,http://www.indeed.com/cmp/Mindbank,0.0,0.0,0.0,149055.0,121398.0,0.0,134518.0
76,Oracle Recruiting,http://www.indeed.com/cmp/Oracle-Recruiting,0.0,0.0,0.0,158229.0,100325.0,0.0,125994.0
77,Experis,http://www.indeed.com/cmp/Experis,0.0,39.04,0.0,0.0,0.0,0.0,0.0
78,Selby Jennings Buyside,http://www.indeed.com/cmp/Selby-Jennings-Buyside,0.0,0.0,0.0,184958.0,137522.0,0.0,159486.0
79,Gables Search Group,http://www.indeed.com/cmp/Gables-Search-Group,0.0,0.0,0.0,0.0,0.0,0.0,140833.0
80,Rinalytics Advisors,http://www.indeed.com/cmp/Rinalytics-Advisors,0.0,0.0,0.0,0.0,0.0,0.0,175833.0
81,The Big Game Hunter,http://www.indeed.com/cmp/The-Big-Game-Hunter,0.0,0.0,0.0,142500.0,115000.0,0.0,128750.0
82,VOLT,http://www.indeed.com/cmp/Volt,0.0,62.69,0.0,140000.0,120000.0,0.0,130000.0
83,Computer Futures Solutions,http://www.indeed.com/cmp/Computer-Futures-Solutions,0.0,0.0,0.0,136000.0,118000.0,0.0,127000.0
84,BeecherMadden,http://www.indeed.com/cmp/Beechermadden,0.0,0.0,0.0,0.0,0.0,0.0,133000.0
85,GMS Advisors,http://www.indeed.com/cmp/Gms-Advisors,0.0,0.0,0.0,0.0,0.0,0.0,231000.0
86,PeopleStaff,http://www.indeed.com/cmp/Peoplestaff,0.0,0.0,0.0,223333.0,115556.0,0.0,169444.0
87,"ANDOVER RESEARCH, LTD","http://www.indeed.com/cmp/Andover-Research,-Ltd",0.0,0.0,0.0,119444.0,80556.0,0.0,100000.0
88,Ninjob | Employment Marketing,http://www.indeed.com/cmp/Ninjob-Employment-Marketing,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
89,Cameron Craig Group,http://www.indeed.com/cmp/Cameron-Craig-Group,0.0,0.0,0.0,0.0,0.0,0.0,128333.0
90,IQ NOT FOR PROFIT,http://www.indeed.com/cmp/Iq-Not-For-Profit,0.0,0.0,0.0,171875.0,93750.0,0.0,132812.0
91,Apex Systems,http://www.indeed.com/cmp/Apex-Systems,0.0,26.0,0.0,162500.0,147500.0,0.0,155000.0
92,Snohomish County PUD,http://www.indeed.com/cmp/Snohomish-County-Pud,0.0,0.0,0.0,0.0,0.0,0.0,117000.0
93,Opus Recruitment Solutions Ltd,http://www.indeed.com/cmp/Opus-Recruitment-Solutions-Ltd,0.0,0.0,0.0,168333.0,85000.0,0.0,126667.0
94,The Talent Solution,http://www.indeed.com/cmp/The-Talent-Solution,0.0,0.0,0.0,150000.0,145000.0,0.0,147500.0
95,University of Virginia Health System,http://www.indeed.com/cmp/University-of-Virginia-Health-System,0.0,0.0,0.0,127161.0,79474.0,0.0,103318.0
96,Zachary Piper,http://www.indeed.com/cmp/Zachary-Piper,0.0,0.0,0.0,243750.0,168750.0,0.0,206250.0
97,Experis,http://www.indeed.com/cmp/Experis,0.0,41.64,0.0,0.0,0.0,0.0,0.0
98,Ascendo Resources,http://www.indeed.com/cmp/Ascendo-Resources,0.0,0.0,0.0,190000.0,112857.0,0.0,151429.0
99,Lawrence Harvey IT & Change,http://www.indeed.com/cmp/Lawrence-Harvey-IT-&-Change,0.0,0.0,0.0,99533.0,93052.0,0.0,96292.0
100,All In Analytics,http://www.indeed.com/cmp/All-in-Analytics,0.0,0.0,0.0,0.0,0.0,0.0,141429.0
101,ZenDrive,http://www.indeed.com/cmp/Zendrive,0.0,0.0,0.0,108571.0,100000.0,0.0,104286.0
102,nsa,http://www.indeed.com/cmp/NSA,0.0,0.0,0.0,105362.0,73170.0,0.0,89266.0
103,CPS Recruitment,http://www.indeed.com/cmp/CPS-Recruitment,0.0,0.0,0.0,231429.0,114286.0,0.0,172857.0
104,Chipton Ross,http://www.indeed.com/cmp/Chipton-Ross,0.0,34.06,0.0,0.0,0.0,0.0,0.0
105,State Street Corporation.,http://www.indeed.com/cmp/State-Street-Corporation.,0.0,0.0,0.0,114286.0,100000.0,0.0,107143.0
106,iKas International,http://www.indeed.com/cmp/Ikas-International,0.0,0.0,0.0,160000.0,140000.0,0.0,150000.0
107,American Express,http://www.indeed.com/cmp/American-Express,0.0,0.0,0.0,200000.0,183333.0,0.0,191667.0
108,Selby Jennings Buyside,http://www.indeed.com/cmp/Selby-Jennings-Buyside,0.0,0.0,0.0,178333.0,143333.0,0.0,160833.0
109,Principle Solutions Group,http://www.indeed.com/cmp/Principle-Solutions-Group,0.0,85.0,0.0,134000.0,100000.0,0.0,117000.0
110,"Benton Search Assoc., Inc.","http://www.indeed.com/cmp/Benton-Search-Assoc.,-Inc.",0.0,0.0,0.0,103333.0,96667.0,0.0,100000.0
111,"Phil Ellis Associates, Inc","http://www.indeed.com/cmp/Phil-Ellis-Associates,-Inc",0.0,0.0,0.0,245000.0,115000.0,0.0,180000.0
112,"Mindbank Consulting Group, LLC","http://www.indeed.com/cmp/Mindbank-Consulting-Group,-LLC",0.0,0.0,0.0,0.0,0.0,0.0,137667.0
113,NORTH STAR,http://www.indeed.com/cmp/North-Star,0.0,0.0,0.0,183333.0,173333.0,0.0,178333.0
114,Andex,http://www.indeed.com/cmp/Andex,0.0,0.0,0.0,0.0,0.0,0.0,138000.0
115,The Centrics Group,http://www.indeed.com/cmp/The-Centrics-Group,0.0,100.0,0.0,0.0,0.0,0.0,120000.0
116,Unifyze,http://www.indeed.com/cmp/Unifyze,0.0,0.0,0.0,183333.0,76667.0,0.0,130000.0
