,comp_name,comp_rating_overall,comp_review_link,review_cons,review_pros,review_summary,review_votes
0,Salesforce,4.3,http://www.indeed.com/cmp/Salesforce/reviews,,,"Great company, awesome culture!",3
1,"Measured Progress, Inc.",4.0,"http://www.indeed.com/cmp/Measured-Progress,-Inc./reviews",Deadlines,"Benefits, staff, and overall atmosphere",Wonderful people and good benefits,0
2,BOEING,4.1,http://www.indeed.com/cmp/Boeing/reviews,,,PRODUCTIVE AND FUN WORKING,4
3,Home Depot,3.8,http://www.indeed.com/cmp/Home-Depot/reviews,,,Special Services/Book Keeping,5
4,"MacAulay-Brown, Inc.",4.0,"http://www.indeed.com/cmp/Macaulay--brown,-Inc./reviews",Information sharing between business units,Corporate leadership,Good company to work for,0
5,Excel Partners,3.8,http://www.indeed.com/cmp/Excel-Partners/reviews,N/a,n/a,Former Kimberly Clark,2
6,Kelly Services,3.9,http://www.indeed.com/cmp/Kelly-Services/reviews,"benefits, pay",got my foot in the door.,Temp Job,8
7,CyberCoders,3.3,http://www.indeed.com/cmp/Cybercoders/reviews,,great benefits and great work environment,Ran a full desk for technical staffing,20
8,Meetup,4.5,http://www.indeed.com/cmp/Meetup/reviews,shifts in management,"wonderful people, feel-good mission","Great culture, great mission, and a 12 year work in progress",0
9,Bank of America,3.9,http://www.indeed.com/cmp/Bank-of-America/reviews,Neglected the Right Approach For Home Retention and Foreclosure Metigations,Good Certifications and Training,Management style at Satellite Office was Very Poor,0
10,MD Anderson Cancer Center,4.2,http://www.indeed.com/cmp/Md-Anderson-Cancer-Center/reviews,,,Great,3
11,Medtronic,4.0,http://www.indeed.com/cmp/Medtronic/reviews,sometimes employees requests are not heard,reward lunches after a great quarter of the year,very great workplace environment,3
12,Becton Dickinson & Company,4.0,http://www.indeed.com/cmp/Becton-Dickinson-&-Company-(bd)/reviews,Create friendly atmosphere in work place to get more productivities.,Reconised my coworkers timely for their hard work with do it award,Do audit everything before start the packaging of 3rd party productions.,1
13,T. Rowe Price,4.0,http://www.indeed.com/cmp/T.-Rowe-Price/reviews,,,Good place to start,2
14,Mars,4.0,http://www.indeed.com/cmp/Mars/reviews,I have not gotten any yet.,Associate Angagement,Best place to work!!!,7
15,FM Global,4.0,http://www.indeed.com/cmp/Fm-Global/reviews,favoritism,"flexible schedule, co-workers",Consultant Runoff Operations,1
16,Brigham & Women's Hospital(BWH),4.2,http://www.indeed.com/cmp/Brigham-and-Women's-Hospital-(bwh)/reviews,No parking,,Great place to work.,0
17,Baxter,4.0,http://www.indeed.com/cmp/Baxter-Healthcare/reviews,,everything,Great place,5
18,Department of the Navy,4.5,http://www.indeed.com/cmp/U.S.-Navy/reviews,Policy,Integrity,Brotherhood,0
19,Ascent Services Group,4.0,http://www.indeed.com/cmp/Ascent-Services-Group/reviews,,,Staffing Firm,6
20,Fred Hutchinson Cancer Research Center,4.3,http://www.indeed.com/cmp/Fred-Hutchinson-Cancer-Research-Center/reviews,,,A good working place with a lot of core labs.  FHCRC located at a very beautiful water front setting.,1
21,VMware,4.0,http://www.indeed.com/cmp/Vmware/reviews,None,Fully stocked kitchen and meals provided.,VMWare,0
22,Thermo Fisher Scientific,3.6,http://www.indeed.com/cmp/Thermo-Fisher-Scientific/reviews,,benifits and the work area,great place to work,3
23,Orbital ATK,3.3,http://www.indeed.com/cmp/Orbital-Atk/reviews,,,"Very interesting work, great variety, challenging yet rewarding",0
24,Henry Ford Health System,3.9,http://www.indeed.com/cmp/Henry-Ford-Health-System/reviews,Short staffed,"Benefits, teamwork","great people, benefits, and care",1
