"X","benefit_rating","comp_name","culture_rating","job_link","job_location","job_posted","job_title","jsecurity_rating","mgmt_rating","overall_link","overall_rating","wl_bal_rating"
1,4.1,"Salesforce",4.3,"http://www.indeed.com/rc/clk?jk=8240b4af72d01c71","San Francisco, CA","Just posted","2016 Summer Intern - Data Science Engineering",3,3.7,"http://www.indeed.com/cmp/Salesforce?from=SERP&campaignid=serp-linkcompanyname&jk=8240b4af72d01c71&jcid=4027cfd917e1ee29",4.3,4.1
2,4.5,"Measured Progress, Inc.",4,"http://www.indeed.com/rc/clk?jk=16502fe313ecec34","Dover, NH 03820","Just posted","Statistical Analyst I",3,3.5,"http://www.indeed.com/cmp/Measured-Progress,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=16502fe313ecec34&jcid=6a8d5c50a6edc6d2",4,4
4,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=67b2361599f46354","Kirtland AFB, NM","Just posted","Electrophysics Engineer/Scientist Level 5",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=67b2361599f46354&jcid=edae4285faf6c2f0",4.1,3.9
5,3.5,"Home Depot",3.7,"http://www.indeed.com/rc/clk?jk=5f81f62d42f09905","Atlanta, GA 30301 (Buckhead area)","Just posted","Data Analyst Supply Chain",3,3.3,"http://www.indeed.com/cmp/Home-Depot?from=SERP&campaignid=serp-linkcompanyname&jk=5f81f62d42f09905&jcid=16ef23d67d728b35",3.8,3.5
7,4,"MacAulay-Brown, Inc.",2,"http://www.indeed.com/rc/clk?jk=ac9bd4d63ce0a61e","Fairfax, VA","Just posted","Mid-Level Research Analyst",3,3,"http://www.indeed.com/cmp/Macaulay--brown,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=ac9bd4d63ce0a61e&jcid=b253b564901b80b5",4,3
8,2.9,"Excel Partners",3.5,"http://www.indeed.com/rc/clk?jk=d66e57f931ef69c8","Stamford, CT 06905 (Turn Of River area)","Just posted","Investment/Quantitative Analyst",3,3.4,"http://www.indeed.com/cmp/Excel-Partners?from=SERP&campaignid=serp-linkcompanyname&jk=d66e57f931ef69c8&jcid=105e79783f0734c3",3.8,3.9
9,4,"MacAulay-Brown, Inc.",2,"http://www.indeed.com/rc/clk?jk=8f7a33da61fc8dab","Springfield, VA","Just posted","Imagery Scientist (Junior and Senior Level)",3,3,"http://www.indeed.com/cmp/Macaulay--brown,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=8f7a33da61fc8dab&jcid=b253b564901b80b5",4,3
10,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=692fd354cbcfa7b4","St. Louis, MO","Just posted","Strategy Analyst Manager L",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=692fd354cbcfa7b4&jcid=edae4285faf6c2f0",4.1,3.9
11,3.2,"Kelly Services",3.6,"http://www.indeed.com/rc/clk?jk=5559464e0123ae58","Plainville, CT 06062","Just posted","Test Engineer",3,3.5,"http://www.indeed.com/cmp/Kelly-Services?from=SERP&campaignid=serp-linkcompanyname&jk=5559464e0123ae58&jcid=26a0583287ba1940",3.9,3.7
12,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=b1376b21a74215e0","Huntsville, AL","Just posted","System Integration Insptr Sr",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=b1376b21a74215e0&jcid=edae4285faf6c2f0",4.1,3.9
13,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=82facef6f3ca2198","St. Louis, MO","Just posted","IT Project Manager 2/3",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=82facef6f3ca2198&jcid=edae4285faf6c2f0",4.1,3.9
14,4.5,"Measured Progress, Inc.",4,"http://www.indeed.com/rc/clk?jk=1ae546c502e14612","Dover, NH 03820","Just posted","Psychometrician / Research Scientist",3,3.5,"http://www.indeed.com/cmp/Measured-Progress,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=1ae546c502e14612&jcid=6a8d5c50a6edc6d2",4,4
