"X","benefit_rating","comp_name","culture_rating","job_link","job_location","job_posted","job_title","jsecurity_rating","mgmt_rating","overall_link","overall_rating","wl_bal_rating"
15,3.5,"Home Depot",3.7,"http://www.indeed.com/rc/clk?jk=50ae3a81d4afa984","Atlanta, GA 30301 (Buckhead area)","Just posted","SR DATA ANALYST SUPPLY CHAIN",3,3.3,"http://www.indeed.com/cmp/Home-Depot?from=SERP&campaignid=serp-linkcompanyname&jk=50ae3a81d4afa984&jcid=16ef23d67d728b35",3.8,3.5
16,4.5,"Measured Progress, Inc.",4,"http://www.indeed.com/rc/clk?jk=4132d252efc6fd7c","Dover, NH 03820","Just posted","Psychometrician/Research Scientist - Senior",3,3.5,"http://www.indeed.com/cmp/Measured-Progress,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=4132d252efc6fd7c&jcid=6a8d5c50a6edc6d2",4,4
17,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=6aaf475c54d0d8b2","Oklahoma City, OK","Just posted","Electrical Parts, Materials and Processes Engineer Level 1/2",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=6aaf475c54d0d8b2&jcid=edae4285faf6c2f0",4.1,3.9
18,4.2,"BOEING",3.8,"http://www.indeed.com/rc/clk?jk=0b9d0f4f8cfc8830","Huntington Beach, CA 92647","Just posted","Systems Engineer Lead (Level 4 or 5)",3,3.5,"http://www.indeed.com/cmp/Boeing?from=SERP&campaignid=serp-linkcompanyname&jk=0b9d0f4f8cfc8830&jcid=edae4285faf6c2f0",4.1,3.9
19,3.2,"Kelly Services",3.6,"http://www.indeed.com/rc/clk?jk=29cb44e1c03b7ba8","Germantown, WI 53022","Just posted","SE34 - Research Associate",3,3.5,"http://www.indeed.com/cmp/Kelly-Services?from=SERP&campaignid=serp-linkcompanyname&jk=29cb44e1c03b7ba8&jcid=26a0583287ba1940",3.9,3.7
22,3.7,"CyberCoders",4.1,"http://www.indeed.com/rc/clk?jk=2fccb75b59627610","Carlsbad, CA 92008","Just posted","Field Applications Spcientist- Cytometry Flow - flow cytomet",3,4,"http://www.indeed.com/cmp/Cybercoders?from=SERP&campaignid=serp-linkcompanyname&jk=2fccb75b59627610&jcid=1baa5ded61092dc7",3.3,3.8
23,4,"Meetup",4,"http://www.indeed.com/rc/clk?jk=70459da85f6facaa","New York, NY 10012 (Little Italy area)","Today","Data Scientist (Reporting & Analytics)",3,4,"http://www.indeed.com/cmp/Meetup?from=SERP&campaignid=serp-linkcompanyname&jk=70459da85f6facaa&jcid=2c6676b98da07f45",4.5,4.5
24,3.9,"Bank of America",3.7,"http://www.indeed.com/rc/clk?jk=24d9c1dd651b23c2","Charlotte, NC","Today","Quantitative Finance Analyst",3,3.4,"http://www.indeed.com/cmp/Bank-of-America?from=SERP&campaignid=serp-linkcompanyname&jk=24d9c1dd651b23c2&jcid=5bd99dfa21c8a490",3.9,3.7
25,4.2,"MD Anderson Cancer Center",4,"http://www.indeed.com/rc/clk?jk=c8544708eb6cf935","Houston, TX","Today","Statistical Analyst",3,3.5,"http://www.indeed.com/cmp/Md-Anderson-Cancer-Center?from=SERP&campaignid=serp-linkcompanyname&jk=c8544708eb6cf935&jcid=ab68ed48b7ae3b5f",4.2,3.9
26,4,"Medtronic",3.8,"http://www.indeed.com/rc/clk?jk=d5c8d9dc03abd34d","Boulder, CO","Today","Summer Intern Clinical Data Analysis & Tool Development",3,3.4,"http://www.indeed.com/cmp/Medtronic?from=SERP&campaignid=serp-linkcompanyname&jk=d5c8d9dc03abd34d&jcid=f06a4d05bf5510ec",4,3.8
27,3.9,"Becton Dickinson & Company",3.7,"http://www.indeed.com/rc/clk?jk=c4e0eff460c9dab7","Franklin Lakes, NJ 07417","Today","Statistician",3,3.5,"http://www.indeed.com/cmp/Becton-Dickinson-&-Company-(bd)?from=SERP&campaignid=serp-linkcompanyname&jk=c4e0eff460c9dab7&jcid=84232ebd0081b955",4,3.7
29,3.8,"T. Rowe Price",3.9,"http://www.indeed.com/rc/clk?jk=040f6bdcaef5ca5d","Baltimore, MD","Today","Quantitative Investment Analyst",3,3.5,"http://www.indeed.com/cmp/T.-Rowe-Price?from=SERP&campaignid=serp-linkcompanyname&jk=040f6bdcaef5ca5d&jcid=65c89b6d6455eedf",4,3.7
30,3.7,"Mars",3.6,"http://www.indeed.com/rc/clk?jk=cdb94f9584980bb4","New York, NY","Today","Business Anthropologist / Organizational Ethnographer",3,3.5,"http://www.indeed.com/cmp/Mars?from=SERP&campaignid=serp-linkcompanyname&jk=cdb94f9584980bb4&jcid=6f49e88f14c18b75",4,3.6
32,3.9,"Bank of America",3.7,"http://www.indeed.com/rc/clk?jk=03d0089a976dee59","Charlotte, NC","Today","Senior Quantitative Finance Analyst",3,3.4,"http://www.indeed.com/cmp/Bank-of-America?from=SERP&campaignid=serp-linkcompanyname&jk=03d0089a976dee59&jcid=5bd99dfa21c8a490",3.9,3.7
33,4.1,"FM Global",3.8,"http://www.indeed.com/rc/clk?jk=f3cd1dabb0821634","Norwood, MA","Today","Sr. Research Scientist Condition Monitoring and Signal Processing",3,3.3,"http://www.indeed.com/cmp/Fm-Global?from=SERP&campaignid=serp-linkcompanyname&jk=f3cd1dabb0821634&jcid=b000a8bfa0ce3df8",4,4
35,3.9,"Becton Dickinson & Company",3.7,"http://www.indeed.com/rc/clk?jk=912f59c0dd55774f","Durham, NC","Today","Staff Scientist, Genomic Sciences",3,3.5,"http://www.indeed.com/cmp/Becton-Dickinson-&-Company-(bd)?from=SERP&campaignid=serp-linkcompanyname&jk=912f59c0dd55774f&jcid=84232ebd0081b955",4,3.7
36,4.1,"Brigham & Women's Hospital(BWH)",4,"http://www.indeed.com/rc/clk?jk=aee10340bab7b38f","Boston, MA","Today","RESEARCH SPECIALIST / 40 HOURS / DAY / BWH - CDNM",3,3.8,"http://www.indeed.com/cmp/Brigham-and-Women's-Hospital-(bwh)?from=SERP&campaignid=serp-linkcompanyname&jk=aee10340bab7b38f&jcid=91247c39682906fc",4.2,4.1
38,3.9,"Baxter",3.8,"http://www.indeed.com/rc/clk?jk=10c8027143ae7ac1","Guayama Municipio, PR","Today","Research Scientist I",3,3.5,"http://www.indeed.com/cmp/Baxter-Healthcare?from=SERP&campaignid=serp-linkcompanyname&jk=10c8027143ae7ac1&jcid=5ac7168011c9ac6e",4,3.8
39,4.5,"Department of the Navy",4.3,"http://www.indeed.com/rc/clk?jk=d91a9bc7bd37ac8c","Point Mugu, CA","Today","Packer (Forklift Operator)",3,4.1,"http://www.indeed.com/cmp/U.S.-Navy?from=SERP&campaignid=serp-linkcompanyname&jk=d91a9bc7bd37ac8c&jcid=e8668ce938922115",4.5,3.8
40,3,"Ascent Services Group",3.7,"http://www.indeed.com/rc/clk?jk=589286a20f42ccb2","Brisbane, CA 94005","Today","Senior Statistical Programmer Analyst",3,3.7,"http://www.indeed.com/cmp/Ascent-Services-Group?from=SERP&campaignid=serp-linkcompanyname&jk=589286a20f42ccb2&jcid=55051b7d98da371e",4,3.7
41,3.9,"Fred Hutchinson Cancer Research Center",4.2,"http://www.indeed.com/rc/clk?jk=cbc38df176357d58","Seattle, WA 98109 (Westlake area)","Today","Staff Scientist Structural Biology and Gene Regulation",3,3.8,"http://www.indeed.com/cmp/Fred-Hutchinson-Cancer-Research-Center?from=SERP&campaignid=serp-linkcompanyname&jk=cbc38df176357d58&jcid=a513e92edbf529af",4.3,4.3
42,4.1,"VMware",3.8,"http://www.indeed.com/rc/clk?jk=503bbe42c7aa76f5","Palo Alto, CA 94301 (Professorville area)","Today","Staff Engineer - CPD",3,3.4,"http://www.indeed.com/cmp/Vmware?from=SERP&campaignid=serp-linkcompanyname&jk=503bbe42c7aa76f5&jcid=c762a27145bd166e",4,3.8
43,4.2,"MD Anderson Cancer Center",4,"http://www.indeed.com/rc/clk?jk=50033bd17e3655f7","Houston, TX","Today","Computational Scientist Immunology",3,3.5,"http://www.indeed.com/cmp/Md-Anderson-Cancer-Center?from=SERP&campaignid=serp-linkcompanyname&jk=50033bd17e3655f7&jcid=ab68ed48b7ae3b5f",4.2,3.9
44,3.5,"Thermo Fisher Scientific",3.4,"http://www.indeed.com/rc/clk?jk=7d247c0c1771e144","San Francisco, CA","Today","Genomics and Bioinformatics Software Engineer",3,3.1,"http://www.indeed.com/cmp/Thermo-Fisher-Scientific?from=SERP&campaignid=serp-linkcompanyname&jk=7d247c0c1771e144&jcid=126e3afd205caa95",3.6,3.4
45,3.7,"Orbital ATK",3,"http://www.indeed.com/rc/clk?jk=64b929ac4b843509","Elkton, MD","Today","Sr. Principal Scientist Job",3,2.8,"http://www.indeed.com/cmp/Orbital-Atk?from=SERP&campaignid=serp-linkcompanyname&jk=64b929ac4b843509&jcid=384eac46d0c2445e",3.3,3.2
46,3.6,"Henry Ford Health System",3.8,"http://www.indeed.com/rc/clk?jk=69df719ca9b780af","Detroit, MI 48202 (New Center area)","Today","Assistant Scientist Job",3,3.4,"http://www.indeed.com/cmp/Henry-Ford-Health-System?from=SERP&campaignid=serp-linkcompanyname&jk=69df719ca9b780af&jcid=fcee73a6346b7a5b",3.9,3.8
47,3.3,"Providence Health & Services",3.1,"http://www.indeed.com/rc/clk?jk=a3167162cb864de3","Portland, OR 97240 (Hosford area)","Today","Medical Technologist",3,2.7,"http://www.indeed.com/cmp/Providence-Health-&-Services?from=SERP&campaignid=serp-linkcompanyname&jk=a3167162cb864de3&jcid=b983e0b562a36362",3.2,3.1
48,3.9,"The University of Texas Medical Branch",3.5,"http://www.indeed.com/rc/clk?jk=4bbe498c73d0551b","Galveston, TX","Today","Senior Biocontainment Veterinarian",3,3,"http://www.indeed.com/cmp/The-University-of-Texas-Medical-Branch?from=SERP&campaignid=serp-linkcompanyname&jk=4bbe498c73d0551b&jcid=7858f63f31820b61",3.5,3.8
49,5,"Benaroya Research Institute",5,"http://www.indeed.com/rc/clk?jk=b7b3588b3b481a05","Seattle, WA 98101 (Downtown area)","Today","Bioinformatician II",3,4,"http://www.indeed.com/cmp/Benaroya-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=b7b3588b3b481a05&jcid=dec9c525c4cd891f",4.7,5
52,3,"Ascent Services Group",3.7,"http://www.indeed.com/rc/clk?jk=c04f9bfcac31c233","San Diego, CA 92122","Today","Scientist/Applied Engineer - Array Development",3,3.7,"http://www.indeed.com/cmp/Ascent-Services-Group?from=SERP&campaignid=serp-linkcompanyname&jk=c04f9bfcac31c233&jcid=55051b7d98da371e",4,3.7
53,4.1,"Department Of Veterans Affairs",3.7,"http://www.indeed.com/rc/clk?jk=03b811ba31a0ac15","Augusta, GA","Today","Medical Technologist",3,3.4,"http://www.indeed.com/cmp/Department-of-Veterans-Affairs?from=SERP&campaignid=serp-linkcompanyname&jk=03b811ba31a0ac15&jcid=eb24c57e72a85c13",4,3.9
54,4.2,"MD Anderson Cancer Center",4,"http://www.indeed.com/rc/clk?jk=88d560634d171369","Houston, TX","Today","Clinical Cell Therapy Spec",3,3.5,"http://www.indeed.com/cmp/Md-Anderson-Cancer-Center?from=SERP&campaignid=serp-linkcompanyname&jk=88d560634d171369&jcid=ab68ed48b7ae3b5f",4.2,3.9
55,4.1,"Department Of Veterans Affairs",3.7,"http://www.indeed.com/rc/clk?jk=8bb7956e185e265c","Palo Alto, CA","Today","Medical Technologist (Microbiology)",3,3.4,"http://www.indeed.com/cmp/Department-of-Veterans-Affairs?from=SERP&campaignid=serp-linkcompanyname&jk=8bb7956e185e265c&jcid=eb24c57e72a85c13",4,3.9
56,3,"Florida Hospital- Adventist Health System",3,"http://www.indeed.com/rc/clk?jk=92bc7c517b7367d9","Orlando, FL","Today","Clinical Scientist II - Cellular Therapy - Orlando",3,2.5,"http://www.indeed.com/cmp/Florida-Hospital---Adventist-Health-System?from=SERP&campaignid=serp-linkcompanyname&jk=92bc7c517b7367d9&jcid=a5cf8a7031e3ef13",3.2,2.8
58,4.2,"DreamWorks Animation",4.3,"http://www.indeed.com/rc/clk?jk=08ed3c06b63a2e13","New York, NY","Today","ATV Sr. Analyst Digital Research & Analytics",3,3.8,"http://www.indeed.com/cmp/Dreamworks-Animation?from=SERP&campaignid=serp-linkcompanyname&jk=08ed3c06b63a2e13&jcid=0c8e8d603a41121d",4.4,4.5
60,3.7,"Emdeon",3.3,"http://www.indeed.com/rc/clk?jk=9784742e87f93735","Illinois","Today","Statistical Data Specialist",3,3.1,"http://www.indeed.com/cmp/Emdeon?from=SERP&campaignid=serp-linkcompanyname&jk=9784742e87f93735&jcid=295532121aab5fc5",3.4,3.4
63,4.1,"Southwest Research Institute",4.4,"http://www.indeed.com/rc/clk?jk=265ca3e9f819c004","San Antonio, TX 78238","Today","SR. SAFETY SCIENTIST – HEALTH AND SAFETY",3,4,"http://www.indeed.com/cmp/Southwest-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=265ca3e9f819c004&jcid=0d9a7400c0a8fdec",4.4,4.3
64,3.9,"Booz Allen",3.7,"http://www.indeed.com/rc/clk?jk=3884189848cc7ed5","Rockville, MD","Today","Lead Data Scientist Job",3,3.4,"http://www.indeed.com/cmp/Booz-Allen-Hamilton?from=SERP&campaignid=serp-linkcompanyname&jk=3884189848cc7ed5&jcid=1ebae67ab1d6224c",3.9,3.8
65,3.9,"Booz Allen",3.7,"http://www.indeed.com/rc/clk?jk=ab7fac77ca216e51","Annapolis Junction, MD","Today","Data Scientist Job",3,3.4,"http://www.indeed.com/cmp/Booz-Allen-Hamilton?from=SERP&campaignid=serp-linkcompanyname&jk=ab7fac77ca216e51&jcid=1ebae67ab1d6224c",3.9,3.8
68,3.6,"Elevate",3.4,"http://www.indeed.com/rc/clk?jk=4e4eda9d2d391510","Dallas, TX","Today","Sr. Data Scientist",3,3.1,"http://www.indeed.com/cmp/Elevate?from=SERP&campaignid=serp-linkcompanyname&jk=4e4eda9d2d391510&jcid=af1cddf54cb21355",3.6,3.4
69,4.3,"Keysight Technologies",4.3,"http://www.indeed.com/rc/clk?jk=a84c17b50c5b53db","Santa Clara, CA","Today","Computer Science Researcher",3,3.9,"http://www.indeed.com/cmp/Keysight-Technologies?from=SERP&campaignid=serp-linkcompanyname&jk=a84c17b50c5b53db&jcid=d4e08f7385ee85a4",4.1,4.6
72,3.6,"Hart",3.7,"http://www.indeed.com/rc/clk?jk=5482233af1eae907","Thousand Oaks, CA","Today","Process Engineer / Scientist II",3,3.5,"http://www.indeed.com/cmp/Hart?from=SERP&campaignid=serp-linkcompanyname&jk=5482233af1eae907&jcid=57f80814abc46766",3.9,4
73,3.8,"Peach State Health Plan",2.7,"http://www.indeed.com/rc/clk?jk=bb7ac5ad1e52a64e","Smyrna, GA","Today","Senior Contract Implementation Analyst(Strong Data Analysis)",3,2.9,"http://www.indeed.com/cmp/Peach-State-Health-Plan?from=SERP&campaignid=serp-linkcompanyname&jk=bb7ac5ad1e52a64e&jcid=4877c72a837cb7c2",3.2,3.2
74,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=e07a70df97bea336","Des Plaines, IL","Today","Sr Clinical Data Analyst Job Description",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=e07a70df97bea336&jcid=9d4986a32b91524f",3,3
75,3.9,"Booz Allen",3.7,"http://www.indeed.com/rc/clk?jk=d9e3ef6ba2586859","Alexandria, VA","Today","Operations Research Analyst Job",3,3.4,"http://www.indeed.com/cmp/Booz-Allen-Hamilton?from=SERP&campaignid=serp-linkcompanyname&jk=d9e3ef6ba2586859&jcid=1ebae67ab1d6224c",3.9,3.8
77,3.9,"Booz Allen",3.7,"http://www.indeed.com/rc/clk?jk=9051d3b71469ecf8","Washington, DC","Today","Operations Research Analyst Lead Job",3,3.4,"http://www.indeed.com/cmp/Booz-Allen-Hamilton?from=SERP&campaignid=serp-linkcompanyname&jk=9051d3b71469ecf8&jcid=1ebae67ab1d6224c",3.9,3.8
78,3,"NYC & Company",5,"http://www.indeed.com/rc/clk?jk=ec6396c23f46adf0","New York, NY","Today","Research Analyst",3,3,"http://www.indeed.com/cmp/Nyc-&-Company?from=SERP&campaignid=serp-linkcompanyname&jk=ec6396c23f46adf0&jcid=b73483f321dfb9cd",4.7,4
79,3.7,"St. Vincent Health",3.5,"http://www.indeed.com/rc/clk?jk=a4566b3c6c1d9afa","Indianapolis, IN","Today","Analyst-Planning and Research / St Vincent Health Admin / FT Days",3,3,"http://www.indeed.com/cmp/St.-Vincent-Health?from=SERP&campaignid=serp-linkcompanyname&jk=a4566b3c6c1d9afa&jcid=21774bdaa5dc9098",3.7,3.8
81,4.1,"Southwest Research Institute",4.4,"http://www.indeed.com/rc/clk?jk=f25a945bdb18cbbd","San Antonio, TX 78238","Today","ANALYST - RESEARCH ANALYST – INTELLIGENT SYSTEMS",3,4,"http://www.indeed.com/cmp/Southwest-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=f25a945bdb18cbbd&jcid=0d9a7400c0a8fdec",4.4,4.3
83,3.7,"Boston University",4,"http://www.indeed.com/rc/clk?jk=38a54ce98de8ed54","Boston, MA 02215 (Fenway-Kenmore area)","Today","AWARD ANALYST, Research Operations, Systems & Analytics",3,3.6,"http://www.indeed.com/cmp/Boston-University?from=SERP&campaignid=serp-linkcompanyname&jk=38a54ce98de8ed54&jcid=2e7c6e6217aa02b5",4.1,4
84,4.1,"Southwest Research Institute",4.4,"http://www.indeed.com/rc/clk?jk=72f6425fceb9a33f","San Antonio, TX 78238","Today","ANALYST - ENGINEER - RESEARCH ENGINEER - EMBEDDED SYSTEMS",3,4,"http://www.indeed.com/cmp/Southwest-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=72f6425fceb9a33f&jcid=0d9a7400c0a8fdec",4.4,4.3
85,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=0b75ac7735496e74","Minneapolis, MN","Today","Scientist I",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=0b75ac7735496e74&jcid=9d4986a32b91524f",3,3
86,3.7,"MedImmune",3.3,"http://www.indeed.com/rc/clk?jk=409b2fd8723f68ad","Gaithersburg, MD 20878","Today","Scientist II, Analytical Sciences",3,3.1,"http://www.indeed.com/cmp/Medimmune,-Inc.?from=SERP&campaignid=serp-linkcompanyname&jk=409b2fd8723f68ad&jcid=23b9a517ff55b9c7",3.6,3.4
87,4.1,"Southwest Research Institute",4.4,"http://www.indeed.com/rc/clk?jk=262b315ce180415f","San Antonio, TX 78238","Today","RESEARCH ANALYST - SYSTEMS ANALYST - NETWORK SUPPORT",3,4,"http://www.indeed.com/cmp/Southwest-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=262b315ce180415f&jcid=0d9a7400c0a8fdec",4.4,4.3
88,3.6,"QIAGEN",3.4,"http://www.indeed.com/rc/clk?jk=a15d44b35f5901bc","Waltham, MA","Today","Senior Scientist, NGS - MDX",3,3.2,"http://www.indeed.com/cmp/Qiagen?from=SERP&campaignid=serp-linkcompanyname&jk=a15d44b35f5901bc&jcid=58e44ef0852f1a0d",3.7,3.6
89,3.9,"Amec Foster Wheeler",3.7,"http://www.indeed.com/rc/clk?jk=5bf2795202a96ad2","San Diego, CA","Today","Environmental Engineer, Geologist, Hydrogeologist or Scientist",3,3.5,"http://www.indeed.com/cmp/Amec-Foster-Wheeler?from=SERP&campaignid=serp-linkcompanyname&jk=5bf2795202a96ad2&jcid=9135c6b5ef81e9b4",3.9,3.9
90,3.7,"University of Alaska",4,"http://www.indeed.com/rc/clk?jk=72bb72bd0067f264","Fairbanks, AK","Today","Research Technician 3",3,3.4,"http://www.indeed.com/cmp/University-of-Alaska?from=SERP&campaignid=serp-linkcompanyname&jk=72bb72bd0067f264&jcid=494f2a1e40a826b6",4.3,4.2
91,3.6,"University of Rhode Island",3.9,"http://www.indeed.com/rc/clk?jk=99939eb87a1a61e3","Kingston, RI 02881","Today","Specialist I, Education (GEMS-NET Project)",3,4,"http://www.indeed.com/cmp/University-of-Rhode-Island?from=SERP&campaignid=serp-linkcompanyname&jk=99939eb87a1a61e3&jcid=3bb6e8e127a2ab52",4.1,4.2
92,4,"NYU Langone Medical Center",3.9,"http://www.indeed.com/rc/clk?jk=73787b5244400109","New York, NY","Today","Program Associate",3,3.5,"http://www.indeed.com/cmp/Nyu-Langone-Medical-Center?from=SERP&campaignid=serp-linkcompanyname&jk=73787b5244400109&jcid=a259fc86b1470609",4.1,3.9
94,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=7a99d70c4747ea5e","Pleasanton, CA","Today","Scientist II/Sr. Scientist",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=7a99d70c4747ea5e&jcid=9d4986a32b91524f",3,3
95,4,"NYU Langone Medical Center",3.9,"http://www.indeed.com/rc/clk?jk=7e2c3bf121f4a00e","New York, NY","Today","Administrative Assistant",3,3.5,"http://www.indeed.com/cmp/Nyu-Langone-Medical-Center?from=SERP&campaignid=serp-linkcompanyname&jk=7e2c3bf121f4a00e&jcid=a259fc86b1470609",4.1,3.9
96,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=737c68cc7884a00e","Framingham, MA","Today","Research Genomics/Informatics Scientist Contractor",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=737c68cc7884a00e&jcid=9d4986a32b91524f",3,3
98,4.4,"Sandia National Laboratories",4.3,"http://www.indeed.com/rc/clk?jk=0d1dd7662620bd4c","Albuquerque, NM","Today","R&D, Cognitive Systems (Senior or Principal)",3,3.8,"http://www.indeed.com/cmp/Sandia-National-Laboratories?from=SERP&campaignid=serp-linkcompanyname&jk=0d1dd7662620bd4c&jcid=6153cf878ee73d92",4.5,4.6
99,4.4,"Sandia National Laboratories",4.3,"http://www.indeed.com/rc/clk?jk=b85513834ed577da","Albuquerque, NM","Today","Postdoctoral Appointee - Computational Science and Engineering",3,3.8,"http://www.indeed.com/cmp/Sandia-National-Laboratories?from=SERP&campaignid=serp-linkcompanyname&jk=b85513834ed577da&jcid=6153cf878ee73d92",4.5,4.6
100,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=cc98782ba098e3ad","Carlsbad, CA","Today","Research Scientist I/II - Immunoassay Systems",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=cc98782ba098e3ad&jcid=9d4986a32b91524f",3,3
101,4.1,"Southwest Research Institute",4.4,"http://www.indeed.com/rc/clk?jk=fd3031129078c026","San Antonio, TX 78238","Today","ANALYST - RESEARCH ANALYST - EMBEDDED SOFTWARE",3,4,"http://www.indeed.com/cmp/Southwest-Research-Institute?from=SERP&campaignid=serp-linkcompanyname&jk=fd3031129078c026&jcid=0d9a7400c0a8fdec",4.4,4.3
103,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=a68ed28579982752","Gaithersburg, MD","Today","Research Associate II / Associate Scientist I",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=a68ed28579982752&jcid=9d4986a32b91524f",3,3
104,3,"Planet Pharma",3,"http://www.indeed.com/rc/clk?jk=d656f851ceed2b73","Chicago, IL","Today","Scientist III/Senior Scientist, Mass Spectrometry,",3,3,"http://www.indeed.com/cmp/Planet-Pharma?from=SERP&campaignid=serp-linkcompanyname&jk=d656f851ceed2b73&jcid=9d4986a32b91524f",3,3
