ID,PredictedProb
0,0.179483
1,0.839959
2,0.743848
7,0.594106
10,0.778141
11,0.650284
13,0.957952
14,0.662999
15,0.927184
16,0.855737
17,0.720967
18,0.829191
19,0.957313
20,0.844206
25,0.843416
26,0.856792
29,0.893844
38,0.968982
41,0.946058
44,0.494083
45,0.360693
47,0.471018
48,0.615782
49,0.861153
50,0.858152
53,0.571872
56,0.574714
59,0.856635
60,0.712743
64,0.814528
65,0.981197
66,0.824643
68,0.891554
69,0.663401
70,0.948678
71,0.817127
72,0.634172
76,0.852771
80,0.750504
82,0.768983
83,0.95793
85,0.887644
86,0.781374
87,0.699469
89,0.832665
97,0.82298
99,0.638393
101,0.766322
102,0.241955
103,0.536949
104,0.453794
106,0.966265
107,0.6393
109,0.953496
111,0.369466
113,0.845572
114,0.497935
118,0.866278
119,0.639433
120,0.935331
123,0.742879
128,0.312782
129,0.85838
131,0.953457
133,0.745499
134,0.771335
136,0.930109
137,0.635526
139,0.703678
140,0.865003
142,0.704817
144,0.879101
146,0.883533
147,0.804663
148,0.894677
150,0.226957
151,0.164394
152,0.962252
155,0.971743
158,0.896835
159,0.591064
160,0.967176
161,0.707957
165,0.917789
166,0.497475
170,0.927886
171,0.745759
174,0.702316
175,0.827342
179,0.762825
180,0.89986
181,0.829958
184,0.653984
185,0.52453
187,0.812926
188,0.809973
190,0.809382
191,0.812327
192,0.604033
193,0.895512
196,0.859566
197,0.61727
198,0.695088
205,0.0617254
211,0.882595
213,0.741408
214,0.832671
217,0.492072
218,0.786976
221,0.759884
222,0.611415
225,0.819355
229,0.519117
236,0.653627
237,0.922653
238,0.787757
239,0.959579
242,0.679821
245,0.912436
246,0.789802
247,0.905103
248,0.97766
254,0.876561
255,0.616098
257,0.965063
259,0.719894
264,0.923469
270,0.667023
272,0.833048
274,0.403911
275,0.349588
278,0.832094
280,0.300497
281,0.285229
282,0.327376
283,0.807063
284,0.951973
286,0.88769
287,0.920307
288,0.922657
289,0.880624
290,0.527524
291,0.732831
294,0.493221
295,0.35304
297,0.556414
299,0.695348
305,0.797692
307,0.592827
308,0.76798
313,0.614426
314,0.794346
315,0.79909
316,0.928539
317,0.894207
319,0.546757
322,0.834229
323,0.862577
324,0.812742
326,0.920023
327,0.714305
329,0.97933
330,0.0508925
331,0.472817
336,0.415953
337,0.555948
338,0.867779
340,0.946684
345,0.432929
347,0.866822
348,0.823192
350,0.983335
352,0.834247
356,0.932791
357,0.936608
358,0.915533
359,0.770677
361,0.793565
363,0.386868
364,0.756488
