ID,PredictedProb
0,0.147169
1,0.870099
2,0.603254
7,0.59747
10,0.746821
11,0.577773
13,0.939107
14,0.630173
15,0.909715
16,0.84655
17,0.722733
18,0.820491
19,0.951617
20,0.871311
25,0.850554
26,0.831895
29,0.871167
38,0.947589
41,0.906803
44,0.548426
45,0.344781
47,0.675037
48,0.645471
49,0.849636
50,0.87545
53,0.582411
56,0.518753
59,0.834531
60,0.684048
64,0.835766
65,0.961308
66,0.782124
68,0.8899
69,0.664224
70,0.913382
71,0.833929
72,0.645074
76,0.843221
80,0.780863
82,0.757746
83,0.955173
85,0.853489
86,0.819953
87,0.66152
89,0.794521
97,0.809101
99,0.671261
101,0.760023
102,0.325453
103,0.565102
104,0.521233
106,0.965684
107,0.687842
109,0.915166
111,0.405632
113,0.802161
114,0.516607
118,0.833203
119,0.75063
120,0.902457
123,0.719393
128,0.298806
129,0.776468
131,0.912612
133,0.661086
134,0.734246
136,0.927758
137,0.656404
139,0.704248
140,0.878559
142,0.651201
144,0.903313
146,0.893018
147,0.752911
148,0.883831
150,0.215491
151,0.15088
152,0.95851
155,0.961534
158,0.876627
159,0.593244
160,0.968849
161,0.68829
165,0.931549
166,0.552225
170,0.945248
171,0.738949
174,0.715545
175,0.850138
179,0.76166
180,0.870988
181,0.745321
184,0.666031
185,0.577767
187,0.853895
188,0.787221
190,0.807064
191,0.751474
192,0.620476
193,0.844288
196,0.882381
197,0.618293
198,0.653393
205,0.107734
211,0.877812
213,0.788979
214,0.844693
217,0.58142
218,0.837545
221,0.776244
222,0.585325
225,0.826855
229,0.60061
236,0.680213
237,0.923319
238,0.810669
239,0.946435
242,0.736399
245,0.917804
246,0.790452
247,0.873293
248,0.987875
254,0.858653
255,0.625938
257,0.945376
259,0.733398
264,0.927647
270,0.644408
272,0.799471
274,0.456643
275,0.473501
278,0.824662
280,0.296768
281,0.292669
282,0.287849
283,0.839843
284,0.95101
286,0.889478
287,0.88187
288,0.912772
289,0.860651
290,0.534517
291,0.745308
294,0.56429
295,0.35253
297,0.602879
299,0.787202
305,0.796429
307,0.594717
308,0.744552
313,0.519276
314,0.784987
315,0.834608
316,0.91431
317,0.876937
319,0.530325
322,0.846325
323,0.875984
324,0.81264
326,0.916565
327,0.645943
329,0.981523
330,0.0693695
331,0.488237
