"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"6777","Los Angeles","CA","90024",-118.4461,34.0593,"The Chicago School of Professional Psychology at Westwood",26983,7374,5943,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",4.8
"2543","Albuquerque","NM","87106",-106.625,35.076,"Central New Mexico Community College",739,3813,4942,24420.34,"8946","NULL","1364","6656","NULL","3961","NULL",2,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","25090","0.61000001430511",0.20999999344348,66.6299972534179,"2.6800000667572","1.62999999523162","41.9799995422363","90.8199996948242","12.3900003433227",6916.5,"13000",31.7
"1063","Atlanta","GA","30314-4399",-84.4101,33.7452,"Spelman College",13571,11178,7514,71841.55,"41635","NULL","24634","24634","NULL","NULL","31923",3,3,"3",2,"NULL","1","0","0","0","0","0","0","0.3802","0.3802","540","24","2129","1",0.00999999977648,47.0200004577636,"41.8400001525878","3.70000004768371","9.52999973297119","86.8899993896484","11.25",25500,"27000",10.6
"5364","Van Wert","OH","45891",-84.5728,40.8802,"Vantage Career Center",5800,8253,NA,21500.42,"NULL","NULL","NULL","NULL","620","NULL","NULL",1,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","62","0.83999997377395",0.33000001311302,97,"0.75999999046325","0.23000000417232","2.17000007629394","98.9800033569336","4.65999984741211",NA,"NULL",0
"4919","Mount Vernon","OH","43050",-82.4751,40.3759,"Knox County Career Center",6366,5430,NA,31987.17,"NULL","18207","NULL","NULL","13035","13924","NULL",1,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","252","0.93000000715255",0.38999998569488,95.6999969482422,"2.29999995231628","0.47999998927116","0.77999997138977","98.1800003051758","7.65000009536743",8618,"9500",15.3
"4344","Seattle","WA","98195-4550",-122.3131,47.6562,"University of Washington-Seattle Campus",17091,23645,10461,55950.49,"24606","NULL","12397","31971","NULL","11904","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.5778","0.5523","710","31","28754","0.56999999284744",0.10000000149011,77.9899978637695,"4.46999979019165","8.60000038146972","6.6100001335144","85.6399993896484","6.57000017166137",14793.5,"16326",4.3
"4578","Florence","KY","41042",-84.6531,38.9877,"Lincoln College of Technology-Florence",14298,7223,3783,19358.13,"24542","NULL","NULL","NULL","NULL","NULL","23125",2,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","97","0.91000002622604",0.2199999988079,70.6900024414062,"26.1299991607666","1.01999998092651","1.25999999046325","97.1600036621094","12.3599996566772",11372,"12712",NA
"2665","Jamaica","NY","11451",-73.7946,40.7027,"CUNY York College",3308,8154,7001,25815.23,"13967","NULL","6096","12606","NULL","5380","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.351","0.351","510","NULL","7361","0.6700000166893",0.10999999940395,25.8199996948242,"46.7700004577636","8.71000003814697","23.0499992370605","57.5200004577636","16.6000003814697",7000,"10000",10.1
"44","Montgomery","AL","36117",-86.1622,32.3831,"Prince Institute-Southeast",10722,5269,4710,39000.1,"24676","NULL","9685","9685","NULL","NULL","20904",2,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","102","0.89999997615814",0.14000000059604,71.8600006103515,"25.2000007629394","1.01999998092651","1.73000001907348","96.7900009155273","10.579999923706",12667,"21739",11.4
"5574","Boston","MA","02114-2696",-71.0689,42.3626,"Massachusetts General Hospital Dietetic Internship",2017,2506,NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,"NULL",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",5.2
"1994","Allendale","MI","49401-9403",-85.8875,42.9652,"Grand Valley State University",9810,7728,7816,78034.29,"21512","NULL","10716","15388","NULL","16243","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.826","0.826","620","26","21137","0.62000000476837",0.05000000074505,88.1699981689453,"6.38999986648559","1.44000005722045","4.03999996185302","95.0199966430664","5.51000022888183",20898.5,"26500",5.1
"6239","Arlington","VA","22203",-77.1146,38.882,"Westwood College-Arlington Ballston",13491,3084,4569,31835.7,"30640","NULL","14645","14645","NULL","NULL","26446",3,3,"3",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","371","0.51999998092651",0.11999999731779,36.1800003051757,"22.8099994659423","7.75","47.9099998474121","65.9700012207031","19.0599994659423",22967.5,"38913",17.6
"3650","Pittsburgh","PA","15216",-80.0418,40.3895,"South Hills Beauty Academy Inc",14968,4791,NA,45064.01,"NULL","19371","NULL","NULL","14450","NULL","17476",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","92","0.93999999761581",0.20000000298023,88.6999969482422,"8.6899995803833","1.19000005722045","0.80000001192092","96.5599975585937","7.76999998092651",4750,"3432",16.8
"4190","Fairfax","VA","22030-4444",-77.3079,38.8309,"George Mason University",10801,12122,10524,72029.93,"22332","NULL","9908","28592","NULL","18305","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.6203","0.6203","630","27","21324","0.57999998331069",0.10000000149011,72.1100006103515,"12.539999961853","8.05000019073486","9.10000038146972","81.0100021362304","4.01000022888183",17250,"20250",1.8
"4351","Yakima","WA","98907-2520",-120.5285,46.5861,"Yakima Valley Community College",1483,5585,5802,29871.82,"12883","NULL","3820","4214","NULL","7154","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2587","0.6700000166893",0.23000000417232,70.5400009155273,"1.17999994754791","1.23000001907348","30.4599990844726","84.1999969482422","14.039999961853",8018.5,"10500",16.1
