"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"5913","Glenside","PA","19038-4535",-75.1544,40.0993,"Won Institute of Graduate Studies",10827,5121,4384,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"NULL",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",0
"7077","Sacremanto","CA","95821-6800",-121.5246,38.5893,"Cosmo Beauty Academy",3311,4075,NA,NA,"NULL","11196","NULL","NULL","12460","NULL","7575",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","64","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",7111,"7912.5",30.7
"4081","Richardson","TX","75080-3021",-96.7484,32.9894,"The University of Texas at Dallas",10335,9848,12416,54836.23,"22381","NULL","10864","26038","NULL","11395","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.5857","0.5857","700","32","13042","0.50999999046325",0.15000000596046,73.4199981689453,"10.1999998092651","5.90000009536743","17.4500007629394","83.8300018310547","6.30999994277954",15080.5,"19500",7.2
"5027","Concord","CA","94518-1199",-122.026,37.9692,"Mt Diablo Adult Education",10856,25900,NA,11062.18,"NULL","21451","NULL","NULL","5889","16714","NULL",1,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","176","0.97000002861022",0.20000000298023,67.3000030517578,"6.67999982833862","9.3100004196167","21.4200000762939","78.9599990844726","6.07000017166137",NA,"NULL",0
"1661","Eunice","LA","70535",-92.4345,30.4733,"Louisiana State University-Eunice",2778,5592,4734,33756.74,"11914","NULL","3198","8490","NULL","7828","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2424","0.74000000953674",0.12999999523162,68.9300003051757,"28.9899997711181","0.50999999046325","1.29999995231628","98.7399978637695","20.9200000762939",7704,"11460",16.3
"1409","Dubuque","IA","52004-0873",-90.6653,42.4974,"Capri College-Dubuque",5984,2604,NA,47736.14,"NULL","17831","NULL","NULL","16780","NULL","14983",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","122","0.94999998807907",0.10000000149011,97.7600021362304,"0.60000002384185","0.5","1.07000005245208","98.1800003051758","5.40999984741211",8320,"10021",12.1
"2018","Houghton","MI","49931-1295",-88.5464,47.1183,"Michigan Technological University",12730,11415,9142,82033.18,"24724","NULL","13728","28608","NULL","14446","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.7659","0.7659","680","30","5536","0.20999999344348",0.01999999955296,92.2300033569336,"3.03999996185302","1.35000002384185","2.29999995231628","96.2300033569336","5.98000001907348",21812,"27000",6
"490","San Jacinto","CA","92583-2399",-116.9701,33.8074,"Mt San Jacinto Community College District",502,2742,8730,21166.35,"12010","NULL","1386","6936","NULL","6428","NULL",2,2,"2",1,"NULL","0","0","0","0","0","1","0","NULL","NULL","NULL","NULL","13324","0.6700000166893",0.23000000417232,74.9800033569336,"4.1100001335144","2.56999993324279","26.7000007629394","85.6800003051757","10.8199996948242",7878,"PrivacySuppressed",29.5
"7331","Chicopee","MA","01020-3744",-72.5192,42.1623,"Salter College-Chicopee",18018,8874,NA,NA,"NULL","29571","NULL","NULL","22580","NULL","25193",2,2,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","70","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",7851,"8758",11.7
"3869","Paris","TN","38242",-88.2964,36.2964,"Tennessee College of Applied Technology-Paris",771,5625,NA,16519.34,"NULL","13131","NULL","NULL","3477","7014","NULL",1,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","271","0.74000000953674",0.38999998569488,90.3000030517578,"7.78999996185302","0.40999999642372","1.03999996185302","98.5400009155273","10.6099996566772",NA,"NULL",0
"2806","Schenectady","NY","12305",-73.9493,42.8158,"Schenectady County Community College",1179,5008,5305,40389.74,"9626","NULL","3745","7129","NULL","4594","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","3874","0.56999999284744",0.12999999523162,85.8399963378906,"8.52999973297119","1.75999999046325","4.1100001335144","93.2699966430664","9.46000003814697",5500,"NULL",23.6
"3653","Bethlehem","PA","18015",-75.3924,40.6082,"St Lukes Hospital School of Nursing",3365,10067,NA,64062.03,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,1,"1",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","139","0.91000002622604",0.31999999284744,91.4000015258789,"3.14000010490417","1.39999997615814","5.67000007629394","93.3499984741211","5.17999982833862",12375,"16500",5.4
"6946","New York","NY","10010",-73.9912,40.7422,"Institute of Culinary Education",40830,13997,NA,NA,"NULL","45588","NULL","NULL","33127","NULL","42885",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","614","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",6439,"6439",4.5
"4043","San Antonio","TX","78212-4299",-98.4963,29.4452,"San Antonio College",2003,5083,6374,24364.37,"9314","NULL","2038","10822","NULL","4461","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","19524","0.63999998569488",0.20999999344348,70.4100036621093,"6.44000005722046","1.48000001907348","54.6599998474121","86.6600036621093","14.0600004196167",8000,"10537.5",16.1
"323","Yucaipa","CA","92339-1799",-117.1008,34.0385,"Crafton Hills College",548,2703,4905,22751.98,"16696","NULL","1134","3918","NULL","10675","NULL",2,2,"2",1,"NULL","0","0","0","0","0","1","0","NULL","NULL","NULL","NULL","4716","0.62000000476837",0.18999999761581,69.1699981689453,"6.19999980926513","4.57000017166137","28.0599994659423","84.8199996948242","11.9600000381469",NA,"NULL",13
"6863","Fort Myers","FL","33907",-81.8709,26.5717,"Regency Beauty Institute-Fort Myers",19967,11804,NA,NA,"NULL","24794","NULL","NULL","14100","NULL","20067",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","40","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",9500,"14144",14.9
"1494","Salina","KS","67401-7307",-97.6097,38.8398,"Brown Mackie College-Salina",9657,2921,4386,32918.29,"24272","NULL","12114","12114","NULL","NULL","19143",2,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","506","0.73000001907348",0.28000000119209,78.8399963378906,"9.23999977111816","2.9300000667572","11.7200002670288","90.5","7.84999990463257",9671,"18809.5",19.2
