,Member,State,Party,Chamber,Raised,Spent,Cash on Hand,Debts
0,"Abraham, Ralph",Louisiana,R,H,"$188,322","$97,553","$130,719","$100,000"
1,"Adams, Alma",North Carolina,D,H,"$300,683","$131,074","$192,701",$931
2,"Aderholt, Robert B",Alabama,R,H,"$700,956","$507,734","$612,159",$0
3,"Aguilar, Pete",California,D,H,"$1,518,434","$481,265","$1,045,308",$0
4,"Alexander, Lamar",Tennessee,R,S,"$120,998","$217,017","$186,470",$0
5,"Allen, Richard W",Georgia,R,H,"$607,517","$463,534","$204,092","$1,125,000"
6,"Amash, Justin",Michigan,R,H,"$415,039","$396,094","$347,772",$0
7,"Amodei, Mark",Nevada,R,H,"$336,612","$227,775","$304,215","$13,000"
8,"Ashford, Brad",Nebraska,D,H,"$927,880","$262,529","$680,840",$0
9,"Ayotte, Kelly",New Hampshire,R,S,"$5,257,638","$1,975,240","$6,284,694","$91,448"
10,"Babin, Brian",Texas,R,H,"$619,665","$367,421","$376,302","$44,500"
11,"Baldwin, Tammy",Wisconsin,D,S,"$614,269","$579,652","$278,705",$0
12,"Barletta, Lou",Pennsylvania,R,H,"$475,537","$295,482","$250,289","$124,220"
13,"Barr, Andy",Kentucky,R,H,"$1,174,301","$499,972","$1,163,093",$0
14,"Barrasso, John A",Wyoming,R,S,"$483,272","$344,920","$2,760,101",$0
15,"Barton, Joe",Texas,R,H,"$704,782","$783,968","$339,688",$0
16,"Bass, Karen",California,D,H,"$300,736","$314,645","$262,268","$4,800"
17,"Beatty, Joyce",Ohio,D,H,"$424,133","$261,771","$521,088","$27,500"
18,"Becerra, Xavier",California,D,H,"$987,833","$1,009,888","$1,266,883",$0
19,"Benishek, Dan",Michigan,R,H,"$529,520","$120,674","$435,324","$99,500"
20,"Bennet, Michael F",Colorado,D,S,"$7,680,893","$2,177,102","$6,738,193","$374,819"
21,"Bera, Ami",California,D,H,"$1,484,928","$411,251","$1,221,938","$319,800"
22,"Beyer, Don",Virginia,D,H,"$1,037,748","$497,174","$502,740","$61,800"
23,"Bilirakis, Gus",Florida,R,H,"$652,635","$448,789","$632,951",$0
