,Year,Link,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2016,http://www.ttnews.com/fuel/national.aspx,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2015,http://www.ttnews.com/fuel/2015fuelchart.aspx,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2014,http://www.ttnews.com/fuel/2014fuelchart.aspx,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2013,http://www.ttnews.com/fuel/doeregional2013.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2012,http://www.ttnews.com/fuel/doeregional2012.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2011,http://www.ttnews.com/fuel/doeregional2011.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2010,http://www.ttnews.com/fuel/doeregional2010.htm,Date,U.S. Average,East Coast,New England,Central                       Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2009,http://www.ttnews.com/fuel/doeregional2009.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2008,http://www.ttnews.com/fuel/doeregional2008.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2007,http://www.ttnews.com/fuel/doeregional2007.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2006,http://www.ttnews.com/fuel/doeregional2006.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2005,http://www.ttnews.com/fuel/doeregional2005.htm,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2004,http://www.ttnews.com/fuel/doeregional2004.asp,Date,U.S. Average,East Coast,New England,Central Atlantic,Lower Atlantic,Midwest,Gulf Coast,Rocky Mountain,West Coast,California
0,2003,http://www.ttnews.com/fuel/doeregional2003.asp,Date,U.S.       Average,East       Coast,New       England,Central       Atlantic,Lower       Atlantic,Midwest,Gulf       Coast,Rocky       Mountain,West       Coast,California
0,2002,http://www.ttnews.com/fuel/doeregional2002.asp,,,,,,,,,,,
0,2001,http://www.ttnews.com/fuel/doeregional2000.asp,,,,,,,,,,,
0,2000,http://www.ttnews.com/fuel/doeregional2000.asp,,,,,,,,,,,
