,Year,Link,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2011.0,http://www.ttnews.com/fuel/comdata2011.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2010.0,http://www.ttnews.com/fuel/comdata2010.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2009.0,http://www.ttnews.com/fuel/comdata2009.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2008.0,http://www.ttnews.com/fuel/comdata2008.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2007.0,http://www.ttnews.com/fuel/comdata2007.htm,Comdata,T-Chek Self-Serve,,
0,2006.0,http://www.ttnews.com/fuel/comdata2006.htm,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,
0,2005.0,http://www.ttnews.com/fuel/comdataopis2005.asp,Comdata,,,
0,2004.0,http://www.ttnews.com/fuel/comdata2004.asp,Comdata,,,
0,2003.0,http://www.ttnews.com/fuel/comdata2003.asp,Comdata,,,
0,2002.0,http://www.ttnews.com/fuel/comdataopis2002.htm,Comdata,,,
0,2001.0,http://www.ttnews.com/fuel/comdataopis2000.asp,Comdata,,,
0,2000.0,http://www.ttnews.com/fuel/comdataopis2000.asp,Comdata,,,
