,Rank2015,Rank2014,CompanyName,Link,Tractors2015,StraightTrucks2015,PickupCargoVan2015,Trailers2015,AnnualSales_Billion
0,1.0,1.0,PepsiCo Inc.,,8397.0,14906.0,0.0,11734.0,66.7
0,2.0,2.0,Sysco Corp.,,7647.0,1190.0,388.0,9577.0,46.5
0,3.0,4.0,Wal-Mart Stores,,6294.0,106.0,0.0,61528.0,482.2
0,4.0,3.0,Coca-Cola,,5664.0,1054.0,0.0,7465.0,46
0,5.0,6.0,Halliburton,,5637.0,1160.0,0.0,5637.0,29.4
0,6.0,5.0,U.S. Foods,,5190.0,333.0,0.0,6461.0,22
0,7.0,8.0,Agrium Inc.,,3806.0,2479.0,7627.0,5937.0,13
0,8.0,9.0,Reyes Holdings,,3647.0,587.0,442.0,4618.0,24
0,9.0,7.0,McLane Co.,,3537.0,305.0,9.0,5283.0,46
0,10.0,11.0,Schlumberger Limited,,3394.0,1299.0,0.0,4770.0,48.6
0,11.0,10.0,C & J Energy Services,,2970.0,1661.0,0.0,4517.0,1.6
0,12.0,12.0,Tyson Foods,,2785.0,0.0,1119.0,3700.0,37.6
0,13.0,14.0,Performance Food Group,,2534.0,96.0,0.0,3122.0,0
0,14.0,25.0,CHS Inc.,,2496.0,1001.0,0.0,2193.0,42.7
0,15.0,13.0,Dr Pepper Snapple Group,,2342.0,81.0,1330.0,2828.0,6.1
0,16.0,15.0,Baker Hughes Inc.,,2282.0,1813.0,0.0,2856.0,24.6
0,17.0,23.0,Clean Harbors Inc.,,1906.0,6739.0,0.0,4188.0,3.4
0,18.0,16.0,Dean Foods Co.,,1900.0,3000.0,445.0,5500.0,9.5
0,19.0,24.0,Gordon Food Service,,1700.0,88.0,0.0,2158.0,0
0,20.0,20.0,Weatherford International,,1684.0,1046.0,0.0,3379.0,14.9
0,21.0,18.0,Basic Energy Services,,1620.0,386.0,0.0,1819.0,1.5
0,22.0,22.0,The Kroger Co.,,1474.0,35.0,0.0,5386.0,108.5
0,23.0,17.0,United Rentals Inc.,,1420.0,2204.0,0.0,1484.0,5.7
0,24.0,21.0,Airgas Inc.,,1410.0,2781.0,1236.0,3857.0,5.1
0,25.0,19.0,Gibson Energy Inc.,,1400.0,0.0,0.0,2600.0,8.6
0,26.0,33.0,Albertsons,,1378.0,621.0,88.0,5225.0,0
0,27.0,44.0,Key Energy Services,,1355.0,1897.0,0.0,1500.0,1.4
0,28.0,38.0,Helena Chemical Co.,,1204.0,1735.0,0.0,2575.0,0
0,29.0,29.0,DOT Foods,,1190.0,2.0,16.0,1835.0,0
0,30.0,27.0,Praxair Inc.,,1099.0,1877.0,0.0,3677.0,12.3
0,31.0,28.0,Prairie Farms Dairy,,1094.0,1348.0,250.0,2946.0,0
0,32.0,39.0,Pilot Flying J Inc.,,1035.0,0.0,0.0,1331.0,0
0,33.0,30.0,Cemex USA,,1028.0,5141.0,0.0,1677.0,3.7
0,34.0,33.0,Plains All American Pipeline,,990.0,0.0,0.0,1900.0,43.5
0,35.0,0.0,Builders FirstSource,,968.0,2506.0,0.0,1693.0,1.6
0,36.0,32.0,Nestle USA,,936.0,4216.0,0.0,1313.0,9.7
0,37.0,31.0,Veritiv Corp.,,870.0,199.0,172.0,1290.0,7.4
0,38.0,49.0,Sunbelt Rentals,,840.0,2285.0,0.0,831.0,2.7
0,39.0,36.0,Ben E. Keith Co.,,825.0,52.0,0.0,1053.0,0
0,40.0,35.0,Air Products Inc.,,811.0,115.0,400.0,2100.0,10.4
0,41.0,41.0,Darling Ingredients Inc.,,810.0,705.0,336.0,4050.0,4
0,42.0,43.0,Shaw Industries Group,,755.0,51.0,172.0,3332.0,4.8
0,43.0,37.0,Walgreen Co.,,754.0,10.0,0.0,1848.0,76.4
0,44.0,26.0,Calfrac Well Services,,744.0,378.0,9.0,914.0,2.3
0,45.0,52.0,Linde North America,,733.0,1840.0,0.0,2060.0,2
0,46.0,40.0,Kellogg Co.,,710.0,60.0,0.0,1153.0,14.6
0,47.0,46.0,Univar Inc.,,699.0,74.0,0.0,1346.0,0
0,48.0,50.0,Delhaize America,,684.0,0.0,0.0,3253.0,0
0,48.0,73.0,Perdue Farms Inc.,,684.0,79.0,600.0,2100.0,0
0,50.0,45.0,Lowe's Cos. Inc.,,662.0,3844.0,0.0,681.0,56.2
0,51.0,42.0,Nuverra Environmental Solutions,,653.0,417.0,0.0,1012.0,0.536
0,52.0,53.0,United Natural Foods Inc.,,652.0,0.0,0.0,835.0,6.8
0,53.0,54.0,Ashley Furniture Industries,,646.0,7.0,0.0,2300.0,0
0,54.0,58.0,Cole-Mark Holding Co.,,639.0,64.0,0.0,794.0,10.3
0,55.0,61.0,Advanced Drainage Systems,,625.0,0.0,0.0,1100.0,1.2
0,56.0,50.0,Mondelez International Inc.,,610.0,300.0,49.0,730.0,34.2
0,57.0,56.0,Publix Super Markets,,605.0,30.0,401.0,2909.0,30.6
0,58.0,70.0,Love's Travel Stops & Country Stores,,600.0,0.0,20.0,620.0,0
0,59.0,48.0,JBS USA Holdings,,599.0,0.0,0.0,1290.0,0
0,60.0,64.0,Food Services of America,,597.0,52.0,0.0,741.0,0
0,61.0,60.0,ABC Supply Co.,,585.0,2033.0,190.0,818.0,0
0,62.0,55.0,Golden State Foods,,573.0,42.0,0.0,858.0,6.5
0,63.0,59.0,Archer Daniels Midland Co.,,561.0,84.0,0.0,1510.0,81.2
0,64.0,0.0,Maxim Crane Works,,556.0,0.0,0.0,910.0,0
0,65.0,0.0,Quikrete Cos.,,554.0,23.0,0.0,929.0,0
0,66.0,0.0,Sanjel Corp.,,547.0,0.0,0.0,0.0,0
0,67.0,0.0,Pilot Thomas Logistics,,542.0,826.0,0.0,870.0,0
0,68.0,0.0,C&S Wholesale Grocers,,541.0,0.0,0.0,1434.0,25.9
0,69.0,61.0,MDU Resources Group,,539.0,1873.0,0.0,1915.0,4.5
0,70.0,63.0,American Air Liquide Holdings,,529.0,57.0,0.0,1244.0,0
0,71.0,65.0,Bunzl Distribution USA,,520.0,24.0,8.0,835.0,0
0,72.0,0.0,Cudd Energy Services,,514.0,260.0,0.0,956.0,2.3
