,Rank2015,Rank2014,CompanyName,Link,NetRevenue,GrossRevenue,Employees
0,1.0,1.0,UPS Supply Chain Solutions,,3030.0,5758.0,0.0
0,2.0,2.0,J.B. Hunt Transport Services,,2605.0,5799.0,0.0
0,3.0,4.0,Ryder Supply Chain Solutions,,2157.0,2461.0,0.0
0,4.0,6.0,C.H. Robinson Worldwide,,2131.0,14093.0,11521.0
0,5.0,5.0,Expeditors International of Washington,,1981.0,6565.0,13900.0
0,6.0,3.0,Exel,,1815.0,3300.0,47000.0
0,7.0,7.0,Ceva Logistics,,1715.0,2618.0,0.0
0,8.0,8.0,AmeriCold Logistics,,1696.0,0.0,11000.0
0,9.0,9.0,UTi Worldwide 1,,1548.0,4369.0,21018.0
0,10.0,13.0,FedEx Corp.,,1465.0,2896.0,10885.0
0,11.0,10.0,Schneider,,1429.0,3900.0,0.0
0,12.0,12.0,XPO Logistics,,1160.0,3140.0,10200.0
0,13.0,11.0,Kuehne + Nagel Inc.,,1105.0,5157.0,0.0
0,14.0,16.0,Swift Logistics,,1045.0,1394.0,0.0
0,15.0,20.0,Penske Logistics,,915.0,1137.0,10882.0
0,16.0,15.0,NFI,,914.0,1091.0,0.0
0,17.0,17.0,Werner Global Logistics,,844.0,1182.0,4632.0
0,18.0,19.0,Ruan,,805.0,848.0,5595.0
0,19.0,19.0,Neovia Logistics,,800.0,0.0,0.0
0,20.0,18.0,DB Schenker USA,,774.0,2615.0,6000.0
0,21.0,22.0,Menlo Logistics,,749.0,1718.0,8500.0
0,22.0,23.0,Cardinal Logistics Management,,681.0,0.0,0.0
0,23.0,14.0,APL Logistics,,660.0,1030.0,6000.0
0,24.0,26.0,OHL,,650.0,1305.0,8302.0
0,25.0,24.0,Norbert Dentressangle,,601.0,781.0,6500.0
0,26.0,36.0,Panalpina Inc.,,538.0,2463.0,0.0
0,26.0,36.0,Panalpina Inc.,,538.0,2463.0,0.0
0,27.0,28.0,Kenco,,506.0,518.0,3800.0
0,28.0,27.0,U.S. Xpress Enterprises,,475.0,618.0,0.0
0,29.0,29.0,Fidelitone,,454.0,463.0,715.0
0,30.0,31.0,Universal Truckload Services Inc.,,449.0,0.0,0.0
0,31.0,32.0,Hub Group,,370.0,3571.0,2568.0
0,32.0,33.0,Saddle Creek Logistics Services,,358.0,0.0,2453.0
0,33.0,37.0,Total Quality Logistics,,352.0,2142.0,3131.0
0,34.0,34.0,DSC Logistics,,340.0,0.0,0.0
0,35.0,35.0,Toll Global Forwarding,,297.0,1468.0,0.0
0,36.0,44.0,Landstar System,,270.0,1624.0,0.0
0,37.0,39.0,Performance Team,,261.0,263.0,3845.0
0,38.0,38.0,Burris Logistics,,256.0,0.0,0.0
0,39.0,41.0,Coyote Logistics,,255.0,2094.0,1994.0
0,40.0,40.0,BDP International,,254.0,1900.0,0.0
0,41.0,43.0,Cowan Logistics,,240.0,346.0,0.0
0,42.0,42.0,Preferred Freezer Services,,225.0,275.0,0.0
0,43.0,45.0,SCI Group,,212.0,213.0,1800.0
0,44.0,46.0,Averitt Express,,210.0,365.0,0.0
0,45.0,50.0,Echo Global Logistics,,208.0,1173.0,1734.0
0,46.0,47.0,Damco International,,185.0,1007.0,0.0
0,47.0,0.0,Crane Worldwide Logistics,,183.0,689.0,0.0
0,48.0,49.0,Legacy Supply Chain Services,,180.0,401.0,0.0
0,48.0,0.0,Odyssey Logistics & Technology,,180.0,590.0,0.0
0,50.0,48.0,Agility Logistics,,175.0,795.0,0.0
0,,,,,,,
