,Year,Link,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,FullDate
1,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/19,1.847,1.894,1.082,2/19/2016
2,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/1,2.064,2.098,1.128,1/1/2016
3,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/8,2.023,2.063,1.1,1/8/2016
4,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/15,1.985,2.014,0.995,1/15/2016
5,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/22,1.933,1.971,0.915,1/22/2016
6,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/29,1.888,1.921,0.991,1/29/2016
7,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/5,1.862,1.896,1.053,2/5/2016
8,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/12,1.844,1.882,1.006,2/12/2016
9,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/25,2.097,2.144,1.133,12/25/2015
10,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/2,3.01,3.134,1.77,1/2/2015
11,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/9,2.918,3.031,1.667,1/9/2015
12,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/16,2.844,2.941,1.566,1/16/2015
13,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/23,2.737,2.837,1.587,1/23/2015
14,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/30,2.664,2.783,1.622,1/30/2015
15,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/6,2.645,2.745,1.807,2/6/2015
16,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/13,2.658,2.743,1.88,2/13/2015
17,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/20,2.704,2.777,1.946,2/20/2015
18,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/27,2.723,2.792,1.946,2/27/2015
19,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/6,2.741,2.796,1.942,3/6/2015
20,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/13,2.739,2.786,1.85,3/13/2015
21,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/20,2.704,2.744,1.748,3/20/2015
