,Rank2015,Rank2014,CompanyName,Link,Revenue,NetIncome,Employees,Tractors,Trailers
0,43.0,37.0,Jack Cooper Holdings,http://www.ttnews.com/top100/companies/profile.aspx?co=jackcooper,790000.0,0.0,0.0,3500.0,0.0
0,44.0,39.0,Day & Ross Transportation,http://www.ttnews.com/top100/companies/profile.aspx?co=dayross,771988.0,0.0,1602.0,1552.0,3103.0
0,45.0,40.0,Trimac Group,http://www.ttnews.com/top100/companies/profile.aspx?co=trimac,737725.0,0.0,3262.0,2167.0,4679.0
0,46.0,43.0,Covenant Transportation Group,http://www.ttnews.com/top100/companies/profile.aspx?co=covenant,718980.0,17808.0,4400.0,2665.0,6722.0
0,47.0,47.0,Stevens Transport,http://www.ttnews.com/top100/companies/profile.aspx?co=stevens,673160.0,91310.0,2835.0,2775.0,3782.0
0,48.0,45.0,Marten Transport,http://www.ttnews.com/top100/companies/profile.aspx?co=marten,672929.0,29834.0,3240.0,2420.0,4265.0
0,49.0,59.0,Daseke Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=daseke,668000.0,0.0,2500.0,2610.0,5515.0
0,50.0,50.0,USA Truck,http://www.ttnews.com/top100/companies/profile.aspx?co=usatruck,602477.0,6033.0,0.0,2183.0,6216.0
0,51.0,48.0,AAA Cooper Transportation,http://www.ttnews.com/top100/companies/profile.aspx?co=aaacooper,580371.0,0.0,4500.0,2450.0,6000.0
0,52.0,60.0,Pitt Ohio,http://www.ttnews.com/top100/companies/profile.aspx?co=pittohio,551300.0,0.0,3140.0,812.0,2037.0
0,53.0,56.0,Mercer Transportation,http://www.ttnews.com/top100/companies/profile.aspx?co=mercer,547269.0,0.0,325.0,2189.0,2189.0
0,54.0,57.0,Western Express,http://www.ttnews.com/top100/companies/profile.aspx?co=westernexpress,540104.0,0.0,3107.0,2404.0,5700.0
0,55.0,74.0,United Road Services,http://www.ttnews.com/top100/companies/profile.aspx?co=unitedroadservices,532000.0,0.0,1700.0,1772.0,0.0
0,56.0,51.0,Canada Cartage System,http://www.ttnews.com/top100/companies/profile.aspx?co=canadacartage,516976.0,0.0,0.0,2543.0,2417.0
0,57.0,52.0,Mullen Group,http://www.ttnews.com/top100/companies/profile.aspx?co=mullen,516878.0,0.0,2092.0,1374.0,3529.0
0,58.0,54.0,The Suddath Cos.,http://www.ttnews.com/top100/companies/profile.aspx?co=suddath,500000.0,0.0,2000.0,384.0,754.0
0,59.0,55.0,Bison Transport Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=bison,489568.0,0.0,2321.0,1502.0,3857.0
0,60.0,70.0,Acme Truck Line Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=acme,487208.0,0.0,3000.0,2007.0,2257.0
0,61.0,53.0,TransX Group,http://www.ttnews.com/top100/companies/profile.aspx?co=transx,482571.0,0.0,2560.0,1505.0,4240.0
0,62.0,58.0,Shevell Group,http://www.ttnews.com/top100/companies/profile.aspx?co=shevell,461000.0,0.0,3559.0,1920.0,4600.0
0,63.0,76.0,Bennett International Group,http://www.ttnews.com/top100/companies/profile.aspx?co=bennett,436024.0,0.0,772.0,1408.0,1418.0
0,64.0,65.0,Dayton Freight Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=daytonfreight,436000.0,0.0,3610.0,1228.0,3109.0
0,65.0,61.0,Dart Transit Co.,http://www.ttnews.com/top100/companies/profile.aspx?co=dart,425503.0,3854.0,1365.0,1875.0,5789.0
0,66.0,67.0,Cowan Systems,http://www.ttnews.com/top100/companies/profile.aspx?co=cowan,421515.0,0.0,1700.0,1748.0,3795.0
0,67.0,63.0,P.A.M. Transportation Services,http://www.ttnews.com/top100/companies/profile.aspx?co=pam,410937.0,13491.0,2911.0,1761.0,4919.0
0,68.0,81.0,Evans Network of Cos.,http://www.ttnews.com/top100/companies/profile.aspx?co=evans,400000.0,0.0,275.0,3150.0,525.0
0,69.0,66.0,Roehl Transport,http://www.ttnews.com/top100/companies/profile.aspx?co=roehl,395971.0,0.0,2500.0,2255.0,4090.0
0,70.0,73.0,Interstate Distributor Co.,http://www.ttnews.com/top100/companies/profile.aspx?co=interstate,385955.0,0.0,2048.0,1682.0,5046.0
0,71.0,68.0,Mesilla Valley Transportation,http://www.ttnews.com/top100/companies/profile.aspx?co=mesillatrans,372000.0,0.0,1700.0,1300.0,4800.0
0,72.0,79.0,California Cartage Co.,http://www.ttnews.com/top100/companies/profile.aspx?co=calcartage,368700.0,0.0,0.0,1200.0,0.0
0,73.0,78.0,Epes Carriers,http://www.ttnews.com/top100/companies/profile.aspx?co=epes,341494.0,24001.0,1359.0,1121.0,5500.0
0,74.0,83.0,Cassens Transport,http://www.ttnews.com/top100/companies/profile.aspx?co=cassens,328649.0,0.0,1445.0,1371.0,0.0
0,75.0,82.0,A. Duie Pyle Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=aduiepyle,318811.0,0.0,2500.0,822.0,1900.0
0,76.0,80.0,Maverick USA,http://www.ttnews.com/top100/companies/profile.aspx?co=maverickusa,316018.0,21044.0,1813.0,1376.0,1983.0
