,Rank2015,CompanyName,Link,Headquarters,FreightRevenue,TotalRevenue,FreightRevPercent
0,1.0,UPS Inc.,,United States,51887.0,58232.0,89.0
0,2.0,FedEx Corp. 1,,United States,43723.0,46763.0,93.0
0,3.0,China Railway Corp.,,China,40421.0,162061.0,25.0
0,4.0,The Maersk Group,,Denmark,33793.0,48574.0,70.0
0,5.0,Russian Railway,,Russia,31924.0,47598.0,67.0
0,6.0,Union Pacific Corp.,,United States,23988.0,23988.0,100.0
0,7.0,BNSF Railway,,United States,22714.0,22714.0,100.0
0,8.0,Mediterranean Shipping Co.,,Switzerland,22183.0,22183.0,100.0
0,9.0,Deutsche Post DHL Group,,Germany,22161.0,75278.0,29.0
0,10.0,Indian Railways 2,,India,18015.0,25746.0,70.0
0,11.0,NYK Group 3,,Japan,17017.0,22817.0,75.0
0,12.0,CMA CGM,,France,16739.0,16739.0,100.0
0,13.0,Mitsui O.S.L. Lines,,Japan,15974.0,17522.0,91.0
0,14.0,Deutsche Bahn AG,,Germany,14921.0,51028.0,29.0
0,15.0,CSX Corp.,,United States,12669.0,12669.0,100.0
0,16.0,COSCO Group,,China,12667.0,12667.0,100.0
0,17.0,Kawasaki Kisen Kaisha Ltd.,,Japan,12551.0,12551.0,100.0
0,18.0,Norfolk Southern Corp.,,United States,11624.0,11624.0,100.0
0,19.0,Yamato Group,,Japan,11099.0,13059.0,85.0
0,20.0,Canadian National Railway,,Canada,10682.0,10990.0,97.0
0,21.0,Hapag-Lloyd AG,,Germany,9049.0,9049.0,100.0
0,22.0,TNT Express N.V.,,Netherlands,8880.0,8880.0,100.0
0,23.0,Hanjin Shipping Co.,,South Korea,8313.0,8313.0,100.0
0,24.0,SG Holdings Group 4,,Japan,7112.0,8146.0,87.0
0,25.0,NOL Group,,Singapore,7039.0,8617.0,82.0
0,26.0,Hamburg Sud Group,,Germany,6900.0,6900.0,100.0
0,27.0,Orient Overseas (International) Ltd.,,Hong Kong,6522.0,6522.0,100.0
0,28.0,SF Express,,China,6425.0,6425.0,100.0
0,29.0,GeoPost Group,,France,6395.0,6541.0,98.0
0,30.0,Canadian Pacific Railway,,Canada,5996.0,5996.0,100.0
0,31.0,Hyundai Merchant Marine Co.,,South Korea,5645.0,5645.0,100.0
0,32.0,J.B. Hunt Transport Services,,United States,5467.0,6165.0,89.0
0,33.0,China Shipping Container Lines Co.,,China,5197.0,5877.0,88.0
0,34.0,YRC Worldwide,,United States,5069.0,5069.0,100.0
0,35.0,Yang Ming Marine Transport Corp.,,Taiwan,4448.0,4448.0,100.0
0,36.0,Transnet Group 5,,South Africa,4377.0,5638.0,78.0
0,37.0,Evergreen Marine Corp.,,Taiwan,4372.0,4761.0,92.0
0,38.0,Con-way Inc.,,United States,4264.0,5806.0,73.0
0,39.0,Kazakhstan Temir Zholy,,Kazakhstan,4088.0,4847.0,84.0
0,40.0,Swift Transportation,,United States,4013.0,4299.0,93.0
0,41.0,Toll Group,,Australia,3761.0,7815.0,48.0
0,42.0,United Arab Shipping Co.,,United Arab Emirates,3581.0,3581.0,100.0
0,43.0,Schneider,,United States,3524.0,3900.0,90.0
0,44.0,Aurizon,,Australia,3457.0,3457.0,100.0
0,45.0,ZIM Integrated Shipping Services,,Israel,3409.0,3409.0,100.0
0,46.0,Ukrzaliznytsia,,Ukraine,3379.0,4226.0,80.0
0,47.0,Emirates Group 6,,United Arab Emirates,3348.0,23607.0,14.0
0,48.0,Cathay Pacific Airways,,Hong Kong,3274.0,13662.0,24.0
0,49.0,Lufthansa Group,,Germany,3237.0,39894.0,8.0
0,50.0,Nippon Express,,Japan,3212.0,17953.0,18.0
0,,,,,,,
