Made 9ft jumper 9:45 in 2nd Qtr.,400828096129,true,Gary Neal,4300,2,h,19,81,400828096
Made 17ft jumper 9:17 in 2nd Qtr.,400828096132,true,Gary Neal,4300,2,h,35,74,400828096
Miss 7ft jumper 8:59 in 2nd Qtr.,400828096133,false,Rodney Stuckey,3235,2,a,27,13,400828096
Made 24ft 3-pointer 8:52 in 2nd Qtr.,400828096135,true,Gary Neal,4300,2,h,1,86,400828096
Made 0ft jumper 8:27 in 2nd Qtr.,400828096139,true,Ramon Sessions,3231,2,h,25,88,400828096
Made 28ft 3-pointer 8:00 in 2nd Qtr.,400828096140,true,George Hill,3438,2,a,9,29,400828096
Made 25ft 3-pointer 7:26 in 2nd Qtr.,400828096142,true,Rodney Stuckey,3235,2,a,50,11,400828096
Made 17ft jumper 7:18 in 2nd Qtr.,400828096143,true,Nene Hilario,1713,2,h,40,81,400828096
Miss 1ft jumper 7:09 in 2nd Qtr.,400828096144,false,George Hill,3438,2,a,26,6,400828096
Made 25ft 3-pointer 7:01 in 2nd Qtr.,400828096146,true,Gary Neal,4300,2,h,28,63,400828096
Made 7ft jumper 6:46 in 2nd Qtr.,400828096147,true,Lavoy Allen,6424,2,a,25,13,400828096
Miss 24ft jumper 6:37 in 2nd Qtr.,400828096148,false,Garrett Temple,4023,2,h,47,79,400828096
Miss 20ft jumper 6:26 in 2nd Qtr.,400828096150,false,Jordan Hill,3994,2,a,27,26,400828096
Made 21ft jumper 6:01 in 2nd Qtr.,400828096162,true,Monta Ellis,2751,2,a,43,17,400828096
Made 17ft jumper 5:48 in 2nd Qtr.,400828096163,true,Bradley Beal,6580,2,h,24,71,400828096
Made 4ft jumper 5:13 in 2nd Qtr.,400828096165,true,Nene Hilario,1713,2,h,27,84,400828096
Miss 10ft jumper 5:03 in 2nd Qtr.,400828096172,false,C.J. Miles,2778,2,a,19,14,400828096
Miss 26ft jumper 4:35 in 2nd Qtr.,400828096175,false,Bradley Beal,6580,2,h,44,70,400828096
Made 26ft 3-pointer 4:18 in 2nd Qtr.,400828096177,true,Chase Budinger,3968,2,a,3,20,400828096
Made 25ft 3-pointer 4:01 in 2nd Qtr.,400828096178,true,Gary Neal,4300,2,h,0,84,400828096
Miss 26ft jumper 3:43 in 2nd Qtr.,400828096179,false,Monta Ellis,2751,2,a,8,26,400828096
Made 1ft jumper 3:26 in 2nd Qtr.,400828096190,true,John Wall,4237,2,h,24,87,400828096
Made 27ft 3-pointer 3:12 in 2nd Qtr.,400828096194,true,C.J. Miles,2778,2,a,32,32,400828096
Made 28ft 3-pointer 2:40 in 2nd Qtr.,400828096196,true,C.J. Miles,2778,2,a,22,34,400828096
Miss 12ft jumper 2:26 in 2nd Qtr.,400828096200,false,Bradley Beal,6580,2,h,37,85,400828096
Made 1ft jumper 2:18 in 2nd Qtr.,400828096202,true,C.J. Miles,2778,2,a,26,5,400828096
Made 1ft jumper 2:01 in 2nd Qtr.,400828096205,true,Otto Porter Jr.,2594922,2,h,25,87,400828096
Miss 21ft jumper 1:43 in 2nd Qtr.,400828096206,false,Paul George,4251,2,a,26,27,400828096
Made 5ft jumper 1:24 in 2nd Qtr.,400828096211,true,Paul George,4251,2,a,24,11,400828096
Made 0ft jumper 0:55 in 2nd Qtr.,400828096222,true,Bradley Beal,6580,2,h,25,88,400828096
Made 1ft jumper 0:45 in 2nd Qtr.,400828096223,true,George Hill,3438,2,a,25,7,400828096
Miss 26ft jumper 0:34 in 2nd Qtr.,400828096224,false,Gary Neal,4300,2,h,7,69,400828096
Miss 21ft jumper 0:23 in 2nd Qtr.,400828096226,false,Paul George,4251,2,a,8,18,400828096
Miss 14ft jumper 0:01 in 2nd Qtr.,400828096228,false,Gary Neal,4300,2,h,38,84,400828096
Miss 3ft jumper 11:38 in 3rd Qtr.,400828096234,false,C.J. Miles,2778,3,a,27,8,400828096
Miss 1ft jumper 11:26 in 3rd Qtr.,400828096236,false,Ian Mahinmi,2774,3,a,26,7,400828096
Made 2ft jumper 11:00 in 3rd Qtr.,400828096240,true,Marcin Gortat,2758,3,h,23,88,400828096
Miss 21ft jumper 10:48 in 3rd Qtr.,400828096241,false,C.J. Miles,2778,3,a,46,8,400828096
Miss 17ft jumper 10:30 in 3rd Qtr.,400828096244,false,Otto Porter Jr.,2594922,3,h,32,73,400828096
Miss 28ft jumper 9:52 in 3rd Qtr.,400828096249,false,Bradley Beal,6580,3,h,9,65,400828096
Miss 15ft jumper 9:36 in 3rd Qtr.,400828096252,false,Monta Ellis,2751,3,a,38,13,400828096
Made 1ft jumper 9:06 in 3rd Qtr.,400828096260,true,Bradley Beal,6580,3,h,26,87,400828096
Made 29ft 3-pointer 8:56 in 3rd Qtr.,400828096266,true,Paul George,4251,3,a,35,33,400828096
