Made 24ft 3-pointer 11:40 in 1st Qtr.,4008285633,true,J.J. Redick,3024,1,a,14,27,400828563
Made 24ft 3-pointer 11:22 in 1st Qtr.,4008285634,true,George Hill,3438,1,h,49,86,400828563
Made 2ft jumper 11:03 in 1st Qtr.,4008285635,true,DeAndre Jordan,3442,1,a,27,6,400828563
Made 1ft jumper 10:45 in 1st Qtr.,4008285636,true,Ian Mahinmi,2774,1,h,24,87,400828563
Made 17ft jumper 10:30 in 1st Qtr.,4008285637,true,J.J. Redick,3024,1,a,8,8,400828563
Made 2ft jumper 10:17 in 1st Qtr.,4008285638,true,George Hill,3438,1,h,27,88,400828563
Miss 24ft jumper 9:52 in 1st Qtr.,4008285639,false,Paul Pierce,0662,1,a,13,27,400828563
Made 2ft jumper 9:48 in 1st Qtr.,40082856310,true,Paul George,4251,1,h,25,86,400828563
Miss 10ft jumper 9:32 in 1st Qtr.,40082856311,false,J.J. Redick,3024,1,a,26,16,400828563
Made 19ft jumper 9:18 in 1st Qtr.,40082856313,true,Paul Pierce,0662,1,a,33,23,400828563
Made 26ft 3-pointer 8:49 in 1st Qtr.,40082856315,true,J.J. Redick,3024,1,a,44,24,400828563
Made 9ft jumper 8:33 in 1st Qtr.,40082856316,true,Paul George,4251,1,h,32,83,400828563
Miss 24ft jumper 8:11 in 1st Qtr.,40082856317,false,J.J. Redick,3024,1,a,35,28,400828563
Miss 24ft jumper 8:02 in 1st Qtr.,40082856319,false,Paul George,4251,1,h,35,66,400828563
Miss 26ft jumper 7:46 in 1st Qtr.,40082856321,false,Chris Paul,2779,1,a,31,31,400828563
Made 18ft jumper 7:37 in 1st Qtr.,40082856323,true,Paul George,4251,1,h,15,73,400828563
Miss 24ft jumper 7:16 in 1st Qtr.,40082856324,false,Luc Richard Mbah a Moute,3451,1,a,1,7,400828563
Miss 20ft jumper 7:03 in 1st Qtr.,40082856326,false,Paul George,4251,1,h,6,83,400828563
Miss 2ft jumper 6:45 in 1st Qtr.,40082856329,false,Monta Ellis,2751,1,h,23,87,400828563
Miss 23ft jumper 6:37 in 1st Qtr.,40082856331,false,Paul Pierce,0662,1,a,3,13,400828563
Made 5ft jumper 6:22 in 1st Qtr.,40082856334,true,DeAndre Jordan,3442,1,a,25,11,400828563
Made 17ft jumper 5:54 in 1st Qtr.,40082856336,true,Paul George,4251,1,h,35,74,400828563
Miss 22ft jumper 5:39 in 1st Qtr.,40082856337,false,J.J. Redick,3024,1,a,41,21,400828563
Miss 16ft jumper 5:13 in 1st Qtr.,40082856340,false,Paul Pierce,0662,1,a,26,22,400828563
Miss 10ft jumper 4:46 in 1st Qtr.,40082856351,false,Chris Paul,2779,1,a,26,16,400828563
Miss 1ft jumper 4:41 in 1st Qtr.,40082856353,false,Monta Ellis,2751,1,h,24,88,400828563
Made 17ft jumper 4:35 in 1st Qtr.,40082856356,true,Myles Turner,3133628,1,h,34,74,400828563
Made 18ft jumper 3:49 in 1st Qtr.,40082856362,true,Myles Turner,3133628,1,h,26,70,400828563
